At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""100""","=""Fm I""","=""0""","=""Fermium""","=""Fm""","=""[Rn].5f12.7s2""","=""3H<6>""","=""5f12.7s 4H<13/2>""","=""[""","=""6.50""","=""]""","=""0.07""","=""L16359""",
"=""100""","=""Fm II""","=""+1""","=""Fermium""","=""Es""","=""[Rn].5f12.7s""","=""4H<13/2>""","=""5f12 3H<6>""","=""[""","=""12.4""","=""]""","=""0.4""","=""L13741c99""",
"=""100""","=""Fm III""","=""+2""","=""Fermium""","=""Cf""","=""[Rn].5f12""","=""3H<6>""","=""5f11 4I*<15/2>""","=""[""","=""23.2""","=""]""","=""0.4""","=""L13741c99""",
"=""100""","=""Fm IV""","=""+3""","=""Fermium""","=""Bk""","=""[Rn].5f11""","=""4I*<15/2>""","=""5f10 5I<8>""","=""[""","=""39.3""","=""]""","=""0.4""","=""L13741c99""",
"=""100""","=""Fm V""","=""+4""","=""Fermium""","=""Cm""","=""[Rn].5f10""","=""5I<8>""","=""5f9 6H*<15/2>""","=""(""","=""55.0""","="")""","=""1.9""","=""L8672c99""",
"=""100""","=""Fm VI""","=""+5""","=""Fermium""","=""Am""","=""[Rn].5f9""","=""6H*<15/2>""","=""5f8 7F<6>""","=""(""","=""74.0""","="")""","=""2.0""","=""L8672c99""",
"=""100""","=""Fm VII""","=""+6""","=""Fermium""","=""Pu""","=""[Rn].5f8""","=""7F<6>""","=""5f7 8S*<7/2>""","=""(""","=""93.0""","="")""","=""2.0""","=""L8672c99""",
"=""100""","=""Fm VIII""","=""+7""","=""Fermium""","=""Np""","=""[Rn].5f7""","=""8S*<7/2>""","=""5f6 7F<0>""","=""(""","=""120.0""","="")""","=""2.1""","=""L8672c99""",
"=""100""","=""Fm IX""","=""+8""","=""Fermium""","=""U""","=""[Rn].5f6""","=""7F0""","=""5f5 6H*<5/2>""","=""(""","=""136.0""","="")""","=""2.2""","=""L8672c99""",
"=""100""","=""Fm X""","=""+9""","=""Fermium""","=""Pa""","=""[Rn].5f5""","=""6H*<5/2>""","=""5f4 5I<4>""","=""(""","=""162.0""","="")""","=""2.2""","=""L8672c99""",
"=""100""","=""Fm XI""","=""+10""","=""Fermium""","=""Th""","=""[Rn].5f4""","=""5I<4>""","=""5f7.6p2""","=""(""","=""185""","="")""","=""9""","=""L582""",
"=""100""","=""Fm XII""","=""+11""","=""Fermium""","=""Ac""","=""[Hg].5f7.6p2""","=""*""","=""5f6.6p2""","=""(""","=""209""","="")""","=""10""","=""L582""",
"=""100""","=""Fm XIII""","=""+12""","=""Fermium""","=""Ra""","=""[Hg].5f6.6p2""","=""""","=""5f5.6p2*""","=""(""","=""237""","="")""","=""12""","=""L582""",
"=""100""","=""Fm XIV""","=""+13""","=""Fermium""","=""Fr""","=""[Hg].5f5.6p2""","=""*""","=""5f5.6p""","=""(""","=""257""","="")""","=""12""","=""L582""",
"=""100""","=""Fm XV""","=""+14""","=""Fermium""","=""Rn""","=""[Hg].5f5.6p""","=""""","=""5f5*""","=""(""","=""276""","="")""","=""14""","=""L582""",
"=""100""","=""Fm XVI""","=""+15""","=""Fermium""","=""At""","=""[Hg].5f5""","=""*""","=""5f4""","=""(""","=""300""","="")""","=""15""","=""L582""",
"=""100""","=""Fm XVII""","=""+16""","=""Fermium""","=""Po""","=""[Hg].5f4""","=""""","=""5f3*""","=""(""","=""326""","="")""","=""16""","=""L582""",
"=""100""","=""Fm XVIII""","=""+17""","=""Fermium""","=""Bi""","=""[Hg].5f3""","=""*""","=""5f2""","=""(""","=""351""","="")""","=""17""","=""L582""",
"=""100""","=""Fm XIX""","=""+18""","=""Fermium""","=""Pb""","=""[Hg].5f2""","=""""","=""5f 2F*<5/2>""","=""(""","=""377""","="")""","=""19""","=""L582""",
"=""100""","=""Fm XX""","=""+19""","=""Fermium""","=""Tl""","=""[Hg].5f""","=""2F*<5/2>""","=""6s2 1S<0>""","=""(""","=""402""","="")""","=""20""","=""L582""",
"=""100""","=""Fm XXI""","=""+20""","=""Fermium""","=""Hg""","=""[Xe].4f14.5d10.6s2""","=""1S0""","=""6s 2S<1/2>""","=""(""","=""430""","="")""","=""4""","=""L8672c99""",
"=""100""","=""Fm XXII""","=""+21""","=""Fermium""","=""Au""","=""[Xe].4f14.5d10.6s""","=""2S<1/2>""","=""5d10 1S<0>""","=""(""","=""453""","="")""","=""4""","=""L8672c99""",
"=""100""","=""Fm XXIII""","=""+22""","=""Fermium""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""(""","=""616""","="")""","=""4""","=""L8672c99""",
"=""100""","=""Fm XXIV""","=""+23""","=""Fermium""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""647""","="")""","=""4""","=""L8672c99""",
"=""100""","=""Fm XXV""","=""+24""","=""Fermium""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""680""","="")""","=""4""","=""L8672c99""",
"=""100""","=""Fm XXVI""","=""+25""","=""Fermium""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""716""","="")""","=""4""","=""L8672c99""",
"=""100""","=""Fm XXVII""","=""+26""","=""Fermium""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""749""","="")""","=""4""","=""L8672c99""",
"=""100""","=""Fm XXVIII""","=""+27""","=""Fermium""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""782""","="")""","=""4""","=""L8672c99""",
"=""100""","=""Fm XXIX""","=""+28""","=""Fermium""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""837""","="")""","=""4""","=""L8672c99""",
"=""100""","=""Fm XXX""","=""+29""","=""Fermium""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""(""","=""871""","="")""","=""4""","=""L8672c99""",
"=""100""","=""Fm XXXI""","=""+30""","=""Fermium""","=""Yb""","=""[Xe].4f14.5d2""","=""3F<2>""","=""5d 2D<3/2>""","=""(""","=""909""","="")""","=""4""","=""L8672c99""",
"=""100""","=""Fm XXXII""","=""+31""","=""Fermium""","=""Tm""","=""[Xe].4f14.5d""","=""2D<3/2>""","=""4f14 1S<0>""","=""(""","=""944""","="")""","=""4""","=""L8672c99""",
"=""100""","=""Fm XXXIII""","=""+32""","=""Fermium""","=""Er""","=""[Xe].4f14""","=""1S0""","=""4f14.5p5 2P*<3/2>""","=""(""","=""1110""","="")""","=""50""","=""L582""",
"=""100""","=""Fm XXXIV""","=""+33""","=""Fermium""","=""Ho""","=""[Cd].4f14.5p5""","=""2P*<3/2>""","=""4f14.5p4 3P<2>""","=""(""","=""1150""","="")""","=""60""","=""L582""",
"=""100""","=""Fm XXXV""","=""+34""","=""Fermium""","=""Dy""","=""[Cd].4f14.5p4""","=""3P<2>""","=""4f14.5p3 2P*<3/2>""","=""(""","=""1190""","="")""","=""60""","=""L582""",
"=""100""","=""Fm XXXVI""","=""+35""","=""Fermium""","=""Tb""","=""[Cd].4f14.5p3""","=""2P*<3/2>""","=""4f14.5p2 3P<0>""","=""(""","=""1230""","="")""","=""60""","=""L582""",
"=""100""","=""Fm XXXVII""","=""+36""","=""Fermium""","=""Gd""","=""[Cd].4f14.5p2""","=""3P0""","=""4f14.5p 2P*<1/2>""","=""(""","=""1370""","="")""","=""70""","=""L582""",
"=""100""","=""Fm XXXVIII""","=""+37""","=""Fermium""","=""Eu""","=""[Cd].4f14.5p""","=""2P*<1/2>""","=""4f14 1S<0>""","=""(""","=""1420""","="")""","=""70""","=""L582""",
"=""100""","=""Fm XXXIX""","=""+38""","=""Fermium""","=""Sm""","=""[Cd].4f14""","=""1S0""","=""4f14.5s 2S<1/2>""","=""(""","=""1550""","="")""","=""80""","=""L582""",
"=""100""","=""Fm XL""","=""+39""","=""Fermium""","=""Pm""","=""[Kr].4d10.4f14.5s""","=""2S<1/2>""","=""4f14 1S<0>""","=""(""","=""1600""","="")""","=""80""","=""L582""",
"=""100""","=""Fm XLI""","=""+40""","=""Fermium""","=""Nd""","=""[Kr].4d10.4f14""","=""1S0""","=""4f13 2F*<7/2>""","=""(""","=""1770""","="")""","=""90""","=""L582""",
"=""100""","=""Fm XLII""","=""+41""","=""Fermium""","=""Pr""","=""[Kr].4d10.4f13""","=""2F*<7/2>""","=""4f12""","=""(""","=""1850""","="")""","=""90""","=""L582""",
"=""100""","=""Fm XLIII""","=""+42""","=""Fermium""","=""Ce""","=""[Kr].4d10.4f12""","=""""","=""4f11 4I*<15/2>""","=""(""","=""1940""","="")""","=""100""","=""L582""",
"=""100""","=""Fm XLIV""","=""+43""","=""Fermium""","=""La""","=""[Kr].4d10.4f11""","=""4I*<15/2>""","=""4f10 5I<8>""","=""(""","=""2030""","="")""","=""100""","=""L582""",
"=""100""","=""Fm XLV""","=""+44""","=""Fermium""","=""Ba""","=""[Kr].4d10.4f10""","=""5I<8>""","=""4f9 6H*<15/2>""","=""(""","=""2120""","="")""","=""110""","=""L582""",
"=""100""","=""Fm XLVI""","=""+45""","=""Fermium""","=""Cs""","=""[Kr].4d10.4f9""","=""6H*<15/2>""","=""4f8 7F<6>""","=""(""","=""2210""","="")""","=""110""","=""L582""",
"=""100""","=""Fm XLVII""","=""+46""","=""Fermium""","=""Xe""","=""[Kr].4d10.4f8""","=""7F<6>""","=""4f7 8S*<7/2>""","=""(""","=""2300""","="")""","=""120""","=""L582""",
"=""100""","=""Fm XLVIII""","=""+47""","=""Fermium""","=""I""","=""[Kr].4d10.4f7""","=""8S*<7/2>""","=""4f6 7F<0>""","=""(""","=""2390""","="")""","=""120""","=""L582""",
"=""100""","=""Fm XLIX""","=""+48""","=""Fermium""","=""Te""","=""[Kr].4d10.4f6""","=""7F0""","=""4f5 6H*<5/2>""","=""(""","=""2490""","="")""","=""120""","=""L582""",
"=""100""","=""Fm L""","=""+49""","=""Fermium""","=""Sb""","=""[Kr].4d10.4f5""","=""6H*<5/2>""","=""4f4 5I<4>""","=""(""","=""2590""","="")""","=""120""","=""L582""",
"=""100""","=""Fm LI""","=""+50""","=""Fermium""","=""Sn""","=""[Kr].4d10.4f4""","=""5I<4>""","=""4f3 4I*<9/2>""","=""(""","=""2680""","="")""","=""140""","=""L582""",
"=""100""","=""Fm LII""","=""+51""","=""Fermium""","=""In""","=""[Kr].4d10.4f3""","=""4I*<9/2>""","=""4f2 3H<4>""","=""(""","=""2760""","="")""","=""140""","=""L582""",
"=""100""","=""Fm LIII""","=""+52""","=""Fermium""","=""Cd""","=""[Kr].4d10.4f2""","=""3H<4>""","=""4f 2F*<5/2>""","=""(""","=""2850""","="")""","=""150""","=""L582""",
"=""100""","=""Fm LIV""","=""+53""","=""Fermium""","=""Ag""","=""[Kr].4d10.4f""","=""2F*<5/2>""","=""4d10 1S<0>""","=""(""","=""2950""","="")""","=""150""","=""L582""",
"=""100""","=""Fm LV""","=""+54""","=""Fermium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""(""","=""3403""","="")""","=""5""","=""L8672c99""",
"=""100""","=""Fm LVI""","=""+55""","=""Fermium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""3480""","="")""","=""5""","=""L8672c99""",
"=""100""","=""Fm LVII""","=""+56""","=""Fermium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""3561""","="")""","=""5""","=""L8672c99""",
"=""100""","=""Fm LVIII""","=""+57""","=""Fermium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""3647""","="")""","=""6""","=""L8672c99""",
"=""100""","=""Fm LIX""","=""+58""","=""Fermium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d-4.4d+ (0,5/2)<5/2>""","=""(""","=""3730""","="")""","=""6""","=""L8672c99""",
"=""100""","=""Fm LX""","=""+59""","=""Fermium""","=""Nb""","=""[Kr].4d5""","=""(0,5/2)<5/2>""","=""4d4 5D<0>""","=""(""","=""3810""","="")""","=""7""","=""L8672c99""",
"=""100""","=""Fm LXI""","=""+60""","=""Fermium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""3986""","="")""","=""10""","=""L8672c99""",
"=""100""","=""Fm LXII""","=""+61""","=""Fermium""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""4070""","="")""","=""12""","=""L8672c99""",
"=""100""","=""Fm LXIII""","=""+62""","=""Fermium""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""4160""","="")""","=""15""","=""L8672c99""",
"=""100""","=""Fm LXIV""","=""+63""","=""Fermium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""4245""","="")""","=""19""","=""L8672c99""",
"=""100""","=""Fm LXV""","=""+64""","=""Fermium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""(""","=""4586""","="")""","=""24""","=""L8672c99""",
"=""100""","=""Fm LXVI""","=""+65""","=""Fermium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""4670""","="")""","=""30""","=""L8672c99""",
"=""100""","=""Fm LXVII""","=""+66""","=""Fermium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p-2.4p+ (0,3/2)*<3/2>""","=""(""","=""4760""","="")""","=""40""","=""L8672c99""",
"=""100""","=""Fm LXVIII""","=""+67""","=""Fermium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""(0,3/2)*<3/2>""","=""4p2 3P<0>""","=""(""","=""4840""","="")""","=""40""","=""L8672c99""",
"=""100""","=""Fm LXIX""","=""+68""","=""Fermium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""5420""","="")""","=""50""","=""L8672c99""",
"=""100""","=""Fm LXX""","=""+69""","=""Fermium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""(""","=""5510""","="")""","=""50""","=""L8672c99""",
"=""100""","=""Fm LXXI""","=""+70""","=""Fermium""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""(""","=""5760""","="")""","=""60""","=""L8672c99""",
"=""100""","=""Fm LXXII""","=""+71""","=""Fermium""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""(""","=""5860""","="")""","=""60""","=""L8672c99""",
"=""100""","=""Fm LXXIII""","=""+72""","=""Fermium""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""(""","=""9200""","="")""","=""70""","=""L8672c99""",
"=""100""","=""Fm LXXIV""","=""+73""","=""Fermium""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""9370""","="")""","=""90""","=""L8672c99""",
"=""100""","=""Fm LXXV""","=""+74""","=""Fermium""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""9570""","="")""","=""90""","=""L8672c99""",
"=""100""","=""Fm LXXVI""","=""+75""","=""Fermium""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d-4.3d+2 (0,4)<4>""","=""(""","=""9770""","="")""","=""100""","=""L8672c99""",
"=""100""","=""Fm LXXVII""","=""+76""","=""Fermium""","=""Cr""","=""[Ar].3d6""","=""(0,4)<4>""","=""3d-4.3d+ (0,5/2)<5/2>""","=""(""","=""9970""","="")""","=""110""","=""L8672c99""",
"=""100""","=""Fm LXXVIII""","=""+77""","=""Fermium""","=""V""","=""[Ar].3d5""","=""(0,5/2)<5/2>""","=""3d4 5D<0>""","=""(""","=""10160""","="")""","=""120""","=""L8672c99""",
"=""100""","=""Fm LXXIX""","=""+78""","=""Fermium""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""10660""","="")""","=""120""","=""L8672c99""",
"=""100""","=""Fm LXXX""","=""+79""","=""Fermium""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""10860""","="")""","=""140""","=""L8672c99""",
"=""100""","=""Fm LXXXI""","=""+80""","=""Fermium""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""11080""","="")""","=""150""","=""L8672c99""",
"=""100""","=""Fm LXXXII""","=""+81""","=""Fermium""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""11280""","="")""","=""160""","=""L8672c99""",
"=""100""","=""Fm LXXXIII""","=""+82""","=""Fermium""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""(""","=""11850""","="")""","=""170""","=""L8672c99""",
"=""100""","=""Fm LXXXIV""","=""+83""","=""Fermium""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""(""","=""12020""","="")""","=""190""","=""L8672c99""",
"=""100""","=""Fm LXXXV""","=""+84""","=""Fermium""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 2P*<3/2>""","=""(""","=""12220""","="")""","=""200""","=""L8672c99""",
"=""100""","=""Fm LXXXVI""","=""+85""","=""Fermium""","=""P""","=""[Ne].3s2.3p3""","=""2P*<3/2>""","=""3p2 3P<0>""","=""(""","=""12390""","="")""","=""220""","=""L8672c99""",
"=""100""","=""Fm LXXXVII""","=""+86""","=""Fermium""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""(""","=""14180""","="")""","=""240""","=""L8672c99""",
"=""100""","=""Fm LXXXVIII""","=""+87""","=""Fermium""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""(""","=""14400""","="")""","=""250""","=""L8672c99""",
"=""100""","=""Fm LXXXIX""","=""+88""","=""Fermium""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""(""","=""14800""","="")""","=""300""","=""L8672c99""",
"=""100""","=""Fm XC""","=""+89""","=""Fermium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""(""","=""15000""","="")""","=""300""","=""L8672c99""",
"=""100""","=""Fm XCI""","=""+90""","=""Fermium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""(""","=""30300""","="")""","=""300""","=""L8672c99""",
"=""100""","=""Fm XCII""","=""+91""","=""Fermium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""(""","=""30800""","="")""","=""300""","=""L8672c99""",
"=""100""","=""Fm XCIII""","=""+92""","=""Fermium""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p2<1/2>.2p<3/2> (0,3/2)*<3/2>""","=""(""","=""31300""","="")""","=""400""","=""L8672c99""",
"=""100""","=""Fm XCIV""","=""+93""","=""Fermium""","=""N""","=""1s2.2s2.2p3""","=""(0,3/2)*<3/2>""","=""2p2 3P<0>""","=""(""","=""31800""","="")""","=""400""","=""L8672c99""",
"=""100""","=""Fm XCV""","=""+94""","=""Fermium""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""(""","=""38400""","="")""","=""400""","=""L8672c99""",
"=""100""","=""Fm XCVI""","=""+95""","=""Fermium""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""(""","=""39100""","="")""","=""400""","=""L8672c99""",
"=""100""","=""Fm XCVII""","=""+96""","=""Fermium""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""(""","=""40000""","="")""","=""400""","=""L8672c99""",
"=""100""","=""Fm XCVIII""","=""+97""","=""Fermium""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""40482.2""","="")""","=""1.1""","=""L16264c99""",
"=""100""","=""Fm XCIX""","=""+98""","=""Fermium""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""158171""","="")""","=""6""","=""L12128""",
"=""100""","=""Fm C""","=""+99""","=""Fermium""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""160808""","="")""","=""6""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
     [Kr] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6
     [Cd] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2
