At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""101""","=""Md I""","=""0""","=""Mendelevium""","=""Md""","=""[Rn].5f13.7s2""","=""2F*<7/2>""","=""5f13.7s 3F*<4>""","=""[""","=""6.58""","=""]""","=""0.07""","=""L16359""",
"=""101""","=""Md II""","=""+1""","=""Mendelevium""","=""Fm""","=""[Rn].5f13.7s""","=""3F*<4>""","=""5f13 2F*<7/2>""","=""[""","=""12.4""","=""]""","=""0.4""","=""L13741c99""",
"=""101""","=""Md III""","=""+2""","=""Mendelevium""","=""Es""","=""[Rn].5f13""","=""2F*<7/2>""","=""5f12 3H<6>""","=""[""","=""24.3""","=""]""","=""0.4""","=""L13741c99""",
"=""101""","=""Md IV""","=""+3""","=""Mendelevium""","=""Cf""","=""[Rn].5f12""","=""3H<6>""","=""5f11 4I*<15/2>""","=""[""","=""40.0""","=""]""","=""0.4""","=""L13741c99""",
"=""101""","=""Md V""","=""+4""","=""Mendelevium""","=""Bk""","=""[Rn].5f11""","=""4I*<15/2>""","=""5f10 5I<8>""","=""(""","=""54.1""","="")""","=""1.9""","=""L8672c99""",
"=""101""","=""Md VI""","=""+5""","=""Mendelevium""","=""Cm""","=""[Rn].5f10""","=""5I<8>""","=""5f9 6H*<15/2>""","=""(""","=""76.0""","="")""","=""2.0""","=""L8672c99""",
"=""101""","=""Md VII""","=""+6""","=""Mendelevium""","=""Am""","=""[Rn].5f9""","=""6H*<15/2>""","=""5f8 7F<6>""","=""(""","=""96.0""","="")""","=""2.0""","=""L8672c99""",
"=""101""","=""Md VIII""","=""+7""","=""Mendelevium""","=""Pu""","=""[Rn].5f8""","=""7F<6>""","=""5f7 8S*<7/2>""","=""(""","=""115.1""","="")""","=""2.1""","=""L8672c99""",
"=""101""","=""Md IX""","=""+8""","=""Mendelevium""","=""Np""","=""[Rn].5f7""","=""8S*<7/2>""","=""5f6 7F<0>""","=""(""","=""143.9""","="")""","=""2.2""","=""L8672c99""",
"=""101""","=""Md X""","=""+9""","=""Mendelevium""","=""U""","=""[Rn].5f6""","=""7F0""","=""5f5 6H*<5/2>""","=""(""","=""162.0""","="")""","=""2.2""","=""L8672c99""",
"=""101""","=""Md XI""","=""+10""","=""Mendelevium""","=""Pa""","=""[Rn].5f5""","=""6H*<5/2>""","=""5f4 5I<4>""","=""(""","=""187.0""","="")""","=""2.4""","=""L8672c99""",
"=""101""","=""Md XII""","=""+11""","=""Mendelevium""","=""Th""","=""[Rn].5f4""","=""5I<4>""","=""5f7.6p2""","=""(""","=""215""","="")""","=""11""","=""L582""",
