At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""102""","=""No I""","=""0""","=""Nobelium""","=""No""","=""[Rn].5f14.7s2""","=""1S0""","=""5f14.7s 2S<1/2>""","=""""","=""6.62621""","=""""","=""0.00005""","=""L20870""",
"=""102""","=""No II""","=""+1""","=""Nobelium""","=""Md""","=""[Rn].5f14.7s""","=""2S<1/2>""","=""5f14 1S<0>""","=""(""","=""12.93""","="")""","=""0.04""","=""L19691""",
"=""102""","=""No III""","=""+2""","=""Nobelium""","=""Fm""","=""[Rn].5f14""","=""1S0""","=""5f13 2F*<7/2>""","=""[""","=""25.8""","=""]""","=""0.4""","=""L13741c99""",
"=""102""","=""No IV""","=""+3""","=""Nobelium""","=""Es""","=""[Rn].5f13""","=""2F*<7/2>""","=""5f12 3H<6>""","=""[""","=""41.5""","=""]""","=""0.4""","=""L13741c99""",
"=""102""","=""No V""","=""+4""","=""Nobelium""","=""Cf""","=""[Rn].5f12""","=""3H<6>""","=""5f11 4I*<15/2>""","=""(""","=""60.0""","="")""","=""1.9""","=""L8672c99""",
"=""102""","=""No VI""","=""+5""","=""Nobelium""","=""Bk""","=""[Rn].5f11""","=""4I*<15/2>""","=""5f10 5I<8>""","=""(""","=""74.0""","="")""","=""2.0""","=""L8672c99""",
"=""102""","=""No VII""","=""+6""","=""Nobelium""","=""Cm""","=""[Rn].5f10""","=""5I<8>""","=""5f9 6H*<15/2>""","=""(""","=""97.0""","="")""","=""2.0""","=""L8672c99""",
"=""102""","=""No VIII""","=""+7""","=""Nobelium""","=""Am""","=""[Rn].5f9""","=""6H*<15/2>""","=""5f8 7F<6>""","=""(""","=""119.0""","="")""","=""2.1""","=""L8672c99""",
"=""102""","=""No IX""","=""+8""","=""Nobelium""","=""Pu""","=""[Rn].5f8""","=""7F<6>""","=""5f7 8S*<7/2>""","=""(""","=""140.0""","="")""","=""2.2""","=""L8672c99""",
"=""102""","=""No X""","=""+9""","=""Nobelium""","=""Np""","=""[Rn].5f7""","=""8S*<7/2>""","=""5f6 7F<0>""","=""(""","=""170.0""","="")""","=""2.2""","=""L8672c99""",
"=""102""","=""No XI""","=""+10""","=""Nobelium""","=""U""","=""[Rn].5f6""","=""7F0""","=""5f5 6H*<5/2>""","=""(""","=""187.0""","="")""","=""2.4""","=""L8672c99""",
"=""102""","=""No XII""","=""+11""","=""Nobelium""","=""Pa""","=""[Rn].5f5""","=""6H*<5/2>""","=""5f4 5I<4>""","=""(""","=""216.0""","="")""","=""2.5""","=""L8672c99""",
"=""102""","=""No XIII""","=""+12""","=""Nobelium""","=""Th""","=""[Rn].5f4""","=""5I<4>""","=""5f7.6p2""","=""(""","=""246""","="")""","=""12""","=""L582""",
"=""102""","=""No XIV""","=""+13""","=""Nobelium""","=""Ac""","=""[Hg].5f7.6p2""","=""*""","=""5f7.6p""","=""(""","=""267""","="")""","=""14""","=""L582""",
"=""102""","=""No XV""","=""+14""","=""Nobelium""","=""Ra""","=""[Hg].5f7.6p""","=""""","=""5f7*""","=""(""","=""285""","="")""","=""12""","=""L582""",
"=""102""","=""No XVI""","=""+15""","=""Nobelium""","=""Fr""","=""[Hg].5f7""","=""*""","=""5f6""","=""(""","=""312""","="")""","=""16""","=""L582""",
"=""102""","=""No XVII""","=""+16""","=""Nobelium""","=""Rn""","=""[Hg].5f6""","=""""","=""5f5*""","=""(""","=""341""","="")""","=""17""","=""L582""",
"=""102""","=""No XVIII""","=""+17""","=""Nobelium""","=""At""","=""[Hg].5f5""","=""*""","=""5f4""","=""(""","=""367""","="")""","=""19""","=""L582""",
"=""102""","=""No XIX""","=""+18""","=""Nobelium""","=""Po""","=""[Hg].5f4""","=""""","=""5f3*""","=""(""","=""394""","="")""","=""20""","=""L582""",
"=""102""","=""No XX""","=""+19""","=""Nobelium""","=""Bi""","=""[Hg].5f3""","=""*""","=""5f2""","=""(""","=""422""","="")""","=""21""","=""L582""",
"=""102""","=""No XXI""","=""+20""","=""Nobelium""","=""Pb""","=""[Hg].5f2""","=""""","=""5f 2F*<5/2>""","=""(""","=""448""","="")""","=""22""","=""L582""",
"=""102""","=""No XXII""","=""+21""","=""Nobelium""","=""Tl""","=""[Hg].5f""","=""2F*<5/2>""","=""6s2 1S<0>""","=""(""","=""475""","="")""","=""24""","=""L582""",
"=""102""","=""No XXIII""","=""+22""","=""Nobelium""","=""Hg""","=""[Xe].4f14.5d10.6s2""","=""1S0""","=""6s 2S<1/2>""","=""(""","=""496""","="")""","=""4""","=""L8672c99""",
"=""102""","=""No XXIV""","=""+23""","=""Nobelium""","=""Au""","=""[Xe].4f14.5d10.6s""","=""2S<1/2>""","=""5d10 1S<0>""","=""(""","=""520""","="")""","=""4""","=""L8672c99""",
"=""102""","=""No XXV""","=""+24""","=""Nobelium""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""(""","=""701""","="")""","=""4""","=""L8672c99""",
"=""102""","=""No XXVI""","=""+25""","=""Nobelium""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""734""","="")""","=""4""","=""L8672c99""",
"=""102""","=""No XXVII""","=""+26""","=""Nobelium""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""768""","="")""","=""4""","=""L8672c99""",
"=""102""","=""No XXVIII""","=""+27""","=""Nobelium""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""805""","="")""","=""4""","=""L8672c99""",
"=""102""","=""No XXIX""","=""+28""","=""Nobelium""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""840""","="")""","=""4""","=""L8672c99""",
"=""102""","=""No XXX""","=""+29""","=""Nobelium""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""875""","="")""","=""4""","=""L8672c99""",
"=""102""","=""No XXXI""","=""+30""","=""Nobelium""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""934""","="")""","=""4""","=""L8672c99""",
"=""102""","=""No XXXII""","=""+31""","=""Nobelium""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""(""","=""969""","="")""","=""4""","=""L8672c99""",
"=""102""","=""No XXXIII""","=""+32""","=""Nobelium""","=""Yb""","=""[Xe].4f14.5d2""","=""3F<2>""","=""5d 2D<3/2>""","=""(""","=""1010""","="")""","=""4""","=""L8672c99""",
