At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""103""","=""Lr I""","=""0""","=""Lawrencium""","=""Lr""","=""[Rn].5f14.7s2.7p""","=""2P*<1/2>""","=""7s2 1S<0>""","=""""","=""4.96""","=""""","=""0.05""","=""L21372""",
"=""103""","=""Lr II""","=""+1""","=""Lawrencium""","=""No""","=""[Rn].5f14.7s2""","=""1S0""","=""5f14.7s 2S<1/2>""","=""(""","=""14.54""","="")""","=""0.04""","=""L19691""",
"=""103""","=""Lr III""","=""+2""","=""Lawrencium""","=""Md""","=""[Rn].5f14.7s""","=""2S<1/2>""","=""5f14 1S<0>""","=""(""","=""21.80""","="")""","=""0.04""","=""L19691""",
"=""103""","=""Lr IV""","=""+3""","=""Lawrencium""","=""Fm""","=""[Rn].5f14""","=""1S0""","=""5f13 2F*<7/2>""","=""[""","=""43.6""","=""]""","=""0.4""","=""L13741c99""",
"=""103""","=""Lr V""","=""+4""","=""Lawrencium""","=""Es""","=""[Rn].5f13""","=""2F*<7/2>""","=""5f12 3H<6>""","=""(""","=""56.0""","="")""","=""1.9""","=""L8672c99""",
"=""103""","=""Lr VI""","=""+5""","=""Lawrencium""","=""Cf""","=""[Rn].5f12""","=""3H<6>""","=""5f11 4I*<15/2>""","=""(""","=""80.0""","="")""","=""2.0""","=""L8672c99""",
"=""103""","=""Lr VII""","=""+6""","=""Lawrencium""","=""Bk""","=""[Rn].5f11""","=""4I*<15/2>""","=""5f10 5I<8>""","=""(""","=""96.0""","="")""","=""2.0""","=""L8672c99""",
"=""103""","=""Lr VIII""","=""+7""","=""Lawrencium""","=""Cm""","=""[Rn].5f10""","=""5I<8>""","=""5f9 6H*<15/2>""","=""(""","=""121.0""","="")""","=""2.1""","=""L8672c99""",
"=""103""","=""Lr IX""","=""+8""","=""Lawrencium""","=""Am""","=""[Rn].5f9""","=""6H*<15/2>""","=""5f8 7F<6>""","=""(""","=""143.0""","="")""","=""2.2""","=""L8672c99""",
"=""103""","=""Lr X""","=""+9""","=""Lawrencium""","=""Pu""","=""[Rn].5f8""","=""7F<6>""","=""5f7 8S*<7/2>""","=""(""","=""165.0""","="")""","=""2.2""","=""L8672c99""",
"=""103""","=""Lr XI""","=""+10""","=""Lawrencium""","=""Np""","=""[Rn].5f7""","=""8S*<7/2>""","=""5f6 7F<0>""","=""(""","=""197.0""","="")""","=""2.4""","=""L8672c99""",
"=""103""","=""Lr XII""","=""+11""","=""Lawrencium""","=""U""","=""[Rn].5f6""","=""7F0""","=""5f5 6H*<5/2>""","=""(""","=""216.0""","="")""","=""2.5""","=""L8672c99""",
"=""103""","=""Lr XIII""","=""+12""","=""Lawrencium""","=""Pa""","=""[Rn].5f5""","=""6H*<5/2>""","=""5f4 5I<4>""","=""(""","=""244""","="")""","=""3""","=""L8672c99""",
"=""103""","=""Lr XIV""","=""+13""","=""Lawrencium""","=""Th""","=""[Rn].5f4""","=""5I<4>""","=""5f8.6p""","=""(""","=""269""","="")""","=""14""","=""L582""",
"=""103""","=""Lr XV""","=""+14""","=""Lawrencium""","=""Ac""","=""[Hg].5f8.6p""","=""*""","=""5f8""","=""(""","=""290""","="")""","=""15""","=""L582""",
"=""103""","=""Lr XVI""","=""+15""","=""Lawrencium""","=""Ra""","=""[Hg].5f8""","=""""","=""5f7*""","=""(""","=""322""","="")""","=""12""","=""L582""",
"=""103""","=""Lr XVII""","=""+16""","=""Lawrencium""","=""Fr""","=""[Hg].5f7""","=""*""","=""5f6""","=""(""","=""344""","="")""","=""17""","=""L582""",
"=""103""","=""Lr XVIII""","=""+17""","=""Lawrencium""","=""Rn""","=""[Hg].5f6""","=""""","=""5f5*""","=""(""","=""374""","="")""","=""19""","=""L582""",
"=""103""","=""Lr XIX""","=""+18""","=""Lawrencium""","=""At""","=""[Hg].5f5""","=""*""","=""5f4""","=""(""","=""403""","="")""","=""20""","=""L582""",
"=""103""","=""Lr XX""","=""+19""","=""Lawrencium""","=""Po""","=""[Hg].5f4""","=""""","=""5f3*""","=""(""","=""431""","="")""","=""21""","=""L582""",
"=""103""","=""Lr XXI""","=""+20""","=""Lawrencium""","=""Bi""","=""[Hg].5f3""","=""*""","=""5f2""","=""(""","=""459""","="")""","=""24""","=""L582""",
"=""103""","=""Lr XXII""","=""+21""","=""Lawrencium""","=""Pb""","=""[Hg].5f2""","=""""","=""5f 2F*<5/2>""","=""(""","=""487""","="")""","=""25""","=""L582""",
"=""103""","=""Lr XXIII""","=""+22""","=""Lawrencium""","=""Tl""","=""[Hg].5f""","=""2F*<5/2>""","=""5f.6s*""","=""(""","=""510""","="")""","=""30""","=""L582""",
"=""103""","=""Lr XXIV""","=""+23""","=""Lawrencium""","=""Hg""","=""[Xe].4f14.5d10.5f.6s""","=""*""","=""5f 2F<5/2>*""","=""(""","=""540""","="")""","=""30""","=""L582""",
"=""103""","=""Lr XXV""","=""+24""","=""Lawrencium""","=""Au""","=""[Xe].4f14.5d10.5f""","=""2F*<5/2>""","=""5d10 1S<0>""","=""(""","=""560""","="")""","=""30""","=""L582""",
"=""103""","=""Lr XXVI""","=""+25""","=""Lawrencium""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""(""","=""745""","="")""","=""4""","=""L8672c99""",
"=""103""","=""Lr XXVII""","=""+26""","=""Lawrencium""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""779""","="")""","=""4""","=""L8672c99""",
"=""103""","=""Lr XXVIII""","=""+27""","=""Lawrencium""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""814""","="")""","=""4""","=""L8672c98,c99""",
"=""103""","=""Lr XXIX""","=""+28""","=""Lawrencium""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""852""","="")""","=""4""","=""L8672c98,c99""",
"=""103""","=""Lr XXX""","=""+29""","=""Lawrencium""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""888""","="")""","=""4""","=""L8672c99""",
"=""103""","=""Lr XXXI""","=""+30""","=""Lawrencium""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""922""","="")""","=""4""","=""L8672c99""",
"=""103""","=""Lr XXXII""","=""+31""","=""Lawrencium""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""985""","="")""","=""4""","=""L8672c99""",
"=""103""","=""Lr XXXIII""","=""+32""","=""Lawrencium""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""(""","=""1020""","="")""","=""4""","=""L8672c99""",
"=""103""","=""Lr XXXIV""","=""+33""","=""Lawrencium""","=""Yb""","=""[Xe].4f14.5d2""","=""3F<2>""","=""5d 2D<3/2>""","=""(""","=""1061""","="")""","=""5""","=""L8672c99""",
"=""103""","=""Lr XXXV""","=""+34""","=""Lawrencium""","=""Tm""","=""[Xe].4f14.5d""","=""2D<3/2>""","=""4f14 1S<0>""","=""(""","=""1098""","="")""","=""5""","=""L8672c99""",
"=""103""","=""Lr XXXVI""","=""+35""","=""Lawrencium""","=""Er""","=""[Xe].4f14""","=""1S0""","=""4f14.5p5 2P*<3/2>""","=""(""","=""1280""","="")""","=""60""","=""L582""",
