At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""104""","=""Rf I""","=""0""","=""Rutherfordium""","=""Rf""","=""[Rn].5f14.6d2.7s2""","=""3F<2>""","=""6d.7s2 2D<3/2>""","=""(""","=""6.02""","="")""","=""0.04""","=""L19691""",
"=""104""","=""Rf II""","=""+1""","=""Rutherfordium""","=""Lr""","=""[Rn].5f14.6d.7s2""","=""2D<3/2>""","=""7s2 1S<0>""","=""(""","=""14.35""","="")""","=""0.04""","=""L19691""",
"=""104""","=""Rf III""","=""+2""","=""Rutherfordium""","=""No""","=""[Rn].5f14.7s2""","=""1S0""","=""5f14.7s 2S<1/2>""","=""(""","=""23.84""","="")""","=""0.04""","=""L19691""",
"=""104""","=""Rf IV""","=""+3""","=""Rutherfordium""","=""Md""","=""[Rn].5f14.7s""","=""2S<1/2>""","=""5f14 1S<0>""","=""(""","=""31.87""","="")""","=""0.04""","=""L19691""",
"=""104""","=""Rf V""","=""+4""","=""Rutherfordium""","=""Fm""","=""[Rn].5f14""","=""1S0""","=""5f13 2F*<7/2>""","=""(""","=""64.0""","="")""","=""1.9""","=""L8672c99""",
"=""104""","=""Rf VI""","=""+5""","=""Rutherfordium""","=""Es""","=""[Rn].5f13""","=""2F*<7/2>""","=""5f12 3H<6>""","=""(""","=""77.0""","="")""","=""2.0""","=""L8672c99""",
"=""104""","=""Rf VII""","=""+6""","=""Rutherfordium""","=""Cf""","=""[Rn].5f12""","=""3H<6>""","=""5f11 4I*<15/2>""","=""(""","=""102.0""","="")""","=""2.0""","=""L8672c99""",
"=""104""","=""Rf VIII""","=""+7""","=""Rutherfordium""","=""Bk""","=""[Rn].5f11""","=""4I*<15/2>""","=""5f10 5I<8>""","=""(""","=""119.0""","="")""","=""2.1""","=""L8672c99""",
"=""104""","=""Rf IX""","=""+8""","=""Rutherfordium""","=""Cm""","=""[Rn].5f10""","=""5I<8>""","=""5f9 6H*<15/2>""","=""(""","=""146.1""","="")""","=""2.2""","=""L8672c99""",
"=""104""","=""Rf X""","=""+9""","=""Rutherfordium""","=""Am""","=""[Rn].5f9""","=""6H*<15/2>""","=""5f8 7F<6>""","=""(""","=""169.0""","="")""","=""2.2""","=""L8672c99""",
