At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""105""","=""Db I""","=""0""","=""Dubnium""","=""Db""","=""[Rn].5f14.6d3.7s2""","=""4F<3/2>""","=""6d2.7s2 3F<2>""","=""(""","=""6.8""","="")""","=""0.5""","=""L12825""",
"=""105""","=""Db II""","=""+1""","=""Dubnium""","=""Rf""","=""[Rn].5f14.6d2.7s2""","=""3F<2>""","=""6d2.7s <3/2>""","=""(""","=""14.0""","="")""","=""1.6""","=""L8672c99""",
"=""105""","=""Db III""","=""+2""","=""Dubnium""","=""Lr""","=""[Rn].5f14.6d2.7s""","=""<3/2>""","=""6d2 <2>""","=""(""","=""23.1""","="")""","=""1.6""","=""L8672c99""",
"=""105""","=""Db IV""","=""+3""","=""Dubnium""","=""No""","=""[Rn].5f14.6d2""","=""<2>""","=""5f14.6d 2D<3/2>""","=""(""","=""33.0""","="")""","=""1.7""","=""L8672c99""",
"=""105""","=""Db V""","=""+4""","=""Dubnium""","=""Md""","=""[Rn].5f14.6d""","=""2D<3/2>""","=""5f14 1S<0>""","=""(""","=""43.0""","="")""","=""1.9""","=""L8672c99""",
"=""105""","=""Db VI""","=""+5""","=""Dubnium""","=""Fm""","=""[Rn].5f14""","=""1S0""","=""5f13 2F*<7/2>""","=""(""","=""86.0""","="")""","=""2.0""","=""L8672c99""",
"=""105""","=""Db VII""","=""+6""","=""Dubnium""","=""Es""","=""[Rn].5f13""","=""2F*<7/2>""","=""5f12 3H<6>""","=""(""","=""98.9""","="")""","=""2.0""","=""L8672c99""",
"=""105""","=""Db VIII""","=""+7""","=""Dubnium""","=""Cf""","=""[Rn].5f12""","=""3H<6>""","=""5f11 4I*<15/2>""","=""(""","=""126.0""","="")""","=""2.1""","=""L8672c99""",
"=""105""","=""Db IX""","=""+8""","=""Dubnium""","=""Bk""","=""[Rn].5f11""","=""4I*<15/2>""","=""5f10 5I<8>""","=""(""","=""145.1""","="")""","=""2.2""","=""L8672c99""",
"=""105""","=""Db X""","=""+9""","=""Dubnium""","=""Cm""","=""[Rn].5f10""","=""5I<8>""","=""5f9 6H*<15/2>""","=""(""","=""172.0""","="")""","=""2.2""","=""L8672c99""",
"=""105""","=""Db XI""","=""+10""","=""Dubnium""","=""Am""","=""[Rn].5f9""","=""6H*<15/2>""","=""5f8 7F<6>""","=""(""","=""196.0""","="")""","=""2.4""","=""L8672c99""",
"=""105""","=""Db XII""","=""+11""","=""Dubnium""","=""Pu""","=""[Rn].5f8""","=""7F<6>""","=""5f7 8S*<7/2>""","=""(""","=""220.9""","="")""","=""2.5""","=""L8672c99""",
"=""105""","=""Db XIII""","=""+12""","=""Dubnium""","=""Np""","=""[Rn].5f7""","=""8S*<7/2>""","=""5f6 7F<0>""","=""(""","=""254""","="")""","=""3""","=""L8672c99""",
"=""105""","=""Db XIV""","=""+13""","=""Dubnium""","=""U""","=""[Rn].5f6""","=""7F0""","=""5f5 6H*<5/2>""","=""(""","=""274""","="")""","=""3""","=""L8672c99""",
"=""105""","=""Db XV""","=""+14""","=""Dubnium""","=""Pa""","=""[Rn].5f5""","=""6H*<5/2>""","=""5f4 5I<4>""","=""(""","=""307""","="")""","=""3""","=""L8672c99""",
"=""105""","=""Db XVI""","=""+15""","=""Dubnium""","=""Th""","=""[Rn].5f4""","=""5I<4>""","=""""","=""""","=""""","=""""","=""""","=""""",
"=""105""","=""Db XXVIII""","=""+27""","=""Dubnium""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""(""","=""838""","="")""","=""4""","=""L8672c99""",
"=""105""","=""Db XXIX""","=""+28""","=""Dubnium""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""872""","="")""","=""4""","=""L8672c99""",
"=""105""","=""Db XXX""","=""+29""","=""Dubnium""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""908""","="")""","=""4""","=""L8672c99""",
"=""105""","=""Db XXXI""","=""+30""","=""Dubnium""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""948""","="")""","=""4""","=""L8672c99""",
"=""105""","=""Db XXXII""","=""+31""","=""Dubnium""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""985""","="")""","=""4""","=""L8672c99""",
"=""105""","=""Db XXXIII""","=""+32""","=""Dubnium""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""1022""","="")""","=""4""","=""L8672c99""",
"=""105""","=""Db XXXIV""","=""+33""","=""Dubnium""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""1089""","="")""","=""5""","=""L8672c99""",
"=""105""","=""Db XXXV""","=""+34""","=""Dubnium""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""(""","=""1126""","="")""","=""5""","=""L8672c99""",
"=""105""","=""Db XXXVI""","=""+35""","=""Dubnium""","=""Yb""","=""[Xe].4f14.5d2""","=""3F<2>""","=""5d 2D<3/2>""","=""(""","=""1168""","="")""","=""5""","=""L8672c99""",
