At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""106""","=""Sg I""","=""0""","=""Seaborgium""","=""Sg""","=""[Rn].5f14.6d4.7s2""","=""0""","=""6d3.7s2 4F<3/2>""","=""[""","=""7.8""","=""]""","=""0.5""","=""L7830""",
"=""106""","=""Sg II""","=""+1""","=""Seaborgium""","=""Db""","=""[Rn].5f14.6d3.7s2""","=""4F<3/2>""","=""6d3.7s <1>""","=""[""","=""17.1""","=""]""","=""0.5""","=""L7830""",
"=""106""","=""Sg III""","=""+2""","=""Seaborgium""","=""Rf""","=""[Rn].5f14.6d3.7s""","=""<1>""","=""6d3 <3/2>""","=""[""","=""25.8""","=""]""","=""0.5""","=""L7830""",
"=""106""","=""Sg IV""","=""+3""","=""Seaborgium""","=""Lr""","=""[Rn].5f14.6d3""","=""<3/2>""","=""6d2 <2>""","=""[""","=""35.5""","=""]""","=""0.5""","=""L7830""",
"=""106""","=""Sg V""","=""+4""","=""Seaborgium""","=""No""","=""[Rn].5f14.6d2""","=""<2>""","=""5f14.6d 2D<3/2>""","=""[""","=""47.2""","=""]""","=""0.5""","=""L7830""",
"=""106""","=""Sg VI""","=""+5""","=""Seaborgium""","=""Md""","=""[Rn].5f14.6d""","=""2D<3/2>""","=""5f14 1S<0>""","=""[""","=""59.3""","=""]""","=""0.5""","=""L7830""",
"=""106""","=""Sg VII""","=""+6""","=""Seaborgium""","=""Fm""","=""[Rn].5f14""","=""1S0""","=""5f13 2F*<7/2>""","=""(""","=""109.0""","="")""","=""2.0""","=""L8672c99""",
"=""106""","=""Sg VIII""","=""+7""","=""Seaborgium""","=""Es""","=""[Rn].5f13""","=""2F*<7/2>""","=""5f12 3H<6>""","=""(""","=""122.0""","="")""","=""2.1""","=""L8672c99""",
"=""106""","=""Sg IX""","=""+8""","=""Seaborgium""","=""Cf""","=""[Rn].5f12""","=""3H<6>""","=""5f11 4I*<15/2>""","=""(""","=""152.0""","="")""","=""2.2""","=""L8672c99""",
"=""106""","=""Sg X""","=""+9""","=""Seaborgium""","=""Bk""","=""[Rn].5f11""","=""4I*<15/2>""","=""5f10 5I<8>""","=""(""","=""170.0""","="")""","=""2.2""","=""L8672c99""",
"=""106""","=""Sg XI""","=""+10""","=""Seaborgium""","=""Cm""","=""[Rn].5f10""","=""5I<8>""","=""5f9 6H*<15/2>""","=""(""","=""200.0""","="")""","=""2.4""","=""L8672c99""",
"=""106""","=""Sg XII""","=""+11""","=""Seaborgium""","=""Am""","=""[Rn].5f9""","=""6H*<15/2>""","=""5f8 7F<6>""","=""(""","=""224.0""","="")""","=""2.5""","=""L8672c99""",
"=""106""","=""Sg XIII""","=""+12""","=""Seaborgium""","=""Pu""","=""[Rn].5f8""","=""7F<6>""","=""5f7 8S*<7/2>""","=""(""","=""251""","="")""","=""3""","=""L8672c99""",
"=""106""","=""Sg XIV""","=""+13""","=""Seaborgium""","=""Np""","=""[Rn].5f7""","=""8S*<7/2>""","=""5f6 7F<0>""","=""(""","=""285""","="")""","=""3""","=""L8672c99""",
"=""106""","=""Sg XV""","=""+14""","=""Seaborgium""","=""U""","=""[Rn].5f6""","=""7F0""","=""5f5 6H*<5/2>""","=""(""","=""306""","="")""","=""3""","=""L8672c99""",
"=""106""","=""Sg XVI""","=""+15""","=""Seaborgium""","=""Pa""","=""[Rn].5f5""","=""6H*<5/2>""","=""5f4 5I<4>""","=""(""","=""339""","="")""","=""3""","=""L8672c99""",
"=""106""","=""Sg XVII""","=""+16""","=""Seaborgium""","=""Th""","=""[Rn].5f4""","=""5I<4>""","=""""","=""""","=""""","=""""","=""""","=""""",
"=""106""","=""Sg XXIX""","=""+28""","=""Seaborgium""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""(""","=""885""","="")""","=""4""","=""L8672c99""",
"=""106""","=""Sg XXX""","=""+29""","=""Seaborgium""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""921""","="")""","=""4""","=""L8672c99""",
"=""106""","=""Sg XXXI""","=""+30""","=""Seaborgium""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""958""","="")""","=""4""","=""L8672c98,c99""",
"=""106""","=""Sg XXXII""","=""+31""","=""Seaborgium""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""998""","="")""","=""4""","=""L8672c98,c99""",
"=""106""","=""Sg XXXIII""","=""+32""","=""Seaborgium""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""1036""","="")""","=""4""","=""L8672c99""",
"=""106""","=""Sg XXXIV""","=""+33""","=""Seaborgium""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""1073""","="")""","=""5""","=""L8672c99""",
"=""106""","=""Sg XXXV""","=""+34""","=""Seaborgium""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""1143""","="")""","=""5""","=""L8672c99""",
"=""106""","=""Sg XXXVI""","=""+35""","=""Seaborgium""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""(""","=""1181""","="")""","=""5""","=""L8672c99""",
