At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""107""","=""Bh I""","=""0""","=""Bohrium""","=""Bh""","=""[Rn].5f14.6d5.7s2""","=""<5/2>""","=""6d4.7s2 <0>""","=""[""","=""7.7""","=""]""","=""0.5""","=""L13544""",
"=""107""","=""Bh II""","=""+1""","=""Bohrium""","=""Sg""","=""[Rn].5f14.6d4.7s2""","=""0""","=""6d4.7s <1/2>""","=""[""","=""17.5""","=""]""","=""0.5""","=""L13544""",
"=""107""","=""Bh III""","=""+2""","=""Bohrium""","=""Db""","=""[Rn].5f14.6d4.7s""","=""<1/2>""","=""6d4 <0>""","=""[""","=""26.7""","=""]""","=""0.5""","=""L13544""",
"=""107""","=""Bh IV""","=""+3""","=""Bohrium""","=""Rf""","=""[Rn].5f14.6d4""","=""0""","=""6d3 <3/2>""","=""[""","=""37.3""","=""]""","=""0.5""","=""L13544""",
"=""107""","=""Bh V""","=""+4""","=""Bohrium""","=""Lr""","=""[Rn].5f14.6d3""","=""<3/2>""","=""6d2 <2>""","=""[""","=""49.0""","=""]""","=""0.5""","=""L13544""",
"=""107""","=""Bh VI""","=""+5""","=""Bohrium""","=""No""","=""[Rn].5f14.6d2""","=""<2>""","=""5f14.6d 2D<3/2>""","=""[""","=""62.1""","=""]""","=""0.5""","=""L13544""",
"=""107""","=""Bh VII""","=""+6""","=""Bohrium""","=""Md""","=""[Rn].5f14.6d""","=""2D<3/2>""","=""5f14 1S<0>""","=""[""","=""74.9""","=""]""","=""0.5""","=""L13544""",
"=""107""","=""Bh VIII""","=""+7""","=""Bohrium""","=""Fm""","=""[Rn].5f14""","=""1S0""","=""5f13 2F*<7/2>""","=""(""","=""134.0""","="")""","=""2.1""","=""L8672c99""",
"=""107""","=""Bh IX""","=""+8""","=""Bohrium""","=""Es""","=""[Rn].5f13""","=""2F*<7/2>""","=""5f12 3H<6>""","=""(""","=""148.0""","="")""","=""2.2""","=""L8672c99""",
"=""107""","=""Bh X""","=""+9""","=""Bohrium""","=""Cf""","=""[Rn].5f12""","=""3H<6>""","=""5f11 4I*<15/2>""","=""(""","=""178.0""","="")""","=""2.2""","=""L8672c99""",
"=""107""","=""Bh XI""","=""+10""","=""Bohrium""","=""Bk""","=""[Rn].5f11""","=""4I*<15/2>""","=""5f10 5I<8>""","=""(""","=""198.0""","="")""","=""2.4""","=""L8672c99""",
"=""107""","=""Bh XII""","=""+11""","=""Bohrium""","=""Cm""","=""[Rn].5f10""","=""5I<8>""","=""5f9 6H*<15/2>""","=""(""","=""228.0""","="")""","=""2.5""","=""L8672c99""",
"=""107""","=""Bh XIII""","=""+12""","=""Bohrium""","=""Am""","=""[Rn].5f9""","=""6H*<15/2>""","=""5f8 7F<6>""","=""(""","=""255""","="")""","=""3""","=""L8672c99""",
"=""107""","=""Bh XIV""","=""+13""","=""Bohrium""","=""Pu""","=""[Rn].5f8""","=""7F<6>""","=""5f7 8S*<7/2>""","=""(""","=""281""","="")""","=""3""","=""L8672c99""",
"=""107""","=""Bh XV""","=""+14""","=""Bohrium""","=""Np""","=""[Rn].5f7""","=""8S*<7/2>""","=""5f6 7F<0>""","=""(""","=""318""","="")""","=""3""","=""L8672c99""",
"=""107""","=""Bh XVI""","=""+15""","=""Bohrium""","=""U""","=""[Rn].5f6""","=""7F0""","=""5f5 6H*<5/2>""","=""(""","=""337""","="")""","=""3""","=""L8672c99""",
"=""107""","=""Bh XVII""","=""+16""","=""Bohrium""","=""Pa""","=""[Rn].5f5""","=""6H*<5/2>""","=""5f4 5I<4>""","=""(""","=""374""","="")""","=""3""","=""L8672c99""",
"=""107""","=""Bh XVIII""","=""+17""","=""Bohrium""","=""Th""","=""[Rn].5f4""","=""5I<4>""","=""""","=""""","=""""","=""""","=""""","=""""",
"=""107""","=""Bh XXX""","=""+29""","=""Bohrium""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""(""","=""934""","="")""","=""4""","=""L8672c99""",
"=""107""","=""Bh XXXI""","=""+30""","=""Bohrium""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""969""","="")""","=""4""","=""L8672c99""",
"=""107""","=""Bh XXXII""","=""+31""","=""Bohrium""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""1008""","="")""","=""4""","=""L8672c99""",
"=""107""","=""Bh XXXIII""","=""+32""","=""Bohrium""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""1049""","="")""","=""4""","=""L8672c99""",
"=""107""","=""Bh XXXIV""","=""+33""","=""Bohrium""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""1088""","="")""","=""5""","=""L8672c99""",
"=""107""","=""Bh XXXV""","=""+34""","=""Bohrium""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""1126""","="")""","=""5""","=""L8672c99""",
