At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""108""","=""Hs I""","=""0""","=""Hassium""","=""Hs""","=""[Rn].5f14.6d6.7s2""","=""<4>""","=""6d5.7s2 <5/2>""","=""[""","=""7.6""","=""]""","=""0.5""","=""L13544""",
"=""108""","=""Hs II""","=""+1""","=""Hassium""","=""Bh""","=""[Rn].5f14.6d5.7s2""","=""<5/2>""","=""6d5.7s <3>""","=""[""","=""18.2""","=""]""","=""0.5""","=""L13544""",
"=""108""","=""Hs III""","=""+2""","=""Hassium""","=""Sg""","=""[Rn].5f14.6d5.7s""","=""<3>""","=""6d4.7s <1/2>""","=""[""","=""29.3""","=""]""","=""0.5""","=""L13544""",
"=""108""","=""Hs IV""","=""+3""","=""Hassium""","=""Db""","=""[Rn].5f14.6d4.7s""","=""<1/2>""","=""6d4 <0>""","=""[""","=""37.7""","=""]""","=""0.5""","=""L13544""",
"=""108""","=""Hs V""","=""+4""","=""Hassium""","=""Rf""","=""[Rn].5f14.6d4""","=""0""","=""6d3 <3/2>""","=""[""","=""51.2""","=""]""","=""0.5""","=""L13544""",
"=""108""","=""Hs VI""","=""+5""","=""Hassium""","=""Lr""","=""[Rn].5f14.6d3""","=""<3/2>""","=""6d2 <2>""","=""[""","=""64.0""","=""]""","=""0.5""","=""L13544""",
"=""108""","=""Hs VII""","=""+6""","=""Hassium""","=""No""","=""[Rn].5f14.6d2""","=""<2>""","=""5f14.6d 2D<3/2>""","=""[""","=""78.1""","=""]""","=""0.5""","=""L13544""",
"=""108""","=""Hs VIII""","=""+7""","=""Hassium""","=""Md""","=""[Rn].5f14.6d""","=""2D<3/2>""","=""5f14 1S<0>""","=""[""","=""91.7""","=""]""","=""0.5""","=""L13544""",
"=""108""","=""Hs IX""","=""+8""","=""Hassium""","=""Fm""","=""[Rn].5f14""","=""1S0""","=""5f13 2F*<7/2>""","=""(""","=""159.9""","="")""","=""2.2""","=""L8672c99""",
"=""108""","=""Hs X""","=""+9""","=""Hassium""","=""Es""","=""[Rn].5f13""","=""2F*<7/2>""","=""5f12 3H<6>""","=""(""","=""173.9""","="")""","=""2.2""","=""L8672c99""",
"=""108""","=""Hs XI""","=""+10""","=""Hassium""","=""Cf""","=""[Rn].5f12""","=""3H<6>""","=""5f11 4I*<15/2>""","=""(""","=""206.1""","="")""","=""2.4""","=""L8672c99""",
"=""108""","=""Hs XII""","=""+11""","=""Hassium""","=""Bk""","=""[Rn].5f11""","=""4I*<15/2>""","=""5f10 5I<8>""","=""(""","=""227.0""","="")""","=""2.5""","=""L8672c99""",
"=""108""","=""Hs XIII""","=""+12""","=""Hassium""","=""Cm""","=""[Rn].5f10""","=""5I<8>""","=""5f9 6H*<15/2>""","=""(""","=""258""","="")""","=""3""","=""L8672c99""",
"=""108""","=""Hs XIV""","=""+13""","=""Hassium""","=""Am""","=""[Rn].5f9""","=""6H*<15/2>""","=""5f8 7F<6>""","=""(""","=""285""","="")""","=""3""","=""L8672c99""",
"=""108""","=""Hs XV""","=""+14""","=""Hassium""","=""Pu""","=""[Rn].5f8""","=""7F<6>""","=""5f7 8S*<7/2>""","=""(""","=""314""","="")""","=""3""","=""L8672c99""",
"=""108""","=""Hs XVI""","=""+15""","=""Hassium""","=""Np""","=""[Rn].5f7""","=""8S*<7/2>""","=""5f6 7F<0>""","=""(""","=""351""","="")""","=""3""","=""L8672c99""",
"=""108""","=""Hs XVII""","=""+16""","=""Hassium""","=""U""","=""[Rn].5f6""","=""7F0""","=""5f5 6H*<5/2>""","=""(""","=""371""","="")""","=""3""","=""L8672c99""",
"=""108""","=""Hs XVIII""","=""+17""","=""Hassium""","=""Pa""","=""[Rn].5f5""","=""6H*<5/2>""","=""5f4 5I<4>""","=""(""","=""409""","="")""","=""3""","=""L8672c99""",
"=""108""","=""Hs XIX""","=""+18""","=""Hassium""","=""Th""","=""[Rn].5f4""","=""5I<4>""","=""""","=""""","=""""","=""""","=""""","=""""",
"=""108""","=""Hs XXXI""","=""+30""","=""Hassium""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""(""","=""984""","="")""","=""4""","=""L8672c99""",
"=""108""","=""Hs XXXII""","=""+31""","=""Hassium""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""1020""","="")""","=""4""","=""L8672c99""",
"=""108""","=""Hs XXXIII""","=""+32""","=""Hassium""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""1060""","="")""","=""4""","=""L8672c99""",
"=""108""","=""Hs XXXIV""","=""+33""","=""Hassium""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""1101""","="")""","=""5""","=""L8672c99""",
"=""108""","=""Hs XXXV""","=""+34""","=""Hassium""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""1140""","="")""","=""5""","=""L8672c99""",
"=""108""","=""Hs XXXVI""","=""+35""","=""Hassium""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""1180""","="")""","=""5""","=""L8672c99""",
"=""108""","=""Hs XXXVII""","=""+36""","=""Hassium""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""1253""","="")""","=""5""","=""L8672c99""",
"=""108""","=""Hs XXXVIII""","=""+37""","=""Hassium""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""(""","=""1294""","="")""","=""4""","=""L8672c99""",
"=""108""","=""Hs XXXIX""","=""+38""","=""Hassium""","=""Yb""","=""[Xe].4f14.5d2""","=""3F<2>""","=""5d 2D<3/2>""","=""(""","=""1338""","="")""","=""4""","=""L8672c99""",
"=""108""","=""Hs XL""","=""+39""","=""Hassium""","=""Tm""","=""[Xe].4f14.5d""","=""2D<3/2>""","=""4f14 1S<0>""","=""(""","=""1379""","="")""","=""4""","=""L8672c99""",
"=""108""","=""Hs XLI""","=""+40""","=""Hassium""","=""Er""","=""[Xe].4f14""","=""1S0""","=""4f14.5p5 2P*<3/2>""","=""""","=""""","=""""","=""""","=""""",
"=""108""","=""Hs XLII""","=""+41""","=""Hassium""","=""Ho""","=""[Cd].4f14.5p5""","=""2P*<3/2>""","=""4f14.5p4 3P<2>""","=""""","=""""","=""""","=""""","=""""",
