At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""109""","=""Mt V""","=""+4""","=""Meitnerium""","=""Db""","=""[Rn].5f14.6d5""","=""<5/2>""","=""6d4 <0>""","=""(""","=""50.0""","="")""","=""1.9""","=""L8672c99""",
"=""109""","=""Mt VI""","=""+5""","=""Meitnerium""","=""Rf""","=""[Rn].5f14.6d4""","=""0""","=""6d3 <3/2>""","=""""","=""""","=""""","=""""","=""""",
"=""109""","=""Mt VII""","=""+6""","=""Meitnerium""","=""Lr""","=""[Rn].5f14.6d3""","=""<3/2>""","=""6d2 <2>""","=""""","=""""","=""""","=""""","=""""",
"=""109""","=""Mt VIII""","=""+7""","=""Meitnerium""","=""No""","=""[Rn].5f14.6d2""","=""<2>""","=""5f14.6d 2D<3/2>""","=""(""","=""94.0""","="")""","=""2.1""","=""L8672c99""",
"=""109""","=""Mt IX""","=""+8""","=""Meitnerium""","=""Md""","=""[Rn].5f14.6d""","=""2D<3/2>""","=""5f14 1S<0>""","=""(""","=""109.0""","="")""","=""2.2""","=""L8672c99""",
"=""109""","=""Mt X""","=""+9""","=""Meitnerium""","=""Fm""","=""[Rn].5f14""","=""1S0""","=""5f13 2F*<7/2>""","=""(""","=""187.0""","="")""","=""2.2""","=""L8672c99""",
"=""109""","=""Mt XI""","=""+10""","=""Meitnerium""","=""Es""","=""[Rn].5f13""","=""2F*<7/2>""","=""5f12 3H<6>""","=""(""","=""202.0""","="")""","=""2.4""","=""L8672c99""",
"=""109""","=""Mt XII""","=""+11""","=""Meitnerium""","=""Cf""","=""[Rn].5f12""","=""3H<6>""","=""5f11 4I*<15/2>""","=""(""","=""235.9""","="")""","=""2.5""","=""L8672c99""",
"=""109""","=""Mt XIII""","=""+12""","=""Meitnerium""","=""Bk""","=""[Rn].5f11""","=""4I*<15/2>""","=""5f10 5I<8>""","=""(""","=""257""","="")""","=""3""","=""L8672c99""",
"=""109""","=""Mt XIV""","=""+13""","=""Meitnerium""","=""Cm""","=""[Rn].5f10""","=""5I<8>""","=""5f9 6H*<15/2>""","=""(""","=""289""","="")""","=""3""","=""L8672c99""",
"=""109""","=""Mt XV""","=""+14""","=""Meitnerium""","=""Am""","=""[Rn].5f9""","=""6H*<15/2>""","=""5f8 7F<6>""","=""(""","=""318""","="")""","=""3""","=""L8672c99""",
"=""109""","=""Mt XVI""","=""+15""","=""Meitnerium""","=""Pu""","=""[Rn].5f8""","=""7F<6>""","=""5f7 8S*<7/2>""","=""(""","=""346""","="")""","=""3""","=""L8672c99""",
"=""109""","=""Mt XVII""","=""+16""","=""Meitnerium""","=""Np""","=""[Rn].5f7""","=""8S*<7/2>""","=""5f6 7F<0>""","=""(""","=""386""","="")""","=""3""","=""L8672c99""",
