At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells,Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""10""","=""Ne I""","=""0""","=""Neon""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""""","=""21.564541""","=""""","=""0.000007""","=""L8826,L1407""",
"=""10""","=""Ne II""","=""+1""","=""Neon""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""""","=""40.96297""","=""""","=""0.00004""","=""L1406""",
"=""10""","=""Ne III""","=""+2""","=""Neon""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p3 4S*<3/2>""","=""""","=""63.4233""","=""""","=""0.0003""","=""L9091""",
"=""10""","=""Ne IV""","=""+3""","=""Neon""","=""N""","=""1s2.2s2.2p3""","=""4S*<3/2>""","=""2s2.2p2 3P<0>""","=""[""","=""97.1900""","=""]""","=""0.0025""","=""L11782""",
"=""10""","=""Ne V""","=""+4""","=""Neon""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""""","=""126.247""","=""""","=""0.012""","=""L11744""",
"=""10""","=""Ne VI""","=""+5""","=""Neon""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""""","=""157.934""","=""""","=""0.005""","=""L9340""",
"=""10""","=""Ne VII""","=""+6""","=""Neon""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""""","=""207.271""","=""""","=""0.012""","=""L9089""",
"=""10""","=""Ne VIII""","=""+7""","=""Neon""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""[""","=""239.0970""","=""]""","=""0.0019""","=""L9090""",
"=""10""","=""Ne IX""","=""+8""","=""Neon""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""1195.8082""","="")""","=""0.0004""","=""L21139""",
"=""10""","=""Ne X""","=""+9""","=""Neon""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""1362.199256""","="")""","=""0.000004""","=""L19200""",
