At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""110""","=""Ds VI""","=""+5""","=""Darmstadtium""","=""Db""","=""[Rn].5f14.6d5""","=""<5/2>""","=""6d4 <0>""","=""(""","=""65.0""","="")""","=""2.0""","=""L8672c99""",
"=""110""","=""Ds VII""","=""+6""","=""Darmstadtium""","=""Rf""","=""[Rn].5f14.6d4""","=""0""","=""6d3 <3/2>""","=""""","=""""","=""""","=""""","=""""",
"=""110""","=""Ds VIII""","=""+7""","=""Darmstadtium""","=""Lr""","=""[Rn].5f14.6d3""","=""<3/2>""","=""6d2 <2>""","=""""","=""""","=""""","=""""","=""""",
"=""110""","=""Ds IX""","=""+8""","=""Darmstadtium""","=""No""","=""[Rn].5f14.6d2""","=""<2>""","=""5f14.6d 2D<3/2>""","=""(""","=""112.9""","="")""","=""2.2""","=""L8672c99""",
"=""110""","=""Ds X""","=""+9""","=""Darmstadtium""","=""Md""","=""[Rn].5f14.6d""","=""2D<3/2>""","=""5f14 1S<0>""","=""(""","=""128.0""","="")""","=""2.2""","=""L8672c99""",
"=""110""","=""Ds XI""","=""+10""","=""Darmstadtium""","=""Fm""","=""[Rn].5f14""","=""1S0""","=""5f13 2F*<7/2>""","=""(""","=""216.0""","="")""","=""2.4""","=""L8672c99""",
"=""110""","=""Ds XII""","=""+11""","=""Darmstadtium""","=""Es""","=""[Rn].5f13""","=""2F*<7/2>""","=""5f12 3H<6>""","=""(""","=""231.0""","="")""","=""2.5""","=""L8672c99""",
"=""110""","=""Ds XIII""","=""+12""","=""Darmstadtium""","=""Cf""","=""[Rn].5f12""","=""3H<6>""","=""5f11 4I*<15/2>""","=""(""","=""266""","="")""","=""3""","=""L8672c99""",
"=""110""","=""Ds XIV""","=""+13""","=""Darmstadtium""","=""Bk""","=""[Rn].5f11""","=""4I*<15/2>""","=""5f10 5I<8>""","=""(""","=""288""","="")""","=""3""","=""L8672c99""",
"=""110""","=""Ds XV""","=""+14""","=""Darmstadtium""","=""Cm""","=""[Rn].5f10""","=""5I<8>""","=""5f9 6H*<15/2>""","=""(""","=""322""","="")""","=""3""","=""L8672c99""",
"=""110""","=""Ds XVI""","=""+15""","=""Darmstadtium""","=""Am""","=""[Rn].5f9""","=""6H*<15/2>""","=""5f8 7F<6>""","=""(""","=""352""","="")""","=""3""","=""L8672c99""",
"=""110""","=""Ds XVII""","=""+16""","=""Darmstadtium""","=""Pu""","=""[Rn].5f8""","=""7F<6>""","=""5f7 8S*<7/2>""","=""(""","=""380""","="")""","=""3""","=""L8672c99""",
"=""110""","=""Ds XVIII""","=""+17""","=""Darmstadtium""","=""Np""","=""[Rn].5f7""","=""8S*<7/2>""","=""5f6 7F<0>""","=""(""","=""422""","="")""","=""3""","=""L8672c99""",
"=""110""","=""Ds XIX""","=""+18""","=""Darmstadtium""","=""U""","=""[Rn].5f6""","=""7F0""","=""5f5 6H*<5/2>""","=""(""","=""442""","="")""","=""3""","=""L8672c99""",
"=""110""","=""Ds XX""","=""+19""","=""Darmstadtium""","=""Pa""","=""[Rn].5f5""","=""6H*<5/2>""","=""5f4 5I<4>""","=""(""","=""483""","="")""","=""4""","=""L8672c99""",
"=""110""","=""Ds XXI""","=""+20""","=""Darmstadtium""","=""Th""","=""[Rn].5f4""","=""5I<4>""","=""""","=""""","=""""","=""""","=""""","=""""",
"=""110""","=""Ds XXXIII""","=""+32""","=""Darmstadtium""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""(""","=""1087""","="")""","=""4""","=""L8672c99""",
"=""110""","=""Ds XXXIV""","=""+33""","=""Darmstadtium""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""1125""","="")""","=""5""","=""L8672c99""",
"=""110""","=""Ds XXXV""","=""+34""","=""Darmstadtium""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""1165""","="")""","=""5""","=""L8672c99""",
"=""110""","=""Ds XXXVI""","=""+35""","=""Darmstadtium""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""1208""","="")""","=""5""","=""L8672c98,c99""",
"=""110""","=""Ds XXXVII""","=""+36""","=""Darmstadtium""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""1250""","="")""","=""5""","=""L8672c98,c99""",
"=""110""","=""Ds XXXVIII""","=""+37""","=""Darmstadtium""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""1290""","="")""","=""4""","=""L8672c99""",
"=""110""","=""Ds XXXIX""","=""+38""","=""Darmstadtium""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""1369""","="")""","=""4""","=""L8672c99""",
