At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""11""","=""Na I""","=""0""","=""Sodium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""""","=""5.13907696""","=""""","=""0.00000025""","=""L10921,L9648""",
"=""11""","=""Na II""","=""+1""","=""Sodium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""""","=""47.28636""","=""""","=""0.00025""","=""L914""",
"=""11""","=""Na III""","=""+2""","=""Sodium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""[""","=""71.6200""","=""]""","=""0.0012""","=""L5793,L2720""",
"=""11""","=""Na IV""","=""+3""","=""Sodium""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p3 4S*<3/2>""","=""[""","=""98.936""","=""]""","=""0.012""","=""L11770""",
"=""11""","=""Na V""","=""+4""","=""Sodium""","=""N""","=""1s2.2s2.2p3""","=""4S*<3/2>""","=""2p2 3P<0>""","=""""","=""138.404""","=""""","=""0.012""","=""L7482""",
"=""11""","=""Na VI""","=""+5""","=""Sodium""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""[""","=""172.23""","=""]""","=""0.05""","=""L11770""",
"=""11""","=""Na VII""","=""+6""","=""Sodium""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""[""","=""208.504""","=""]""","=""0.012""","=""L11770""",
"=""11""","=""Na VIII""","=""+7""","=""Sodium""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""[""","=""264.192""","=""]""","=""0.022""","=""L11770""",
"=""11""","=""Na IX""","=""+8""","=""Sodium""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""299.856""","="")""","=""0.007""","=""L16264c99""",
"=""11""","=""Na X""","=""+9""","=""Sodium""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""1465.0992""","="")""","=""0.0007""","=""L21139""",
"=""11""","=""Na XI""","=""+10""","=""Sodium""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""1648.702285""","="")""","=""0.000005""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
