At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""12""","=""Mg I""","=""0""","=""Magnesium""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""""","=""7.646236""","=""""","=""0.000004""","=""L10635,L6969""",
"=""12""","=""Mg II""","=""+1""","=""Magnesium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""""","=""15.035271""","=""""","=""0.000006""","=""L10635""",
"=""12""","=""Mg III""","=""+2""","=""Magnesium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""""","=""80.1436""","=""""","=""0.0006""","=""L4995,L1434""",
"=""12""","=""Mg IV""","=""+3""","=""Magnesium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""[""","=""109.2654""","=""]""","=""0.0012""","=""L4995,L2720""",
"=""12""","=""Mg V""","=""+4""","=""Magnesium""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p3 4S*<3/2>""","=""[""","=""141.33""","=""]""","=""0.03""","=""L11770""",
"=""12""","=""Mg VI""","=""+5""","=""Magnesium""","=""N""","=""1s2.2s2.2p3""","=""4S*<3/2>""","=""2p2 3P<0>""","=""[""","=""186.76""","=""]""","=""0.06""","=""L10635""",
"=""12""","=""Mg VII""","=""+6""","=""Magnesium""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""[""","=""225.02""","=""]""","=""0.06""","=""L11770""",
"=""12""","=""Mg VIII""","=""+7""","=""Magnesium""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""[""","=""265.924""","=""]""","=""0.019""","=""L11770""",
"=""12""","=""Mg IX""","=""+8""","=""Magnesium""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""[""","=""327.99""","=""]""","=""0.04""","=""L11770""",
"=""12""","=""Mg X""","=""+9""","=""Magnesium""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""367.489""","="")""","=""0.007""","=""L16264c99""",
"=""12""","=""Mg XI""","=""+10""","=""Magnesium""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""1761.8049""","="")""","=""0.0010""","=""L21139""",
"=""12""","=""Mg XII""","=""+11""","=""Magnesium""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""1962.663889""","="")""","=""0.000007""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
