At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""14""","=""Si I""","=""0""","=""Silicon""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""""","=""8.15168""","=""""","=""0.00003""","=""L5815""",
"=""14""","=""Si II""","=""+1""","=""Silicon""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""""","=""16.34585""","=""""","=""0.00004""","=""L5815""",
"=""14""","=""Si III""","=""+2""","=""Silicon""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""""","=""33.49300""","=""""","=""0.00009""","=""L5815""",
"=""14""","=""Si IV""","=""+3""","=""Silicon""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""""","=""45.14179""","=""""","=""0.00007""","=""L5815,L6098""",
"=""14""","=""Si V""","=""+4""","=""Silicon""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""""","=""166.767""","=""""","=""0.003""","=""L3934""",
"=""14""","=""Si VI""","=""+5""","=""Silicon""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""[""","=""205.279""","=""]""","=""0.005""","=""c192""",
"=""14""","=""Si VII""","=""+6""","=""Silicon""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p3 4S*<3/2>""","=""[""","=""246.57""","=""]""","=""0.05""","=""c193""",
"=""14""","=""Si VIII""","=""+7""","=""Silicon""","=""N""","=""1s2.2s2.2p3""","=""4S*<3/2>""","=""2p2 3P<0>""","=""[""","=""303.59""","=""]""","=""0.05""","=""c193""",
"=""14""","=""Si IX""","=""+8""","=""Silicon""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""[""","=""351.28""","=""]""","=""0.06""","=""c193""",
"=""14""","=""Si X""","=""+9""","=""Silicon""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""[""","=""401.38""","=""]""","=""0.04""","=""L11770""",
"=""14""","=""Si XI""","=""+10""","=""Silicon""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""[""","=""476.273""","=""]""","=""0.019""","=""c192""",
"=""14""","=""Si XII""","=""+11""","=""Silicon""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""523.415""","="")""","=""0.007""","=""L16264c99""",
"=""14""","=""Si XIII""","=""+12""","=""Silicon""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""2437.65805""","="")""","=""0.00017""","=""L21139""",
"=""14""","=""Si XIV""","=""+13""","=""Silicon""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""2673.177958""","="")""","=""0.000017""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
