At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""15""","=""P I""","=""0""","=""Phosphorus""","=""P""","=""[Ne].3s2.3p3""","=""4S*<3/2>""","=""3p2 3P<0>""","=""""","=""10.486686""","=""""","=""0.000015""","=""L5148""",
"=""15""","=""P II""","=""+1""","=""Phosphorus""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""[""","=""19.76949""","=""]""","=""0.00004""","=""L11770""",
"=""15""","=""P III""","=""+2""","=""Phosphorus""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""""","=""30.20264""","=""""","=""0.00009""","=""L7147""",
"=""15""","=""P IV""","=""+3""","=""Phosphorus""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""""","=""51.44387""","=""""","=""0.00012""","=""L7147""",
"=""15""","=""P V""","=""+4""","=""Phosphorus""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""""","=""65.02511""","=""""","=""0.00012""","=""L7147,L2613""",
"=""15""","=""P VI""","=""+5""","=""Phosphorus""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""[""","=""220.430""","=""]""","=""0.005""","=""L11770""",
"=""15""","=""P VII""","=""+6""","=""Phosphorus""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""[""","=""263.57""","=""]""","=""0.06""","=""L7147""",
"=""15""","=""P VIII""","=""+7""","=""Phosphorus""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p3 4S*<3/2>""","=""[""","=""309.60""","=""]""","=""0.10""","=""L7147""",
"=""15""","=""P IX""","=""+8""","=""Phosphorus""","=""N""","=""1s2.2s2.2p3""","=""4S*<3/2>""","=""2p2 3P<0>""","=""[""","=""372.31""","=""]""","=""0.21""","=""L11770""",
"=""15""","=""P X""","=""+9""","=""Phosphorus""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""[""","=""424.40""","=""]""","=""0.09""","=""L11770""",
"=""15""","=""P XI""","=""+10""","=""Phosphorus""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""[""","=""479.44""","=""]""","=""0.05""","=""L11770""",
"=""15""","=""P XII""","=""+11""","=""Phosphorus""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""[""","=""560.62""","=""]""","=""0.10""","=""L11770""",
"=""15""","=""P XIII""","=""+12""","=""Phosphorus""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""611.741""","="")""","=""0.007""","=""L16264c99""",
"=""15""","=""P XIV""","=""+13""","=""Phosphorus""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""2816.90868""","="")""","=""0.00019""","=""L21139""",
"=""15""","=""P XV""","=""+14""","=""Phosphorus""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""3069.842145""","="")""","=""0.000014""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
