At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""16""","=""S I""","=""0""","=""Sulfur""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 4S*<3/2>""","=""""","=""10.3600167""","=""""","=""0.0000014""","=""L23116""",
"=""16""","=""S II""","=""+1""","=""Sulfur""","=""P""","=""[Ne].3s2.3p3""","=""4S*<3/2>""","=""3p2 3P<0>""","=""""","=""23.33788""","=""""","=""0.00025""","=""L7237,L5883""",
"=""16""","=""S III""","=""+2""","=""Sulfur""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""[""","=""34.86""","=""]""","=""0.04""","=""L11770""",
"=""16""","=""S IV""","=""+3""","=""Sulfur""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""[""","=""47.222""","=""]""","=""0.012""","=""L7237""",
"=""16""","=""S V""","=""+4""","=""Sulfur""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""""","=""72.5945""","=""""","=""0.0004""","=""L7237""",
"=""16""","=""S VI""","=""+5""","=""Sulfur""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""""","=""88.0529""","=""""","=""0.0004""","=""L7237,L4882""",
"=""16""","=""S VII""","=""+6""","=""Sulfur""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""""","=""280.954""","=""""","=""0.007""","=""L9896""",
"=""16""","=""S VIII""","=""+7""","=""Sulfur""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""""","=""328.794""","=""""","=""0.007""","=""L11242""",
"=""16""","=""S IX""","=""+8""","=""Sulfur""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p3 4S*<3/2>""","=""[""","=""379.84""","=""]""","=""0.21""","=""L11770""",
"=""16""","=""S X""","=""+9""","=""Sulfur""","=""N""","=""1s2.2s2.2p3""","=""4S*<3/2>""","=""2p2 3P<0>""","=""[""","=""447.7""","=""]""","=""0.3""","=""L11770""",
"=""16""","=""S XI""","=""+10""","=""Sulfur""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""[""","=""504.55""","=""]""","=""0.12""","=""L11770""",
"=""16""","=""S XII""","=""+11""","=""Sulfur""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""[""","=""564.41""","=""]""","=""0.05""","=""L11770""",
"=""16""","=""S XIII""","=""+12""","=""Sulfur""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""[""","=""651.96""","=""]""","=""0.12""","=""L11770""",
"=""16""","=""S XIV""","=""+13""","=""Sulfur""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""706.994""","="")""","=""0.007""","=""L16264c99""",
"=""16""","=""S XV""","=""+14""","=""Sulfur""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""3223.78057""","="")""","=""0.00020""","=""L21139""",
"=""16""","=""S XVI""","=""+15""","=""Sulfur""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""3494.188518""","="")""","=""0.000019""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
