At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""18""","=""Ar I""","=""0""","=""Argon""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""""","=""15.7596119""","=""""","=""0.0000005""","=""L9217""",
"=""18""","=""Ar II""","=""+1""","=""Argon""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""""","=""27.62967""","=""""","=""0.00012""","=""L8844""",
"=""18""","=""Ar III""","=""+2""","=""Argon""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 4S*<3/2>""","=""[""","=""40.735""","=""]""","=""0.012""","=""L8114""",
"=""18""","=""Ar IV""","=""+3""","=""Argon""","=""P""","=""[Ne].3s2.3p3""","=""4S*<3/2>""","=""3p2 3P<0>""","=""[""","=""59.58""","=""]""","=""0.18""","=""L11770""",
"=""18""","=""Ar V""","=""+4""","=""Argon""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""[""","=""74.84""","=""]""","=""0.17""","=""L11770""",
"=""18""","=""Ar VI""","=""+5""","=""Argon""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""""","=""91.290""","=""""","=""0.010""","=""L12277""",
"=""18""","=""Ar VII""","=""+6""","=""Argon""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""[""","=""124.41""","=""]""","=""0.06""","=""L11770""",
"=""18""","=""Ar VIII""","=""+7""","=""Argon""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""[""","=""143.4567""","=""]""","=""0.0012""","=""L4344""",
"=""18""","=""Ar IX""","=""+8""","=""Argon""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""[""","=""422.60""","=""]""","=""0.06""","=""L11770""",
"=""18""","=""Ar X""","=""+9""","=""Argon""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""[""","=""479.76""","=""]""","=""0.12""","=""L11242c99""",
"=""18""","=""Ar XI""","=""+10""","=""Argon""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p3 4S*<3/2>""","=""[""","=""540.4""","=""]""","=""0.6""","=""L11770""",
"=""18""","=""Ar XII""","=""+11""","=""Argon""","=""N""","=""1s2.2s2.2p3""","=""4S*<3/2>""","=""2p2 3P<0>""","=""[""","=""619.0""","=""]""","=""0.4""","=""L11770""",
"=""18""","=""Ar XIII""","=""+12""","=""Argon""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""[""","=""685.5""","=""]""","=""0.3""","=""L11770""",
"=""18""","=""Ar XIV""","=""+13""","=""Argon""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""[""","=""755.13""","=""]""","=""0.22""","=""L11770""",
"=""18""","=""Ar XV""","=""+14""","=""Argon""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""[""","=""855.5""","=""]""","=""0.3""","=""L11770""",
"=""18""","=""Ar XVI""","=""+15""","=""Argon""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""918.375""","="")""","=""0.007""","=""L16264c99""",
"=""18""","=""Ar XVII""","=""+16""","=""Argon""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""4120.66559""","="")""","=""0.00022""","=""L21139""",
"=""18""","=""Ar XVIII""","=""+17""","=""Argon""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""4426.22407""","="")""","=""0.00004""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
