At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""19""","=""K I""","=""0""","=""Potassium""","=""K""","=""[Ar].4s""","=""2S<1/2>""","=""3p6 1S<0>""","=""""","=""4.34066373""","=""""","=""0.00000009""","=""L5451,L5783,L7185""",
"=""19""","=""K II""","=""+1""","=""Potassium""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""""","=""31.62500""","=""""","=""0.00019""","=""L12188""",
"=""19""","=""K III""","=""+2""","=""Potassium""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""[""","=""45.8031""","=""]""","=""0.0017""","=""L11770""",
"=""19""","=""K IV""","=""+3""","=""Potassium""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 4S*<3/2>""","=""[""","=""60.917""","=""]""","=""0.019""","=""L11770""",
"=""19""","=""K V""","=""+4""","=""Potassium""","=""P""","=""[Ne].3s2.3p3""","=""4S*<3/2>""","=""3p2 3P<0>""","=""[""","=""82.66""","=""]""","=""0.16""","=""L241""",
"=""19""","=""K VI""","=""+5""","=""Potassium""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""[""","=""99.44""","=""]""","=""0.20""","=""L7185""",
"=""19""","=""K VII""","=""+6""","=""Potassium""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""""","=""117.56""","=""""","=""0.11""","=""L7185""",
"=""19""","=""K VIII""","=""+7""","=""Potassium""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""[""","=""154.87""","=""]""","=""0.05""","=""L12392""",
"=""19""","=""K IX""","=""+8""","=""Potassium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""[""","=""175.8174""","=""]""","=""0.0025""","=""L4344""",
"=""19""","=""K X""","=""+9""","=""Potassium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""[""","=""503.67""","=""]""","=""0.07""","=""L11770""",
"=""19""","=""K XI""","=""+10""","=""Potassium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""[""","=""565.6""","=""]""","=""0.7""","=""L11770""",
"=""19""","=""K XII""","=""+11""","=""Potassium""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p3 4S*<3/2>""","=""[""","=""631.1""","=""]""","=""0.9""","=""L11770""",
"=""19""","=""K XIII""","=""+12""","=""Potassium""","=""N""","=""1s2.2s2.2p3""","=""4S*<3/2>""","=""2p2 3P<0>""","=""[""","=""714.7""","=""]""","=""0.5""","=""L11770""",
"=""19""","=""K XIV""","=""+13""","=""Potassium""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""[""","=""786.3""","=""]""","=""0.3""","=""L11770""",
"=""19""","=""K XV""","=""+14""","=""Potassium""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""[""","=""860.92""","=""]""","=""0.25""","=""L11770""",
"=""19""","=""K XVI""","=""+15""","=""Potassium""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""[""","=""967.7""","=""]""","=""0.3""","=""L11770""",
"=""19""","=""K XVII""","=""+16""","=""Potassium""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""1034.542""","="")""","=""0.007""","=""L16264c99""",
"=""19""","=""K XVIII""","=""+17""","=""Potassium""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""4610.80714""","="")""","=""0.00025""","=""L21139""",
"=""19""","=""K XIX""","=""+18""","=""Potassium""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""4934.04979""","="")""","=""0.00005""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
