At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""20""","=""Ca I""","=""0""","=""Calcium""","=""Ca""","=""[Ar].4s2""","=""1S0""","=""4s 2S<1/2>""","=""""","=""6.1131549210""","=""""","=""0.0000000005""","=""L22848""",
"=""20""","=""Ca II""","=""+1""","=""Calcium""","=""K""","=""[Ar].4s""","=""2S<1/2>""","=""3p6 1S<0>""","=""""","=""11.871719""","=""""","=""0.000004""","=""L7185,L7323""",
"=""20""","=""Ca III""","=""+2""","=""Calcium""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""""","=""50.91316""","=""""","=""0.00025""","=""L1405""",
"=""20""","=""Ca IV""","=""+3""","=""Calcium""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""[""","=""67.2732""","=""]""","=""0.0021""","=""L11770""",
"=""20""","=""Ca V""","=""+4""","=""Calcium""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 4S*<3/2>""","=""[""","=""84.34""","=""]""","=""0.08""","=""L11770""",
"=""20""","=""Ca VI""","=""+5""","=""Calcium""","=""P""","=""[Ne].3s2.3p3""","=""4S*<3/2>""","=""3p2 3P<0>""","=""[""","=""108.78""","=""]""","=""0.25""","=""L7185""",
"=""20""","=""Ca VII""","=""+6""","=""Calcium""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""[""","=""127.21""","=""]""","=""0.25""","=""L7185""",
"=""20""","=""Ca VIII""","=""+7""","=""Calcium""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""""","=""147.24""","=""""","=""0.12""","=""L7185""",
"=""20""","=""Ca IX""","=""+8""","=""Calcium""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""[""","=""188.54""","=""]""","=""0.06""","=""L7185""",
"=""20""","=""Ca X""","=""+9""","=""Calcium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""[""","=""211.275""","=""]""","=""0.004""","=""L11770""",
"=""20""","=""Ca XI""","=""+10""","=""Calcium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""[""","=""591.60""","=""]""","=""0.12""","=""L11770""",
"=""20""","=""Ca XII""","=""+11""","=""Calcium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""[""","=""658.2""","=""]""","=""0.9""","=""L11770""",
"=""20""","=""Ca XIII""","=""+12""","=""Calcium""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p3 4S*<3/2>""","=""[""","=""728.6""","=""]""","=""1.1""","=""L11770""",
"=""20""","=""Ca XIV""","=""+13""","=""Calcium""","=""N""","=""1s2.2s2.2p3""","=""4S*<3/2>""","=""2p2 3P<0>""","=""[""","=""817.2""","=""]""","=""0.6""","=""L11770""",
"=""20""","=""Ca XV""","=""+14""","=""Calcium""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""[""","=""894.0""","=""]""","=""0.4""","=""L11770""",
"=""20""","=""Ca XVI""","=""+15""","=""Calcium""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""[""","=""973.7""","=""]""","=""0.3""","=""L11770""",
"=""20""","=""Ca XVII""","=""+16""","=""Calcium""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""[""","=""1086.8""","=""]""","=""0.4""","=""L11770""",
"=""20""","=""Ca XVIII""","=""+17""","=""Calcium""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""1157.726""","="")""","=""0.007""","=""L16264c99""",
"=""20""","=""Ca XIX""","=""+18""","=""Calcium""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""5128.8576""","="")""","=""0.0003""","=""L21139""",
"=""20""","=""Ca XX""","=""+19""","=""Calcium""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""5469.86358""","="")""","=""0.00006""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
