At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""21""","=""Sc I""","=""0""","=""Scandium""","=""Sc""","=""[Ar].3d.4s2""","=""2D<3/2>""","=""3d.4s 3D<1>""","=""""","=""6.56149""","=""""","=""0.00006""","=""L7185,L2110""",
"=""21""","=""Sc II""","=""+1""","=""Scandium""","=""Ca""","=""[Ar].3d.4s""","=""3D<1>""","=""3d 2D<3/2>""","=""""","=""12.79977""","=""""","=""0.00025""","=""L7185,L5141""",
"=""21""","=""Sc III""","=""+2""","=""Scandium""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""""","=""24.756839""","=""""","=""0.000012""","=""L1891,L7185""",
"=""21""","=""Sc IV""","=""+3""","=""Scandium""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""""","=""73.4894""","=""""","=""0.0004""","=""L7185,L2826""",
"=""21""","=""Sc V""","=""+4""","=""Scandium""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""[""","=""91.95""","=""]""","=""0.03""","=""L11770""",
"=""21""","=""Sc VI""","=""+5""","=""Scandium""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 4S*<3/2>""","=""[""","=""110.68""","=""]""","=""0.05""","=""L7185""",
"=""21""","=""Sc VII""","=""+6""","=""Scandium""","=""P""","=""[Ne].3s2.3p3""","=""4S*<3/2>""","=""3p2 3P<0>""","=""[""","=""137.99""","=""]""","=""0.25""","=""L7185""",
"=""21""","=""Sc VIII""","=""+7""","=""Scandium""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""[""","=""158.08""","=""]""","=""0.25""","=""L7185""",
"=""21""","=""Sc IX""","=""+8""","=""Scandium""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""""","=""180.03""","=""""","=""0.12""","=""L7185""",
"=""21""","=""Sc X""","=""+9""","=""Scandium""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""[""","=""225.18""","=""]""","=""0.05""","=""L7185""",
"=""21""","=""Sc XI""","=""+10""","=""Scandium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""[""","=""249.798""","=""]""","=""0.005""","=""L10106""",
"=""21""","=""Sc XII""","=""+11""","=""Scandium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""""","=""687.36""","=""""","=""0.12""","=""L7185""",
"=""21""","=""Sc XIII""","=""+12""","=""Scandium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""[""","=""757.7""","=""]""","=""1.0""","=""L11770""",
"=""21""","=""Sc XIV""","=""+13""","=""Scandium""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p3 4S*<3/2>""","=""[""","=""833.2""","=""]""","=""1.4""","=""L11770""",
"=""21""","=""Sc XV""","=""+14""","=""Scandium""","=""N""","=""1s2.2s2.2p3""","=""4S*<3/2>""","=""2p2 3P<0>""","=""[""","=""926.5""","=""]""","=""0.7""","=""L11770""",
"=""21""","=""Sc XVI""","=""+15""","=""Scandium""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""[""","=""1008.6""","=""]""","=""0.4""","=""L11770""",
"=""21""","=""Sc XVII""","=""+16""","=""Scandium""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""[""","=""1093.5""","=""]""","=""0.4""","=""L11770""",
"=""21""","=""Sc XVIII""","=""+17""","=""Scandium""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""[""","=""1213.1""","=""]""","=""0.4""","=""L11770""",
"=""21""","=""Sc XIX""","=""+18""","=""Scandium""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""1287.957""","="")""","=""0.007""","=""L16264c99""",
"=""21""","=""Sc XX""","=""+19""","=""Scandium""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""5674.9036""","="")""","=""0.0004""","=""L21139""",
"=""21""","=""Sc XXI""","=""+20""","=""Scandium""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""6033.75643""","="")""","=""0.00009""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
