At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""24""","=""Cr I""","=""0""","=""Chromium""","=""Cr""","=""[Ar].3d5.4s""","=""7S<3>""","=""3d5 6S<5/2>""","=""""","=""6.76651""","=""""","=""0.00004""","=""L7185,L2832""",
"=""24""","=""Cr II""","=""+1""","=""Chromium""","=""V""","=""[Ar].3d5""","=""6S<5/2>""","=""3d4 5D<0>""","=""""","=""16.486305""","=""""","=""0.000015""","=""L18847""",
"=""24""","=""Cr III""","=""+2""","=""Chromium""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""""","=""30.959""","=""""","=""0.025""","=""L7185,L17500""",
"=""24""","=""Cr IV""","=""+3""","=""Chromium""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""[""","=""49.16""","=""]""","=""0.05""","=""L7185,L5498""",
"=""24""","=""Cr V""","=""+4""","=""Chromium""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""[""","=""69.46""","=""]""","=""0.04""","=""L1933,L7185""",
"=""24""","=""Cr VI""","=""+5""","=""Chromium""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""""","=""90.6349""","=""""","=""0.0007""","=""L7185,L2229""",
"=""24""","=""Cr VII""","=""+6""","=""Chromium""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""[""","=""160.29""","=""]""","=""0.06""","=""L11770""",
"=""24""","=""Cr VIII""","=""+7""","=""Chromium""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""[""","=""184.76""","=""]""","=""0.15""","=""L11770""",
"=""24""","=""Cr IX""","=""+8""","=""Chromium""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 4S*<3/2>""","=""[""","=""209.5""","=""]""","=""0.3""","=""L11770""",
"=""24""","=""Cr X""","=""+9""","=""Chromium""","=""P""","=""[Ne].3s2.3p3""","=""4S*<3/2>""","=""3p2 3P<0>""","=""[""","=""244.5""","=""]""","=""0.5""","=""L11770""",
"=""24""","=""Cr XI""","=""+10""","=""Chromium""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""[""","=""270.8""","=""]""","=""0.5""","=""L7185""",
"=""24""","=""Cr XII""","=""+11""","=""Chromium""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""[""","=""296.7""","=""]""","=""0.6""","=""L11770""",
"=""24""","=""Cr XIII""","=""+12""","=""Chromium""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""[""","=""354.7""","=""]""","=""0.3""","=""L11770""",
"=""24""","=""Cr XIV""","=""+13""","=""Chromium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""[""","=""384.163""","=""]""","=""0.006""","=""L11770""",
"=""24""","=""Cr XV""","=""+14""","=""Chromium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""[""","=""1011.6""","=""]""","=""0.5""","=""L11770""",
"=""24""","=""Cr XVI""","=""+15""","=""Chromium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""[""","=""1097.2""","=""]""","=""1.4""","=""L11770""",
"=""24""","=""Cr XVII""","=""+16""","=""Chromium""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p3 4S*<3/2>""","=""[""","=""1188.0""","=""]""","=""2.1""","=""L11770c98""",
"=""24""","=""Cr XVIII""","=""+17""","=""Chromium""","=""N""","=""1s2.2s2.2p3""","=""4S*<3/2>""","=""2p2 3P<0>""","=""[""","=""1294.8""","=""]""","=""1.6""","=""L11770""",
"=""24""","=""Cr XIX""","=""+18""","=""Chromium""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""[""","=""1394.5""","=""]""","=""0.7""","=""L11770""",
"=""24""","=""Cr XX""","=""+19""","=""Chromium""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""[""","=""1495.1""","=""]""","=""0.7""","=""L11770""",
"=""24""","=""Cr XXI""","=""+20""","=""Chromium""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""[""","=""1634.1""","=""]""","=""0.5""","=""L11770""",
"=""24""","=""Cr XXII""","=""+21""","=""Chromium""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""1721.183""","="")""","=""0.007""","=""L16264c99""",
"=""24""","=""Cr XXIII""","=""+22""","=""Chromium""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""7481.8624""","="")""","=""0.0012""","=""L21139""",
"=""24""","=""Cr XXIV""","=""+23""","=""Chromium""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""7894.80289""","="")""","=""0.00019""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
