At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""25""","=""Mn I""","=""0""","=""Manganese""","=""Mn""","=""[Ar].3d5.4s2""","=""6S<5/2>""","=""3d5.4s 7S<3>""","=""""","=""7.4340380""","=""""","=""0.0000012""","=""L19057""",
"=""25""","=""Mn II""","=""+1""","=""Manganese""","=""Cr""","=""[Ar].3d5.4s""","=""7S<3>""","=""3d5 6S<5/2>""","=""""","=""15.63999""","=""""","=""0.00007""","=""L7185,L562""",
"=""25""","=""Mn III""","=""+2""","=""Manganese""","=""V""","=""[Ar].3d5""","=""6S<5/2>""","=""3d4 5D<0>""","=""""","=""33.668""","=""""","=""0.012""","=""L7185,L457""",
"=""25""","=""Mn IV""","=""+3""","=""Manganese""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""[""","=""51.21""","=""]""","=""0.12""","=""L7185,L241""",
"=""25""","=""Mn V""","=""+4""","=""Manganese""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""[""","=""72.41""","=""]""","=""0.10""","=""L7185,L241c99""",
"=""25""","=""Mn VI""","=""+5""","=""Manganese""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""""","=""95.604""","=""""","=""0.025""","=""L7185""",
"=""25""","=""Mn VII""","=""+6""","=""Manganese""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""""","=""119.203""","=""""","=""0.012""","=""L7185,L5223""",
"=""25""","=""Mn VIII""","=""+7""","=""Manganese""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""[""","=""195.5""","=""]""","=""0.3""","=""L11770""",
"=""25""","=""Mn IX""","=""+8""","=""Manganese""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""[""","=""221.89""","=""]""","=""0.17""","=""L11770""",
"=""25""","=""Mn X""","=""+9""","=""Manganese""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 4S*<3/2>""","=""[""","=""248.6""","=""]""","=""0.3""","=""L11770""",
"=""25""","=""Mn XI""","=""+10""","=""Manganese""","=""P""","=""[Ne].3s2.3p3""","=""4S*<3/2>""","=""3p2 3P<0>""","=""[""","=""286.1""","=""]""","=""0.5""","=""L11770""",
"=""25""","=""Mn XII""","=""+11""","=""Manganese""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""[""","=""314.4""","=""]""","=""0.6""","=""L7185""",
"=""25""","=""Mn XIII""","=""+12""","=""Manganese""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""[""","=""343.6""","=""]""","=""0.7""","=""L7185""",
"=""25""","=""Mn XIV""","=""+13""","=""Manganese""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""[""","=""402.95""","=""]""","=""0.25""","=""L7185""",
"=""25""","=""Mn XV""","=""+14""","=""Manganese""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""[""","=""435.172""","=""]""","=""0.007""","=""L11770""",
"=""25""","=""Mn XVI""","=""+15""","=""Manganese""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""[""","=""1133.7""","=""]""","=""0.6""","=""L11770""",
"=""25""","=""Mn XVII""","=""+16""","=""Manganese""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""[""","=""1224.1""","=""]""","=""1.5""","=""L11770""",
"=""25""","=""Mn XVIII""","=""+17""","=""Manganese""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p3 4S*<3/2>""","=""[""","=""1320.3""","=""]""","=""2.5""","=""L11770""",
"=""25""","=""Mn XIX""","=""+18""","=""Manganese""","=""N""","=""1s2.2s2.2p3""","=""4S*<3/2>""","=""2p2 3P<0>""","=""[""","=""1430.9""","=""]""","=""2.2""","=""L11770""",
"=""25""","=""Mn XX""","=""+19""","=""Manganese""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""[""","=""1537.2""","=""]""","=""0.8""","=""L11770""",
"=""25""","=""Mn XXI""","=""+20""","=""Manganese""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""[""","=""1643.2""","=""]""","=""0.7""","=""L11770""",
"=""25""","=""Mn XXII""","=""+21""","=""Manganese""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""[""","=""1788.7""","=""]""","=""0.6""","=""L11770""",
"=""25""","=""Mn XXIII""","=""+22""","=""Manganese""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""1879.873""","="")""","=""0.007""","=""L16264c99""",
"=""25""","=""Mn XXIV""","=""+23""","=""Manganese""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""8140.7864""","="")""","=""0.0014""","=""L21139""",
"=""25""","=""Mn XXV""","=""+24""","=""Manganese""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""8571.95438""","="")""","=""0.00022""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
