At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""27""","=""Co I""","=""0""","=""Cobalt""","=""Co""","=""[Ar].3d7.4s2""","=""4F<9/2>""","=""3d8 3F<4>""","=""""","=""7.88101""","=""""","=""0.00012""","=""L10545""",
"=""27""","=""Co II""","=""+1""","=""Cobalt""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""""","=""17.0844""","=""""","=""0.0012""","=""L7185,L2115""",
"=""27""","=""Co III""","=""+2""","=""Cobalt""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d6 5D<4>""","=""[""","=""33.50""","=""]""","=""0.06""","=""L7185,L17500""",
"=""27""","=""Co IV""","=""+3""","=""Cobalt""","=""Cr""","=""[Ar].3d6""","=""5D<4>""","=""3d5 6S<5/2>""","=""[""","=""51.27""","=""]""","=""0.10""","=""L7185,L241""",
"=""27""","=""Co V""","=""+4""","=""Cobalt""","=""V""","=""[Ar].3d5""","=""6S<5/2>""","=""3d4 5D<0>""","=""[""","=""79.50""","=""]""","=""0.20""","=""L7185,L241""",
"=""27""","=""Co VI""","=""+5""","=""Cobalt""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""[""","=""102.00""","=""]""","=""0.20""","=""L7185,L241""",
"=""27""","=""Co VII""","=""+6""","=""Cobalt""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""[""","=""128.9""","=""]""","=""0.5""","=""L7185,L241c99""",
"=""27""","=""Co VIII""","=""+7""","=""Cobalt""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""[""","=""157.8""","=""]""","=""0.6""","=""L7185""",
"=""27""","=""Co IX""","=""+8""","=""Cobalt""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""""","=""186.14""","=""""","=""0.25""","=""L7185""",
"=""27""","=""Co X""","=""+9""","=""Cobalt""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""[""","=""275.4""","=""]""","=""0.4""","=""L7185""",
"=""27""","=""Co XI""","=""+10""","=""Cobalt""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""[""","=""305.32""","=""]""","=""0.23""","=""L11770""",
"=""27""","=""Co XII""","=""+11""","=""Cobalt""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 4S*<3/2>""","=""[""","=""336.1""","=""]""","=""0.4""","=""L11770""",
