At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""28""","=""Ni I""","=""0""","=""Nickel""","=""Ni""","=""[Ar].3d8.4s2""","=""3F<4>""","=""3d9 2D<5/2>""","=""""","=""7.639878""","=""""","=""0.000017""","=""L12369""",
"=""28""","=""Ni II""","=""+1""","=""Nickel""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""""","=""18.168838""","=""""","=""0.000025""","=""L7185,L897""",
"=""28""","=""Ni III""","=""+2""","=""Nickel""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""""","=""35.187""","=""""","=""0.019""","=""L11049""",
"=""28""","=""Ni IV""","=""+3""","=""Nickel""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d6 5D<4>""","=""[""","=""54.92""","=""]""","=""0.25""","=""L7185,L241""",
"=""28""","=""Ni V""","=""+4""","=""Nickel""","=""Cr""","=""[Ar].3d6""","=""5D<4>""","=""3d6 6S<5/2>""","=""[""","=""76.06""","=""]""","=""0.06""","=""L7185""",
"=""28""","=""Ni VI""","=""+5""","=""Nickel""","=""V""","=""[Ar].3d5""","=""6S<5/2>""","=""3d4 5D<0>""","=""[""","=""108.0""","=""]""","=""1.0""","=""L7185,L241c99""",
"=""28""","=""Ni VII""","=""+6""","=""Nickel""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""132.0""","="")""","=""2.0""","=""L8672c99""",
"=""28""","=""Ni VIII""","=""+7""","=""Nickel""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""162.0""","="")""","=""2.1""","=""L8672c99""",
"=""28""","=""Ni IX""","=""+8""","=""Nickel""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""[""","=""193.2""","=""]""","=""0.5""","=""L241c99""",
"=""28""","=""Ni X""","=""+9""","=""Nickel""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""[""","=""224.7""","=""]""","=""0.5""","=""L7185,L241c99""",
"=""28""","=""Ni XI""","=""+10""","=""Nickel""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""[""","=""319.5""","=""]""","=""0.7""","=""L11770""",
"=""28""","=""Ni XII""","=""+11""","=""Nickel""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""[""","=""351.6""","=""]""","=""0.3""","=""L11770""",
"=""28""","=""Ni XIII""","=""+12""","=""Nickel""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 4S*<3/2>""","=""[""","=""384.5""","=""]""","=""0.5""","=""L11770""",
"=""28""","=""Ni XIV""","=""+13""","=""Nickel""","=""P""","=""[Ne].3s2.3p3""","=""4S*<3/2>""","=""3p2 3P<0>""","=""[""","=""429.3""","=""]""","=""0.8""","=""L11770""",
"=""28""","=""Ni XV""","=""+14""","=""Nickel""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""[""","=""462.8""","=""]""","=""1.1""","=""L11770""",
"=""28""","=""Ni XVI""","=""+15""","=""Nickel""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""[""","=""495.4""","=""]""","=""1.7""","=""L11770""",
"=""28""","=""Ni XVII""","=""+16""","=""Nickel""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""[""","=""571.07""","=""]""","=""0.12""","=""L7185""",
"=""28""","=""Ni XVIII""","=""+17""","=""Nickel""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""[""","=""607.020""","=""]""","=""0.019""","=""L11770""",
