At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""29""","=""Cu I""","=""0""","=""Copper""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""""","=""7.726380""","=""""","=""0.000004""","=""L14897""",
"=""29""","=""Cu II""","=""+1""","=""Copper""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""""","=""20.29239""","=""""","=""0.00006""","=""L869,L19804""",
"=""29""","=""Cu III""","=""+2""","=""Copper""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""""","=""36.841""","=""""","=""0.012""","=""L10559,L2987""",
"=""29""","=""Cu IV""","=""+3""","=""Copper""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""[""","=""57.38""","=""]""","=""0.05""","=""L10559,L5144""",
"=""29""","=""Cu V""","=""+4""","=""Copper""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d6 5D<4>""","=""[""","=""79.8""","=""]""","=""0.7""","=""L10559,L241""",
"=""29""","=""Cu VI""","=""+5""","=""Copper""","=""Cr""","=""[Ar].3d6""","=""5D<4>""","=""3d5 6S<5/2>""","=""[""","=""103.0""","=""]""","=""1.0""","=""L10559,L241""",
"=""29""","=""Cu VII""","=""+6""","=""Copper""","=""V""","=""[Ar].3d5""","=""6S<5/2>""","=""3d4 5D<0>""","=""[""","=""139.0""","=""]""","=""1.2""","=""L10559,L241c99""",
"=""29""","=""Cu VIII""","=""+7""","=""Copper""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""166.0""","="")""","=""2.1""","=""L8672c99""",
"=""29""","=""Cu IX""","=""+8""","=""Copper""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""198.0""","="")""","=""2.2""","=""L8672c99""",
"=""29""","=""Cu X""","=""+9""","=""Copper""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""[""","=""232.2""","=""]""","=""0.5""","=""L241c99""",
