At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""31""","=""Ga I""","=""0""","=""Gallium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""""","=""5.9993020""","=""""","=""0.0000012""","=""L5566""",
"=""31""","=""Ga II""","=""+1""","=""Gallium""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""""","=""20.51514""","=""""","=""0.00012""","=""L6473""",
"=""31""","=""Ga III""","=""+2""","=""Gallium""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""""","=""30.72576""","=""""","=""0.00025""","=""L6636""",
"=""31""","=""Ga IV""","=""+3""","=""Gallium""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""""","=""63.241""","=""""","=""0.009""","=""L12180,L17779""",
"=""31""","=""Ga V""","=""+4""","=""Gallium""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""[""","=""86.01""","=""]""","=""0.12""","=""L12180""",
"=""31""","=""Ga VI""","=""+5""","=""Gallium""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""112.7""","="")""","=""1.1""","=""L12180""",
"=""31""","=""Ga VII""","=""+6""","=""Gallium""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d6 5D<4>""","=""(""","=""140.8""","="")""","=""1.4""","=""L12180""",
"=""31""","=""Ga VIII""","=""+7""","=""Gallium""","=""Cr""","=""[Ar].3d6""","=""5D<4>""","=""3d5 6S<5/2>""","=""(""","=""169.9""","="")""","=""1.7""","=""L12180""",
"=""31""","=""Ga IX""","=""+8""","=""Gallium""","=""V""","=""[Ar].3d5""","=""6S<5/2>""","=""3d4 5D<0>""","=""(""","=""211.0""","="")""","=""2.2""","=""L8672c99""",
"=""31""","=""Ga X""","=""+9""","=""Gallium""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""244.0""","="")""","=""2.5""","=""L12180""",
"=""31""","=""Ga XI""","=""+10""","=""Gallium""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""280.0""","="")""","=""2.4""","=""L8672c99""",
"=""31""","=""Ga XII""","=""+11""","=""Gallium""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""319.0""","="")""","=""2.5""","=""L8672c99""",
