At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""32""","=""Ge I""","=""0""","=""Germanium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""""","=""7.899435""","=""""","=""0.000012""","=""L3935,L12369""",
"=""32""","=""Ge II""","=""+1""","=""Germanium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""""","=""15.934610""","=""""","=""0.000025""","=""L7213""",
"=""32""","=""Ge III""","=""+2""","=""Germanium""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""""","=""34.0576""","=""""","=""0.0012""","=""L7213,L11268""",
"=""32""","=""Ge IV""","=""+3""","=""Germanium""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""""","=""45.7155""","=""""","=""0.0012""","=""L7213,L6924""",
"=""32""","=""Ge V""","=""+4""","=""Germanium""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""""","=""90.500""","=""""","=""0.019""","=""L7213,L17779""",
"=""32""","=""Ge VI""","=""+5""","=""Germanium""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""[""","=""115.90""","=""]""","=""0.12""","=""L7213""",
"=""32""","=""Ge VII""","=""+6""","=""Germanium""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""144.9""","="")""","=""1.5""","=""L7213""",
"=""32""","=""Ge VIII""","=""+7""","=""Germanium""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d6 5D<4>""","=""(""","=""176.4""","="")""","=""1.7""","=""L7213""",
"=""32""","=""Ge IX""","=""+8""","=""Germanium""","=""Cr""","=""[Ar].3d6""","=""5D<4>""","=""3d5 6S<5/2>""","=""(""","=""212.5""","="")""","=""2.1""","=""L7213""",
"=""32""","=""Ge X""","=""+9""","=""Germanium""","=""V""","=""[Ar].3d5""","=""6S<5/2>""","=""3d4 5D<0>""","=""(""","=""252.1""","="")""","=""2.2""","=""L8672c99""",
"=""32""","=""Ge XI""","=""+10""","=""Germanium""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""286""","="")""","=""3""","=""L7213""",
"=""32""","=""Ge XII""","=""+11""","=""Germanium""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""326.0""","="")""","=""2.5""","=""L8672c99""",
"=""32""","=""Ge XIII""","=""+12""","=""Germanium""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""367""","="")""","=""3""","=""L8672c99""",
"=""32""","=""Ge XIV""","=""+13""","=""Germanium""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""407""","="")""","=""3""","=""L8672c99""",
"=""32""","=""Ge XV""","=""+14""","=""Germanium""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""[""","=""527.9""","=""]""","=""1.6""","=""L11770""",
"=""32""","=""Ge XVI""","=""+15""","=""Germanium""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""[""","=""567.3""","=""]""","=""0.5""","=""L11770""",
"=""32""","=""Ge XVII""","=""+16""","=""Germanium""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 4S*<3/2>""","=""[""","=""609.1""","=""]""","=""0.8""","=""L11770""",
"=""32""","=""Ge XVIII""","=""+17""","=""Germanium""","=""P""","=""[Ne].3s2.3p3""","=""4S*<3/2>""","=""3p2 3P<0>""","=""[""","=""662.8""","=""]""","=""1.9""","=""L11770""",
"=""32""","=""Ge XIX""","=""+18""","=""Germanium""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""[""","=""706.7""","=""]""","=""1.0""","=""L7213""",
"=""32""","=""Ge XX""","=""+19""","=""Germanium""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""[""","=""744""","=""]""","=""3""","=""L11770""",
"=""32""","=""Ge XXI""","=""+20""","=""Germanium""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""[""","=""837.1""","=""]""","=""1.0""","=""L11770""",
"=""32""","=""Ge XXII""","=""+21""","=""Germanium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""[""","=""880.44""","=""]""","=""0.03""","=""L11770""",
"=""32""","=""Ge XXIII""","=""+22""","=""Germanium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""""","=""2178.2""","=""""","=""0.4""","=""L9858""",
"=""32""","=""Ge XXIV""","=""+23""","=""Germanium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""[""","=""2304""","=""]""","=""4""","=""L11770""",
