At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""33""","=""As I""","=""0""","=""Arsenic""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""""","=""9.78855""","=""""","=""0.00025""","=""L1351""",
"=""33""","=""As II""","=""+1""","=""Arsenic""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""""","=""18.5892""","=""""","=""0.0010""","=""L820""",
"=""33""","=""As III""","=""+2""","=""Arsenic""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""""","=""28.349""","=""""","=""0.012""","=""L9358""",
"=""33""","=""As IV""","=""+3""","=""Arsenic""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""""","=""50.15""","=""""","=""0.06""","=""L9358""",
"=""33""","=""As V""","=""+4""","=""Arsenic""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""""","=""62.77""","=""""","=""0.06""","=""L5339""",
"=""33""","=""As VI""","=""+5""","=""Arsenic""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""""","=""121.19""","=""""","=""0.06""","=""L11275""",
"=""33""","=""As VII""","=""+6""","=""Arsenic""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""147.0""","="")""","=""2.0""","=""L8672c99""",
"=""33""","=""As VIII""","=""+7""","=""Arsenic""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""180.0""","="")""","=""2.1""","=""L8672c99""",
"=""33""","=""As IX""","=""+8""","=""Arsenic""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d6 5D<4>""","=""(""","=""213.0""","="")""","=""2.2""","=""L8672c99""",
"=""33""","=""As X""","=""+9""","=""Arsenic""","=""Cr""","=""[Ar].3d6""","=""5D<4>""","=""3d5 6S<5/2>""","=""(""","=""247.0""","="")""","=""2.2""","=""L8672c99""",
"=""33""","=""As XI""","=""+10""","=""Arsenic""","=""V""","=""[Ar].3d5""","=""6S<5/2>""","=""3d4 5D<0>""","=""(""","=""296.0""","="")""","=""2.4""","=""L8672c99""",
"=""33""","=""As XII""","=""+11""","=""Arsenic""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""333.0""","="")""","=""2.5""","=""L8672c99""",
"=""33""","=""As XIII""","=""+12""","=""Arsenic""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""375""","="")""","=""3""","=""L8672c99""",
"=""33""","=""As XIV""","=""+13""","=""Arsenic""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""418""","="")""","=""3""","=""L8672c99""",
"=""33""","=""As XV""","=""+14""","=""Arsenic""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""460""","="")""","=""3""","=""L8672c99""",
"=""33""","=""As XVI""","=""+15""","=""Arsenic""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""[""","=""587.6""","=""]""","=""1.9""","=""L11770""",
"=""33""","=""As XVII""","=""+16""","=""Arsenic""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""[""","=""628.8""","=""]""","=""0.6""","=""L11770""",
"=""33""","=""As XVIII""","=""+17""","=""Arsenic""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 4S*<3/2>""","=""[""","=""672.9""","=""]""","=""0.9""","=""L11770""",
"=""33""","=""As XIX""","=""+18""","=""Arsenic""","=""P""","=""[Ne].3s2.3p3""","=""4S*<3/2>""","=""3p2 3P<0>""","=""[""","=""728.9""","=""]""","=""2.2""","=""L11770""",
"=""33""","=""As XX""","=""+19""","=""Arsenic""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""[""","=""774.0""","=""]""","=""1.8""","=""L11770""",
"=""33""","=""As XXI""","=""+20""","=""Arsenic""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""[""","=""814""","=""]""","=""4""","=""L11770""",
"=""33""","=""As XXII""","=""+21""","=""Arsenic""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""[""","=""911.7""","=""]""","=""1.1""","=""L11770""",
"=""33""","=""As XXIII""","=""+22""","=""Arsenic""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""[""","=""956.79""","=""]""","=""0.03""","=""L11770""",
"=""33""","=""As XXIV""","=""+23""","=""Arsenic""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""[""","=""2356.9""","=""]""","=""1.4""","=""L11770""",
"=""33""","=""As XXV""","=""+24""","=""Arsenic""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""[""","=""2486""","=""]""","=""4""","=""L11770""",
"=""33""","=""As XXVI""","=""+25""","=""Arsenic""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p3 4S*<3/2>""","=""[""","=""2626""","=""]""","=""6""","=""L11770""",
"=""33""","=""As XXVII""","=""+26""","=""Arsenic""","=""N""","=""1s2.2s2.2p3""","=""4S*<3/2>""","=""2p2 3P<0>""","=""[""","=""2766""","=""]""","=""21""","=""L11770""",
"=""33""","=""As XXVIII""","=""+27""","=""Arsenic""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""[""","=""2938""","=""]""","=""3""","=""L11770""",
"=""33""","=""As XXIX""","=""+28""","=""Arsenic""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""[""","=""3088.1""","=""]""","=""1.9""","=""L11770""",
"=""33""","=""As XXX""","=""+29""","=""Arsenic""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""[""","=""3287""","=""]""","=""3""","=""L11770""",
"=""33""","=""As XXXI""","=""+30""","=""Arsenic""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""3411.643""","="")""","=""0.007""","=""L16264c99""",
"=""33""","=""As XXXII""","=""+31""","=""Arsenic""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""14447.6799""","="")""","=""0.0025""","=""L21139""",
"=""33""","=""As XXXIII""","=""+32""","=""Arsenic""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""15028.9251""","="")""","=""0.0010""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
