At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""34""","=""Se I""","=""0""","=""Selenium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""""","=""9.752368""","=""""","=""0.000006""","=""L21645""",
"=""34""","=""Se II""","=""+1""","=""Selenium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""""","=""21.196""","=""""","=""0.010""","=""L17234c100""",
"=""34""","=""Se III""","=""+2""","=""Selenium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""""","=""31.697""","=""""","=""0.019""","=""L17867""",
"=""34""","=""Se IV""","=""+3""","=""Selenium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""""","=""42.947""","=""""","=""0.003""","=""L925""",
"=""34""","=""Se V""","=""+4""","=""Selenium""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""[""","=""68.30""","=""]""","=""0.10""","=""L16139""",
"=""34""","=""Se VI""","=""+5""","=""Selenium""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""""","=""81.83""","=""""","=""0.03""","=""L4300""",
"=""34""","=""Se VII""","=""+6""","=""Selenium""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""""","=""155.327""","=""""","=""0.012""","=""L6168""",
"=""34""","=""Se VIII""","=""+7""","=""Selenium""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""184.0""","="")""","=""2.1""","=""L8672c99""",
"=""34""","=""Se IX""","=""+8""","=""Selenium""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""219.0""","="")""","=""2.2""","=""L8672c99""",
"=""34""","=""Se X""","=""+9""","=""Selenium""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d6 5D<4>""","=""(""","=""255.0""","="")""","=""2.2""","=""L8672c99""",
"=""34""","=""Se XI""","=""+10""","=""Selenium""","=""Cr""","=""[Ar].3d6""","=""5D<4>""","=""3d5 6S<5/2>""","=""(""","=""291.0""","="")""","=""2.4""","=""L8672c99""",
"=""34""","=""Se XII""","=""+11""","=""Selenium""","=""V""","=""[Ar].3d5""","=""6S<5/2>""","=""3d4 5D<0>""","=""(""","=""342.9""","="")""","=""2.5""","=""L8672c99""",
"=""34""","=""Se XIII""","=""+12""","=""Selenium""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""383""","="")""","=""3""","=""L8672c99""",
"=""34""","=""Se XIV""","=""+13""","=""Selenium""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""426""","="")""","=""3""","=""L8672c99""",
"=""34""","=""Se XV""","=""+14""","=""Selenium""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""473""","="")""","=""3""","=""L8672c99""",
"=""34""","=""Se XVI""","=""+15""","=""Selenium""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""517""","="")""","=""3""","=""L8672c99""",
"=""34""","=""Se XVII""","=""+16""","=""Selenium""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""[""","=""650.5""","=""]""","=""2.1""","=""L11770""",
