At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (b) (eV),References,
"=""35""","=""Br I""","=""0""","=""Bromine""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""""","=""11.81381""","=""""","=""0.00006""","=""L351,L67""",
"=""35""","=""Br II""","=""+1""","=""Bromine""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""""","=""21.591""","=""""","=""""","=""L8844""",
"=""35""","=""Br III""","=""+2""","=""Bromine""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""""","=""34.871""","=""""","=""0.019""","=""L19007""",
"=""35""","=""Br IV""","=""+3""","=""Bromine""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""""","=""47.782""","=""""","=""0.012""","=""L18581""",
"=""35""","=""Br V""","=""+4""","=""Bromine""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""""","=""59.595""","=""""","=""0.025""","=""L14906""",
"=""35""","=""Br VI""","=""+5""","=""Bromine""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""""","=""87.390""","=""""","=""0.025""","=""L18281""",
"=""35""","=""Br VII""","=""+6""","=""Bromine""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""[""","=""103.03""","=""]""","=""0.19""","=""L10278""",
"=""35""","=""Br VIII""","=""+7""","=""Bromine""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""""","=""192.61""","=""""","=""0.06""","=""L6586""",
"=""35""","=""Br IX""","=""+8""","=""Bromine""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""224.0""","="")""","=""2.2""","=""L8672c99""",
"=""35""","=""Br X""","=""+9""","=""Bromine""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""261.0""","="")""","=""2.2""","=""L8672c99""",
"=""35""","=""Br XI""","=""+10""","=""Bromine""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d6 5D<4>""","=""(""","=""301.0""","="")""","=""2.4""","=""L8672c99""",
"=""35""","=""Br XII""","=""+11""","=""Bromine""","=""Cr""","=""[Ar].3d6""","=""5D<4>""","=""3d5 6S<5/2>""","=""(""","=""338.0""","="")""","=""2.5""","=""L8672c99""",
"=""35""","=""Br XIII""","=""+12""","=""Bromine""","=""V""","=""[Ar].3d5""","=""6S<5/2>""","=""3d4 5D<0>""","=""(""","=""393""","="")""","=""3""","=""L8672c99""",
