At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""36""","=""Kr I""","=""0""","=""Krypton""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""""","=""13.9996055""","=""""","=""0.0000020""","=""L12196""",
"=""36""","=""Kr II""","=""+1""","=""Krypton""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""""","=""24.35984""","=""""","=""0.00012""","=""L7212,L353""",
"=""36""","=""Kr III""","=""+2""","=""Krypton""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""""","=""35.838""","=""""","=""0.020""","=""L15467""",
"=""36""","=""Kr IV""","=""+3""","=""Krypton""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""""","=""50.85""","=""""","=""0.11""","=""L9022c101""",
"=""36""","=""Kr V""","=""+4""","=""Krypton""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""[""","=""64.69""","=""]""","=""0.20""","=""L12196,L16139""",
"=""36""","=""Kr VI""","=""+5""","=""Krypton""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""[""","=""78.49""","=""]""","=""0.20""","=""L12196,L16139""",
"=""36""","=""Kr VII""","=""+6""","=""Krypton""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""(""","=""109.13""","="")""","=""0.05""","=""L13202""",
"=""36""","=""Kr VIII""","=""+7""","=""Krypton""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""""","=""125.802""","=""""","=""0.003""","=""L10636""",
"=""36""","=""Kr IX""","=""+8""","=""Krypton""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""[""","=""233.0""","=""]""","=""0.7""","=""L10191""",
"=""36""","=""Kr X""","=""+9""","=""Krypton""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""268""","="")""","=""3""","=""L7212""",
"=""36""","=""Kr XI""","=""+10""","=""Krypton""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""308""","="")""","=""3""","=""L7212""",
"=""36""","=""Kr XII""","=""+11""","=""Krypton""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d6 5D<4>""","=""(""","=""350""","="")""","=""3""","=""L7212""",
"=""36""","=""Kr XIII""","=""+12""","=""Krypton""","=""Cr""","=""[Ar].3d6""","=""5D<4>""","=""3d5 6S<5/2>""","=""(""","=""391""","="")""","=""4""","=""L7212""",
"=""36""","=""Kr XIV""","=""+13""","=""Krypton""","=""V""","=""[Ar].3d5""","=""6S<5/2>""","=""3d4 5D<0>""","=""(""","=""446""","="")""","=""3""","=""L8672c99""",
"=""36""","=""Kr XV""","=""+14""","=""Krypton""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""492""","="")""","=""5""","=""L12196""",
"=""36""","=""Kr XVI""","=""+15""","=""Krypton""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""540""","="")""","=""3""","=""L8672c99""",
"=""36""","=""Kr XVII""","=""+16""","=""Krypton""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""591""","="")""","=""3""","=""L8672c99""",
"=""36""","=""Kr XVIII""","=""+17""","=""Krypton""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""640""","="")""","=""3""","=""L8672c99""",
"=""36""","=""Kr XIX""","=""+18""","=""Krypton""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3s2.3p5 2P*<3/2>""","=""[""","=""785.316""","=""]""","=""0.012""","=""L11770""",
"=""36""","=""Kr XX""","=""+19""","=""Krypton""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3s2.3p4 3P<2>""","=""[""","=""831.6""","=""]""","=""0.9""","=""L11770""",
"=""36""","=""Kr XXI""","=""+20""","=""Krypton""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3s2.3p3 4S*<3/2>""","=""[""","=""882.8""","=""]""","=""1.3""","=""L11770""",
"=""36""","=""Kr XXII""","=""+21""","=""Krypton""","=""P""","=""[Ne].3s2.3p3""","=""4S*<3/2>""","=""3s2.3p2 3P<0>""","=""[""","=""945""","=""]""","=""3""","=""L11770""",
"=""36""","=""Kr XXIII""","=""+22""","=""Krypton""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""[""","=""999.0""","=""]""","=""2.4""","=""L11770""",
