At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""37""","=""Rb I""","=""0""","=""Rubidium""","=""Rb""","=""[Kr].5s""","=""2S<1/2>""","=""4p6 1S<0>""","=""""","=""4.1771281""","=""""","=""0.0000012""","=""L4740,L5783""",
"=""37""","=""Rb II""","=""+1""","=""Rubidium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""""","=""27.28954""","=""""","=""0.00006""","=""L2590""",
"=""37""","=""Rb III""","=""+2""","=""Rubidium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""[""","=""39.247""","=""]""","=""0.003""","=""L4311""",
"=""37""","=""Rb IV""","=""+3""","=""Rubidium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""[""","=""52.20""","=""]""","=""0.25""","=""L9039,L6470""",
"=""37""","=""Rb V""","=""+4""","=""Rubidium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""(""","=""68.44""","="")""","=""0.15""","=""L9039c99""",
"=""37""","=""Rb VI""","=""+5""","=""Rubidium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""82.9""","="")""","=""2.0""","=""L8672c99""",
"=""37""","=""Rb VII""","=""+6""","=""Rubidium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""[""","=""98.67""","=""]""","=""0.04""","=""L6833""",
"=""37""","=""Rb VIII""","=""+7""","=""Rubidium""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""[""","=""132.79""","=""]""","=""0.25""","=""L9039,L6976""",
"=""37""","=""Rb IX""","=""+8""","=""Rubidium""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""""","=""150.628""","=""""","=""0.025""","=""L6264""",
"=""37""","=""Rb X""","=""+9""","=""Rubidium""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""""","=""277.12""","=""""","=""0.12""","=""L3465c99""",
"=""37""","=""Rb XI""","=""+10""","=""Rubidium""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""313.1""","="")""","=""2.4""","=""L8672c99""",
