At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""38""","=""Sr I""","=""0""","=""Strontium""","=""Sr""","=""[Kr].5s2""","=""1S0""","=""5s 2S<1/2>""","=""""","=""5.69486745""","=""""","=""0.00000012""","=""L15350,L5644""",
"=""38""","=""Sr II""","=""+1""","=""Strontium""","=""Rb""","=""[Kr].5s""","=""2S<1/2>""","=""4p6 1S<0>""","=""""","=""11.0302765""","=""""","=""0.0000025""","=""L13983""",
"=""38""","=""Sr III""","=""+2""","=""Strontium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""""","=""42.88353""","=""""","=""0.00019""","=""L1771""",
"=""38""","=""Sr IV""","=""+3""","=""Strontium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4s2.4p4 3P<2>""","=""[""","=""56.280""","=""]""","=""0.003""","=""L4311""",
"=""38""","=""Sr V""","=""+4""","=""Strontium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4s2.4p3 4S*<3/2>""","=""[""","=""70.7""","=""]""","=""0.6""","=""L6378""",
"=""38""","=""Sr VI""","=""+5""","=""Strontium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4s2.4p2 2P<0>""","=""(""","=""88.0""","="")""","=""2.0""","=""L8672c99""",
"=""38""","=""Sr VII""","=""+6""","=""Strontium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4s2.4p 2P*<1/2>""","=""(""","=""104.0""","="")""","=""2.0""","=""L8672c99""",
"=""38""","=""Sr VIII""","=""+7""","=""Strontium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""[""","=""121.21""","=""]""","=""0.06""","=""L6833""",
"=""38""","=""Sr IX""","=""+8""","=""Strontium""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""[""","=""158.33""","=""]""","=""0.25""","=""L6976""",
"=""38""","=""Sr X""","=""+9""","=""Strontium""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""""","=""177.30""","=""""","=""0.06""","=""L5322""",
"=""38""","=""Sr XI""","=""+10""","=""Strontium""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""""","=""324.07""","=""""","=""0.15""","=""L3465c99""",
"=""38""","=""Sr XII""","=""+11""","=""Strontium""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""362.0""","="")""","=""2.5""","=""L8672c99""",
"=""38""","=""Sr XIII""","=""+12""","=""Strontium""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""408""","="")""","=""3""","=""L8672c99""",
"=""38""","=""Sr XIV""","=""+13""","=""Strontium""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d6 5D<4>""","=""(""","=""454""","="")""","=""3""","=""L8672c99""",
"=""38""","=""Sr XV""","=""+14""","=""Strontium""","=""Cr""","=""[Ar].3d6""","=""5D<4>""","=""3d5 6S<5/2>""","=""(""","=""499""","="")""","=""3""","=""L8672c99""",
"=""38""","=""Sr XVI""","=""+15""","=""Strontium""","=""V""","=""[Ar].3d5""","=""6S<5/2>""","=""3d4 5D<0>""","=""(""","=""562""","="")""","=""3""","=""L8672c99""",
"=""38""","=""Sr XVII""","=""+16""","=""Strontium""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""612""","="")""","=""3""","=""L8672c99""",
"=""38""","=""Sr XVIII""","=""+17""","=""Strontium""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""665""","="")""","=""3""","=""L8672c99""",
"=""38""","=""Sr XIX""","=""+18""","=""Strontium""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""722""","="")""","=""3""","=""L8672c99""",
"=""38""","=""Sr XX""","=""+19""","=""Strontium""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""774""","="")""","=""4""","=""L8672c99""",
"=""38""","=""Sr XXI""","=""+20""","=""Strontium""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""[""","=""932""","=""]""","=""3""","=""L11770""",
"=""38""","=""Sr XXII""","=""+21""","=""Strontium""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""[""","=""982.1""","=""]""","=""1.1""","=""L11770""",
"=""38""","=""Sr XXIII""","=""+22""","=""Strontium""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 4S*<3/2>""","=""[""","=""1038.0""","=""]""","=""1.5""","=""L11770""",
"=""38""","=""Sr XXIV""","=""+23""","=""Strontium""","=""P""","=""[Ne].3s2.3p3""","=""4S*<3/2>""","=""3p2 3P<0>""","=""[""","=""1105""","=""]""","=""4""","=""L11770""",
"=""38""","=""Sr XXV""","=""+24""","=""Strontium""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""[""","=""1165""","=""]""","=""3""","=""L11770""",
"=""38""","=""Sr XXVI""","=""+25""","=""Strontium""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""[""","=""1211""","=""]""","=""6""","=""L11770""",
"=""38""","=""Sr XXVII""","=""+26""","=""Strontium""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""[""","=""1333.4""","=""]""","=""1.9""","=""L11770""",
"=""38""","=""Sr XXVIII""","=""+27""","=""Strontium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""[""","=""1387.19""","=""]""","=""0.05""","=""L11770""",
"=""38""","=""Sr XXIX""","=""+28""","=""Strontium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""[""","=""3344.7""","=""]""","=""1.9""","=""L11770""",
"=""38""","=""Sr XXX""","=""+29""","=""Strontium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""[""","=""3497""","=""]""","=""6""","=""L11770""",
"=""38""","=""Sr XXXI""","=""+30""","=""Strontium""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p3 4S*<3/2>""","=""[""","=""3664""","=""]""","=""8""","=""L11770""",
"=""38""","=""Sr XXXII""","=""+31""","=""Strontium""","=""N""","=""1s2.2s2.2p3""","=""4S*<3/2>""","=""2s2.2p2 3P<0>""","=""[""","=""3830""","=""]""","=""30""","=""L11770""",
"=""38""","=""Sr XXXIII""","=""+32""","=""Strontium""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2s2.2p 2P*<1/2>""","=""[""","=""4053""","=""]""","=""4""","=""L11770""",
"=""38""","=""Sr XXXIV""","=""+33""","=""Strontium""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""[""","=""4232""","=""]""","=""3""","=""L11770""",
"=""38""","=""Sr XXXV""","=""+34""","=""Strontium""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""[""","=""4465""","=""]""","=""4""","=""L11770""",
"=""38""","=""Sr XXXVI""","=""+35""","=""Strontium""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""4612.397""","="")""","=""0.011""","=""L16264c99""",
"=""38""","=""Sr XXXVII""","=""+36""","=""Strontium""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""19345.590""","="")""","=""0.005""","=""L21139""",
"=""38""","=""Sr XXXVIII""","=""+37""","=""Strontium""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""20025.2673""","="")""","=""0.0024""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
     [Kr] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6
