At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""39""","=""Y I""","=""0""","=""Yttrium""","=""Y""","=""[Kr].4d.5s2""","=""2D<3/2>""","=""5s2 1S<0>""","=""""","=""6.21726""","=""""","=""0.00010""","=""L8844,L2111,L9735""",
"=""39""","=""Y II""","=""+1""","=""Yttrium""","=""Sr""","=""[Kr].5s2""","=""1S0""","=""4d 2D<3/2>""","=""""","=""12.2236""","=""""","=""0.0006""","=""L10987""",
"=""39""","=""Y III""","=""+2""","=""Yttrium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""""","=""20.52441""","=""""","=""0.00012""","=""L2592""",
"=""39""","=""Y IV""","=""+3""","=""Yttrium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4s2.4p5 2P*<3/2>""","=""[""","=""60.6072""","=""]""","=""0.0025""","=""L5501""",
"=""39""","=""Y V""","=""+4""","=""Yttrium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""""","=""75.35""","=""""","=""0.04""","=""L19755""",
"=""39""","=""Y VI""","=""+5""","=""Yttrium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""[""","=""91.390""","=""]""","=""0.025""","=""L6821""",
"=""39""","=""Y VII""","=""+6""","=""Yttrium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""[""","=""110.02""","=""]""","=""0.15""","=""L5287""",
"=""39""","=""Y VIII""","=""+7""","=""Yttrium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""[""","=""128.12""","=""]""","=""0.12""","=""L20835""",
"=""39""","=""Y IX""","=""+8""","=""Yttrium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""[""","=""145.64""","=""]""","=""0.04""","=""L6833""",
"=""39""","=""Y X""","=""+9""","=""Yttrium""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""[""","=""185.7""","=""]""","=""0.4""","=""L6976""",
