At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (b) (eV),References,
"=""40""","=""Zr I""","=""0""","=""Zirconium""","=""Zr""","=""[Kr].4d2.5s2""","=""3F<2>""","=""4d2.5s 4F<3/2>""","=""""","=""6.634126""","=""""","=""0.000005""","=""L21107""",
"=""40""","=""Zr II""","=""+1""","=""Zirconium""","=""Y""","=""[Kr].4d2.5s""","=""4F<3/2>""","=""4d2 3F<2>""","=""""","=""13.13""","=""""","=""""","=""L272""",
"=""40""","=""Zr III""","=""+2""","=""Zirconium""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""[""","=""23.170""","=""]""","=""0.004""","=""L9267""",
"=""40""","=""Zr IV""","=""+3""","=""Zirconium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""""","=""34.41836""","=""""","=""0.00006""","=""L11645""",
"=""40""","=""Zr V""","=""+4""","=""Zirconium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""[""","=""80.348""","=""]""","=""0.007""","=""L4594""",
"=""40""","=""Zr VI""","=""+5""","=""Zirconium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""[""","=""96.38""","=""]""","=""0.04""","=""L19460""",
"=""40""","=""Zr VII""","=""+6""","=""Zirconium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""(""","=""112.0""","="")""","=""2.0""","=""L8672c99""",
"=""40""","=""Zr VIII""","=""+7""","=""Zirconium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""[""","=""133.7""","=""]""","=""0.5""","=""L5287""",
"=""40""","=""Zr IX""","=""+8""","=""Zirconium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""153.0""","="")""","=""2.2""","=""L8672c99""",
"=""40""","=""Zr X""","=""+9""","=""Zirconium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""[""","=""172.02""","=""]""","=""0.05""","=""L6833""",
"=""40""","=""Zr XI""","=""+10""","=""Zirconium""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""[""","=""214.9""","=""]""","=""0.4""","=""L6976""",
"=""40""","=""Zr XII""","=""+11""","=""Zirconium""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""""","=""236.252""","=""""","=""0.025""","=""L4917""",
"=""40""","=""Zr XIII""","=""+12""","=""Zirconium""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""(""","=""426""","="")""","=""3""","=""L8672c99""",
"=""40""","=""Zr XIV""","=""+13""","=""Zirconium""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""470""","="")""","=""3""","=""L8672c99""",
"=""40""","=""Zr XV""","=""+14""","=""Zirconium""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""520""","="")""","=""3""","=""L8672c99""",
"=""40""","=""Zr XVI""","=""+15""","=""Zirconium""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d6 5D<4>""","=""(""","=""573""","="")""","=""3""","=""L8672c99""",
"=""40""","=""Zr XVII""","=""+16""","=""Zirconium""","=""Cr""","=""[Ar].3d6""","=""5D<4>""","=""3d5 6S<5/2>""","=""(""","=""622""","="")""","=""3""","=""L8672c99""",
"=""40""","=""Zr XVIII""","=""+17""","=""Zirconium""","=""V""","=""[Ar].3d5""","=""6S<5/2>""","=""3d4 5D<0>""","=""(""","=""690""","="")""","=""3""","=""L8672c99""",
"=""40""","=""Zr XIX""","=""+18""","=""Zirconium""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""745""","="")""","=""3""","=""L8672c99""",
"=""40""","=""Zr XX""","=""+19""","=""Zirconium""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""803""","="")""","=""4""","=""L8672c99""",
"=""40""","=""Zr XXI""","=""+20""","=""Zirconium""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""863""","="")""","=""4""","=""L8672c99""",
"=""40""","=""Zr XXII""","=""+21""","=""Zirconium""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""922""","="")""","=""4""","=""L8672c99""",
"=""40""","=""Zr XXIII""","=""+22""","=""Zirconium""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""[""","=""1092""","=""]""","=""3""","=""L11770""",
"=""40""","=""Zr XXIV""","=""+23""","=""Zirconium""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""[""","=""1144.7""","=""]""","=""1.2""","=""L11770""",
"=""40""","=""Zr XXV""","=""+24""","=""Zirconium""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 4S*<3/2>""","=""[""","=""1205.4""","=""]""","=""1.7""","=""L11770""",
"=""40""","=""Zr XXVI""","=""+25""","=""Zirconium""","=""P""","=""[Ne].3s2.3p3""","=""4S*<3/2>""","=""3p2 3P<0>""","=""[""","=""1277""","=""]""","=""5""","=""L11770""",
"=""40""","=""Zr XXVII""","=""+26""","=""Zirconium""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""[""","=""1344""","=""]""","=""3""","=""L11770""",
"=""40""","=""Zr XXVIII""","=""+27""","=""Zirconium""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""[""","=""1392""","=""]""","=""7""","=""L11770""",
"=""40""","=""Zr XXIX""","=""+28""","=""Zirconium""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""[""","=""1525.1""","=""]""","=""2.2""","=""L11770""",
"=""40""","=""Zr XXX""","=""+29""","=""Zirconium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""[""","=""1582.37""","=""]""","=""0.05""","=""L11770""",
"=""40""","=""Zr XXXI""","=""+30""","=""Zirconium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""[""","=""3788.0""","=""]""","=""2.1""","=""L11770""",
"=""40""","=""Zr XXXII""","=""+31""","=""Zirconium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""[""","=""3950""","=""]""","=""7""","=""L11770""",
"=""40""","=""Zr XXXIII""","=""+32""","=""Zirconium""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p2<1/2>.2p<3/2> (0,3/2)*<3/2>""","=""[""","=""4127""","=""]""","=""9""","=""L11770""",
"=""40""","=""Zr XXXIV""","=""+33""","=""Zirconium""","=""N""","=""1s2.2s2.2p3""","=""(0,3/2)*<3/2>""","=""2p2 3P<0>""","=""[""","=""4300""","=""]""","=""30""","=""L11770""",
