At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (b) (eV),References,
"=""41""","=""Nb I""","=""0""","=""Niobium""","=""Nb""","=""[Kr].4d4.5s""","=""6D<1/2>""","=""4d4 5D<0>""","=""""","=""6.75885""","=""""","=""0.00004""","=""L6829""",
"=""41""","=""Nb II""","=""+1""","=""Niobium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""[""","=""14.32""","=""]""","=""""","=""L3466""",
"=""41""","=""Nb III""","=""+2""","=""Niobium""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""[""","=""25.04""","=""]""","=""""","=""L17276""",
"=""41""","=""Nb IV""","=""+3""","=""Niobium""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""""","=""37.611""","=""""","=""0.022""","=""L12094""",
"=""41""","=""Nb V""","=""+4""","=""Niobium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""""","=""50.5728""","=""""","=""0.0025""","=""L5437""",
"=""41""","=""Nb VI""","=""+5""","=""Niobium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""[""","=""102.069""","=""]""","=""0.006""","=""L11271""",
"=""41""","=""Nb VII""","=""+6""","=""Niobium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""""","=""119.1""","=""""","=""0.4""","=""L2933""",
"=""41""","=""Nb VIII""","=""+7""","=""Niobium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""(""","=""136.0""","="")""","=""2.1""","=""L8672c99""",
"=""41""","=""Nb IX""","=""+8""","=""Niobium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""[""","=""159.2""","=""]""","=""0.7""","=""L5287""",
"=""41""","=""Nb X""","=""+9""","=""Niobium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""180.0""","="")""","=""2.2""","=""L8672c99""",
"=""41""","=""Nb XI""","=""+10""","=""Niobium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""[""","=""200.28""","=""]""","=""0.06""","=""L6833""",
"=""41""","=""Nb XII""","=""+11""","=""Niobium""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""[""","=""246.1""","=""]""","=""0.4""","=""L6976""",
"=""41""","=""Nb XIII""","=""+12""","=""Niobium""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""""","=""268.59""","=""""","=""0.04""","=""L4998""",
"=""41""","=""Nb XIV""","=""+13""","=""Niobium""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""[""","=""482.5""","=""]""","=""1.5""","=""L10191""",
"=""41""","=""Nb XV""","=""+14""","=""Niobium""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""530""","="")""","=""3""","=""L8672c99""",
"=""41""","=""Nb XVI""","=""+15""","=""Niobium""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""581""","="")""","=""3""","=""L8672c99""",
"=""41""","=""Nb XVII""","=""+16""","=""Niobium""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d6 5D<4>""","=""(""","=""636""","="")""","=""3""","=""L8672c99""",
"=""41""","=""Nb XVIII""","=""+17""","=""Niobium""","=""Cr""","=""[Ar].3d6""","=""5D<4>""","=""3d5 6S<5/2>""","=""(""","=""688""","="")""","=""3""","=""L8672c99""",
