At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""42""","=""Mo I""","=""0""","=""Molybdenum""","=""Mo""","=""[Kr].4d5.5s""","=""7S<3>""","=""4d5 6S<5/2>""","=""""","=""7.09243""","=""""","=""0.00004""","=""L6829""",
"=""42""","=""Mo II""","=""+1""","=""Molybdenum""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""[""","=""16.16""","=""]""","=""0.12""","=""L10502,L17501""",
"=""42""","=""Mo III""","=""+2""","=""Molybdenum""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""[""","=""27.13""","=""]""","=""0.12""","=""L10502,L17276""",
"=""42""","=""Mo IV""","=""+3""","=""Molybdenum""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""[""","=""40.33""","=""]""","=""0.06""","=""L10804,L10371""",
"=""42""","=""Mo V""","=""+4""","=""Molybdenum""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""[""","=""54.417""","=""]""","=""0.019""","=""L19131""",
"=""42""","=""Mo VI""","=""+5""","=""Molybdenum""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""""","=""68.82704""","=""""","=""0.00021""","=""L15083""",
"=""42""","=""Mo VII""","=""+6""","=""Molybdenum""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""[""","=""125.638""","=""]""","=""0.025""","=""L10359""",
"=""42""","=""Mo VIII""","=""+7""","=""Molybdenum""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""""","=""143.6""","=""""","=""1.0""","=""L10502,L3646""",
"=""42""","=""Mo IX""","=""+8""","=""Molybdenum""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""""","=""164.12""","=""""","=""0.09""","=""L10502,L4577""",
"=""42""","=""Mo X""","=""+9""","=""Molybdenum""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""[""","=""186.3""","=""]""","=""1.2""","=""L10502,L5287""",
"=""42""","=""Mo XI""","=""+10""","=""Molybdenum""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""209.3""","="")""","=""1.2""","=""L10502""",
"=""42""","=""Mo XII""","=""+11""","=""Molybdenum""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""[""","=""230.28""","=""]""","=""0.06""","=""L10502,L6833""",
"=""42""","=""Mo XIII""","=""+12""","=""Molybdenum""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""[""","=""279.1""","=""]""","=""0.5""","=""L10502,L6976""",
"=""42""","=""Mo XIV""","=""+13""","=""Molybdenum""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""""","=""302.60""","=""""","=""0.04""","=""L4593""",
"=""42""","=""Mo XV""","=""+14""","=""Molybdenum""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""[""","=""544.0""","=""]""","=""0.5""","=""L10502""",
"=""42""","=""Mo XVI""","=""+15""","=""Molybdenum""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""591""","="")""","=""3""","=""L8672c99""",
"=""42""","=""Mo XVII""","=""+16""","=""Molybdenum""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""646""","="")""","=""3""","=""L8672c99""",
"=""42""","=""Mo XVIII""","=""+17""","=""Molybdenum""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d6 5D<4>""","=""(""","=""702""","="")""","=""3""","=""L8672c99""",
"=""42""","=""Mo XIX""","=""+18""","=""Molybdenum""","=""Cr""","=""[Ar].3d6""","=""5D<4>""","=""3d5 6S<5/2>""","=""(""","=""758""","="")""","=""3""","=""L8672c99""",
"=""42""","=""Mo XX""","=""+19""","=""Molybdenum""","=""V""","=""[Ar].3d5""","=""6S<5/2>""","=""3d4 5D<0>""","=""(""","=""829""","="")""","=""4""","=""L8672c99""",
"=""42""","=""Mo XXI""","=""+20""","=""Molybdenum""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""890""","="")""","=""4""","=""L8672c99""",
"=""42""","=""Mo XXII""","=""+21""","=""Molybdenum""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""953""","="")""","=""4""","=""L8672c99""",
"=""42""","=""Mo XXIII""","=""+22""","=""Molybdenum""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""1019""","="")""","=""4""","=""L8672c99""",
"=""42""","=""Mo XXIV""","=""+23""","=""Molybdenum""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""1082""","="")""","=""4""","=""L8672c99""",
"=""42""","=""Mo XXV""","=""+24""","=""Molybdenum""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""[""","=""1263""","=""]""","=""4""","=""L11770""",
"=""42""","=""Mo XXVI""","=""+25""","=""Molybdenum""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""[""","=""1319.6""","=""]""","=""1.4""","=""L11770""",
"=""42""","=""Mo XXVII""","=""+26""","=""Molybdenum""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 4S*<3/2>""","=""[""","=""1385.1""","=""]""","=""1.9""","=""L11770""",
"=""42""","=""Mo XXVIII""","=""+27""","=""Molybdenum""","=""P""","=""[Ne].3s2.3p3""","=""4S*<3/2>""","=""3p2 3P<0>""","=""[""","=""1462""","=""]""","=""6""","=""L11770""",
"=""42""","=""Mo XXIX""","=""+28""","=""Molybdenum""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""[""","=""1537""","=""]""","=""3""","=""L11770""",
"=""42""","=""Mo XXX""","=""+29""","=""Molybdenum""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""[""","=""1587""","=""]""","=""8""","=""L11770""",
"=""42""","=""Mo XXXI""","=""+30""","=""Molybdenum""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""[""","=""1730.1""","=""]""","=""2.5""","=""L11770""",
"=""42""","=""Mo XXXII""","=""+31""","=""Molybdenum""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""[""","=""1790.93""","=""]""","=""0.06""","=""L11770""",
"=""42""","=""Mo XXXIII""","=""+32""","=""Molybdenum""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""[""","=""4259.0""","=""]""","=""2.4""","=""L11770""",
"=""42""","=""Mo XXXIV""","=""+33""","=""Molybdenum""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""[""","=""4430""","=""]""","=""7""","=""L11770""",
"=""42""","=""Mo XXXV""","=""+34""","=""Molybdenum""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p2<1/2>.2p<3/2> (0,3/2)*<3/2>""","=""[""","=""4618""","=""]""","=""10""","=""L11770""",
"=""42""","=""Mo XXXVI""","=""+35""","=""Molybdenum""","=""N""","=""1s2.2s2.2p3""","=""(0,3/2)*<3/2>""","=""2p2 3P<0>""","=""[""","=""4800""","=""]""","=""30""","=""L11770""",
"=""42""","=""Mo XXXVII""","=""+36""","=""Molybdenum""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""[""","=""5084""","=""]""","=""6""","=""L11770""",
"=""42""","=""Mo XXXVIII""","=""+37""","=""Molybdenum""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""[""","=""5287""","=""]""","=""4""","=""L11770""",
"=""42""","=""Mo XXXIX""","=""+38""","=""Molybdenum""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""[""","=""5548""","=""]""","=""5""","=""L11770""",
"=""42""","=""Mo XL""","=""+39""","=""Molybdenum""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""5713.194""","="")""","=""0.016""","=""L16264c99""",
"=""42""","=""Mo XLI""","=""+40""","=""Molybdenum""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""23810.653""","="")""","=""0.009""","=""L21139""",
"=""42""","=""Mo XLII""","=""+41""","=""Molybdenum""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""24572.213""","="")""","=""0.004""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
     [Kr] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6
