At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (b) (eV),References,
"=""43""","=""Tc I""","=""0""","=""Technetium""","=""Tc""","=""[Kr].4d5.5s2""","=""6S<5/2>""","=""4d5.5s 7S<3>""","=""""","=""7.11938""","=""""","=""0.00003""","=""L15237""",
"=""43""","=""Tc II""","=""+1""","=""Technetium""","=""Mo""","=""[Kr].4d5.5s""","=""7S<3>""","=""4d5 6S<5/2>""","=""[""","=""15.26""","=""]""","=""""","=""L3466,L17503""",
"=""43""","=""Tc III""","=""+2""","=""Technetium""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""[""","=""29.55""","=""]""","=""""","=""L17276""",
"=""43""","=""Tc IV""","=""+3""","=""Technetium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""41.0""","="")""","=""1.7""","=""L8672c99""",
"=""43""","=""Tc V""","=""+4""","=""Technetium""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""57.0""","="")""","=""1.9""","=""L8672c99""",
"=""43""","=""Tc VI""","=""+5""","=""Technetium""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""72.0""","="")""","=""2.0""","=""L8672c99""",
"=""43""","=""Tc VII""","=""+6""","=""Technetium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""88.0""","="")""","=""2.0""","=""L8672c99""",
"=""43""","=""Tc VIII""","=""+7""","=""Technetium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""(""","=""150.0""","="")""","=""2.1""","=""L8672c99""",
"=""43""","=""Tc IX""","=""+8""","=""Technetium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""169.0""","="")""","=""2.2""","=""L8672c99""",
"=""43""","=""Tc X""","=""+9""","=""Technetium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""(""","=""189.9""","="")""","=""2.2""","=""L8672c99""",
"=""43""","=""Tc XI""","=""+10""","=""Technetium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""(""","=""214.0""","="")""","=""2.4""","=""L8672c99""",
"=""43""","=""Tc XII""","=""+11""","=""Technetium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""239.0""","="")""","=""2.5""","=""L8672c99""",
"=""43""","=""Tc XIII""","=""+12""","=""Technetium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""[""","=""262.08""","=""]""","=""0.12""","=""L6833""",
"=""43""","=""Tc XIV""","=""+13""","=""Technetium""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""(""","=""311""","="")""","=""3""","=""L8672c99""",
"=""43""","=""Tc XV""","=""+14""","=""Technetium""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""[""","=""338.55""","=""]""","=""0.17""","=""L10278""",
"=""43""","=""Tc XVI""","=""+15""","=""Technetium""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""(""","=""604""","="")""","=""3""","=""L8672c99""",
"=""43""","=""Tc XVII""","=""+16""","=""Technetium""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""655""","="")""","=""3""","=""L8672c99""",
"=""43""","=""Tc XVIII""","=""+17""","=""Technetium""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""713""","="")""","=""3""","=""L8672c99""",
"=""43""","=""Tc XIX""","=""+18""","=""Technetium""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d6 5D<4>""","=""(""","=""773""","="")""","=""3""","=""L8672c99""",
"=""43""","=""Tc XX""","=""+19""","=""Technetium""","=""Cr""","=""[Ar].3d6""","=""5D<4>""","=""3d5 6S<5/2>""","=""(""","=""829""","="")""","=""4""","=""L8672c99""",
"=""43""","=""Tc XXI""","=""+20""","=""Technetium""","=""V""","=""[Ar].3d5""","=""6S<5/2>""","=""3d4 5D<0>""","=""(""","=""904""","="")""","=""4""","=""L8672c99""",
"=""43""","=""Tc XXII""","=""+21""","=""Technetium""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""968""","="")""","=""4""","=""L8672c99""",
"=""43""","=""Tc XXIII""","=""+22""","=""Technetium""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""1032""","="")""","=""4""","=""L8672c99""",
"=""43""","=""Tc XXIV""","=""+23""","=""Technetium""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""1102""","="")""","=""4""","=""L8672c99""",
"=""43""","=""Tc XXV""","=""+24""","=""Technetium""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""1166""","="")""","=""4""","=""L8672c99""",
"=""43""","=""Tc XXVI""","=""+25""","=""Technetium""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""[""","=""1354""","=""]""","=""4""","=""L11770""",
"=""43""","=""Tc XXVII""","=""+26""","=""Technetium""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""[""","=""1411.6""","=""]""","=""1.5""","=""L11770""",
"=""43""","=""Tc XXVIII""","=""+27""","=""Technetium""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 4S*<3/2>""","=""[""","=""1479.5""","=""]""","=""2.0""","=""L11770""",
"=""43""","=""Tc XXIX""","=""+28""","=""Technetium""","=""P""","=""[Ne].3s2.3p3""","=""4S*<3/2>""","=""3p2 3P<0>""","=""[""","=""1559""","=""]""","=""6""","=""L11770""",
"=""43""","=""Tc XXX""","=""+29""","=""Technetium""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""[""","=""1638""","=""]""","=""4""","=""L11770""",
"=""43""","=""Tc XXXI""","=""+30""","=""Technetium""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""[""","=""1689""","=""]""","=""8""","=""L11770""",
"=""43""","=""Tc XXXII""","=""+31""","=""Technetium""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""[""","=""1838""","=""]""","=""3""","=""L11770""",
"=""43""","=""Tc XXXIII""","=""+32""","=""Technetium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""[""","=""1900.28""","=""]""","=""0.06""","=""L11770""",
"=""43""","=""Tc XXXIV""","=""+33""","=""Technetium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""[""","=""4505.0""","=""]""","=""2.5""","=""L11770""",
"=""43""","=""Tc XXXV""","=""+34""","=""Technetium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""[""","=""4681""","=""]""","=""8""","=""L11770""",
"=""43""","=""Tc XXXVI""","=""+35""","=""Technetium""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p2<1/2>.2p<3/2> (0,3/2)*<3/2>""","=""[""","=""4874""","=""]""","=""10""","=""L11770""",
"=""43""","=""Tc XXXVII""","=""+36""","=""Technetium""","=""N""","=""1s2.2s2.2p3""","=""(0,3/2)*<3/2>""","=""2p2 3P<0>""","=""[""","=""5060""","=""]""","=""40""","=""L11770""",
"=""43""","=""Tc XXXVIII""","=""+37""","=""Technetium""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""[""","=""5361""","=""]""","=""6""","=""L11770""",
"=""43""","=""Tc XXXIX""","=""+38""","=""Technetium""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""[""","=""5570""","=""]""","=""4""","=""L11770""",
"=""43""","=""Tc XL""","=""+39""","=""Technetium""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""[""","=""5838""","=""]""","=""6""","=""L11770""",
"=""43""","=""Tc XLI""","=""+40""","=""Technetium""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""6008.391""","="")""","=""0.017""","=""L16264c99""",
"=""43""","=""Tc XLII""","=""+41""","=""Technetium""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""25004.531""","="")""","=""0.010""","=""L21139""",
"=""43""","=""Tc XLIII""","=""+42""","=""Technetium""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""25787.047""","="")""","=""0.016""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
     [Kr] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6
(b) Uncertainties of some of the listed values are unknown. 
