At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (b) (eV),References,
"=""44""","=""Ru I""","=""0""","=""Ruthenium""","=""Ru""","=""[Kr].4d7.5s""","=""5F<5>""","=""4d7 4F<9/2>""","=""""","=""7.36050""","=""""","=""0.00005""","=""L10032""",
"=""44""","=""Ru II""","=""+1""","=""Ruthenium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""[""","=""16.76""","=""]""","=""0.06""","=""L17219""",
"=""44""","=""Ru III""","=""+2""","=""Ruthenium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""[""","=""28.47""","=""]""","=""""","=""L3466,L17276""",
"=""44""","=""Ru IV""","=""+3""","=""Ruthenium""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""(""","=""45.0""","="")""","=""1.7""","=""L8672c99""",
"=""44""","=""Ru V""","=""+4""","=""Ruthenium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""59.0""","="")""","=""1.9""","=""L8672c99""",
"=""44""","=""Ru VI""","=""+5""","=""Ruthenium""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""76.0""","="")""","=""2.0""","=""L8672c99""",
"=""44""","=""Ru VII""","=""+6""","=""Ruthenium""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""93.0""","="")""","=""2.0""","=""L8672c99""",
"=""44""","=""Ru VIII""","=""+7""","=""Ruthenium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""110.0""","="")""","=""2.1""","=""L8672c99""",
"=""44""","=""Ru IX""","=""+8""","=""Ruthenium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""[""","=""178.41""","=""]""","=""0.05""","=""L1798""",
"=""44""","=""Ru X""","=""+9""","=""Ruthenium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""198.0""","="")""","=""2.2""","=""L8672c99""",
"=""44""","=""Ru XI""","=""+10""","=""Ruthenium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""(""","=""219.9""","="")""","=""2.4""","=""L8672c99""",
"=""44""","=""Ru XII""","=""+11""","=""Ruthenium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""(""","=""245.0""","="")""","=""2.5""","=""L8672c99""",
"=""44""","=""Ru XIII""","=""+12""","=""Ruthenium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""271""","="")""","=""3""","=""L8672c99""",
"=""44""","=""Ru XIV""","=""+13""","=""Ruthenium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""[""","=""295.90""","=""]""","=""0.09""","=""L6833""",
"=""44""","=""Ru XV""","=""+14""","=""Ruthenium""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""(""","=""348""","="")""","=""3""","=""L8672c99""",
"=""44""","=""Ru XVI""","=""+15""","=""Ruthenium""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""""","=""376.25""","=""""","=""0.10""","=""L5953""",
"=""44""","=""Ru XVII""","=""+16""","=""Ruthenium""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""(""","=""670""","="")""","=""3""","=""L8672c99""",
"=""44""","=""Ru XVIII""","=""+17""","=""Ruthenium""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""723""","="")""","=""3""","=""L8672c99""",
"=""44""","=""Ru XIX""","=""+18""","=""Ruthenium""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""784""","="")""","=""3""","=""L8672c99""",
"=""44""","=""Ru XX""","=""+19""","=""Ruthenium""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d6 5D<4>""","=""(""","=""845""","="")""","=""4""","=""L8672c99""",
"=""44""","=""Ru XXI""","=""+20""","=""Ruthenium""","=""Cr""","=""[Ar].3d6""","=""5D<4>""","=""3d5 6S<5/2>""","=""(""","=""905""","="")""","=""4""","=""L8672c99""",
"=""44""","=""Ru XXII""","=""+21""","=""Ruthenium""","=""V""","=""[Ar].3d5""","=""6S<5/2>""","=""3d4 5D<0>""","=""(""","=""981""","="")""","=""4""","=""L8672c99""",
"=""44""","=""Ru XXIII""","=""+22""","=""Ruthenium""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""1048""","="")""","=""4""","=""L8672c99""",
"=""44""","=""Ru XXIV""","=""+23""","=""Ruthenium""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""1115""","="")""","=""4""","=""L8672c99""",
"=""44""","=""Ru XXV""","=""+24""","=""Ruthenium""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""1187""","="")""","=""4""","=""L8672c99""",
"=""44""","=""Ru XXVI""","=""+25""","=""Ruthenium""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""1253""","="")""","=""4""","=""L8672c99""",
"=""44""","=""Ru XXVII""","=""+26""","=""Ruthenium""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""[""","=""1447""","=""]""","=""4""","=""L11770""",
"=""44""","=""Ru XXVIII""","=""+27""","=""Ruthenium""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""[""","=""1506.7""","=""]""","=""1.6""","=""L11770""",
"=""44""","=""Ru XXIX""","=""+28""","=""Ruthenium""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 4S*<3/2>""","=""[""","=""1577.0""","=""]""","=""2.1""","=""L11770""",
"=""44""","=""Ru XXX""","=""+29""","=""Ruthenium""","=""P""","=""[Ne].3s2.3p3""","=""4S*<3/2>""","=""3p2 3P<0>""","=""[""","=""1659""","=""]""","=""6""","=""L11770""",
"=""44""","=""Ru XXXI""","=""+30""","=""Ruthenium""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""[""","=""1743""","=""]""","=""4""","=""L11770""",
"=""44""","=""Ru XXXII""","=""+31""","=""Ruthenium""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""[""","=""1794""","=""]""","=""8""","=""L11770""",
"=""44""","=""Ru XXXIII""","=""+32""","=""Ruthenium""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""[""","=""1949""","=""]""","=""3""","=""L11770""",
"=""44""","=""Ru XXXIV""","=""+33""","=""Ruthenium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""[""","=""2013.04""","=""]""","=""0.06""","=""L11770""",
"=""44""","=""Ru XXXV""","=""+34""","=""Ruthenium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""[""","=""4758""","=""]""","=""3""","=""L11770""",
"=""44""","=""Ru XXXVI""","=""+35""","=""Ruthenium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""[""","=""4939""","=""]""","=""8""","=""L11770""",
"=""44""","=""Ru XXXVII""","=""+36""","=""Ruthenium""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p2<1/2>.2p<3/2> (0,3/2)*<3/2>""","=""[""","=""5136""","=""]""","=""11""","=""L11770""",
"=""44""","=""Ru XXXVIII""","=""+37""","=""Ruthenium""","=""N""","=""1s2.2s2.2p3""","=""(0,3/2)*<3/2>""","=""2p2 3P<0>""","=""[""","=""5330""","=""]""","=""40""","=""L11770""",
"=""44""","=""Ru XXXIX""","=""+38""","=""Ruthenium""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""[""","=""5647""","=""]""","=""6""","=""L11770""",
