At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (b) (eV),References,
"=""45""","=""Rh I""","=""0""","=""Rhodium""","=""Rh""","=""[Kr].4d8.5s""","=""4F<9/2>""","=""4d8 3F<4>""","=""""","=""7.45890""","=""""","=""0.00005""","=""L10032""",
"=""45""","=""Rh II""","=""+1""","=""Rhodium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""[""","=""18.08""","=""]""","=""""","=""L3466""",
"=""45""","=""Rh III""","=""+2""","=""Rhodium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""[""","=""31.06""","=""]""","=""""","=""L3466,L17276""",
"=""45""","=""Rh IV""","=""+3""","=""Rhodium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""(""","=""42.0""","="")""","=""1.7""","=""L8672c99""",
"=""45""","=""Rh V""","=""+4""","=""Rhodium""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""(""","=""63.0""","="")""","=""1.9""","=""L8672c99""",
"=""45""","=""Rh VI""","=""+5""","=""Rhodium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""80.0""","="")""","=""2.0""","=""L8672c99""",
"=""45""","=""Rh VII""","=""+6""","=""Rhodium""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""97.0""","="")""","=""2.0""","=""L8672c99""",
"=""45""","=""Rh VIII""","=""+7""","=""Rhodium""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""115.1""","="")""","=""2.1""","=""L8672c99""",
"=""45""","=""Rh IX""","=""+8""","=""Rhodium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""135.0""","="")""","=""2.2""","=""L8672c99""",
"=""45""","=""Rh X""","=""+9""","=""Rhodium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""[""","=""207.51""","=""]""","=""0.05""","=""L1798""",
"=""45""","=""Rh XI""","=""+10""","=""Rhodium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""228.0""","="")""","=""2.4""","=""L8672c99""",
"=""45""","=""Rh XII""","=""+11""","=""Rhodium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""(""","=""252.1""","="")""","=""2.5""","=""L8672c99""",
"=""45""","=""Rh XIII""","=""+12""","=""Rhodium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""(""","=""277""","="")""","=""3""","=""L8672c99""",
"=""45""","=""Rh XIV""","=""+13""","=""Rhodium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""306""","="")""","=""3""","=""L8672c99""",
"=""45""","=""Rh XV""","=""+14""","=""Rhodium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""[""","=""331.58""","=""]""","=""0.14""","=""L6833""",
