At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (b) (eV),References,
"=""46""","=""Pd I""","=""0""","=""Palladium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""""","=""8.336839""","=""""","=""0.000010""","=""L20363""",
"=""46""","=""Pd II""","=""+1""","=""Palladium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""[""","=""19.43""","=""]""","=""0.12""","=""L3466,L17501""",
"=""46""","=""Pd III""","=""+2""","=""Palladium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""[""","=""32.93""","=""]""","=""""","=""L17276""",
"=""46""","=""Pd IV""","=""+3""","=""Palladium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""46.0""","="")""","=""1.7""","=""L8672c99""",
"=""46""","=""Pd V""","=""+4""","=""Palladium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""(""","=""61.0""","="")""","=""1.9""","=""L8672c99""",
"=""46""","=""Pd VI""","=""+5""","=""Palladium""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""(""","=""84.1""","="")""","=""2.0""","=""L8672c99""",
"=""46""","=""Pd VII""","=""+6""","=""Palladium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""101.0""","="")""","=""2.0""","=""L8672c99""",
"=""46""","=""Pd VIII""","=""+7""","=""Palladium""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""120.0""","="")""","=""2.1""","=""L8672c99""",
"=""46""","=""Pd IX""","=""+8""","=""Palladium""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""141.0""","="")""","=""2.2""","=""L8672c99""",
"=""46""","=""Pd X""","=""+9""","=""Palladium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""159.9""","="")""","=""2.2""","=""L8672c99""",
"=""46""","=""Pd XI""","=""+10""","=""Palladium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""[""","=""238.57""","=""]""","=""0.12""","=""L1798""",
"=""46""","=""Pd XII""","=""+11""","=""Palladium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""260.0""","="")""","=""2.5""","=""L8672c99""",
