At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""47""","=""Ag I""","=""0""","=""Silver""","=""Ag""","=""[Kr].4d10.5s""","=""2S<1/2>""","=""4d10 1S<0>""","=""""","=""7.576234""","=""""","=""0.000025""","=""L11835""",
"=""47""","=""Ag II""","=""+1""","=""Silver""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""""","=""21.4844""","=""""","=""0.0009""","=""L18362""",
"=""47""","=""Ag III""","=""+2""","=""Silver""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""[""","=""34.8""","=""]""","=""0.3""","=""L17276""",
"=""47""","=""Ag IV""","=""+3""","=""Silver""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""49.0""","="")""","=""1.7""","=""L8672c99""",
"=""47""","=""Ag V""","=""+4""","=""Silver""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""65.0""","="")""","=""1.9""","=""L8672c99""",
"=""47""","=""Ag VI""","=""+5""","=""Silver""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""(""","=""82.0""","="")""","=""2.0""","=""L8672c99""",
"=""47""","=""Ag VII""","=""+6""","=""Silver""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""(""","=""106.0""","="")""","=""2.0""","=""L8672c99""",
"=""47""","=""Ag VIII""","=""+7""","=""Silver""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""125.0""","="")""","=""2.1""","=""L8672c99""",
"=""47""","=""Ag IX""","=""+8""","=""Silver""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""145.1""","="")""","=""2.2""","=""L8672c99""",
"=""47""","=""Ag X""","=""+9""","=""Silver""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""167.0""","="")""","=""2.2""","=""L8672c99""",
"=""47""","=""Ag XI""","=""+10""","=""Silver""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""188.0""","="")""","=""2.4""","=""L8672c99""",
"=""47""","=""Ag XII""","=""+11""","=""Silver""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""[""","=""271.46""","=""]""","=""0.12""","=""L1798""",
"=""47""","=""Ag XIII""","=""+12""","=""Silver""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""294""","="")""","=""3""","=""L8672c99""",
"=""47""","=""Ag XIV""","=""+13""","=""Silver""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""(""","=""321""","="")""","=""3""","=""L8672c99""",
"=""47""","=""Ag XV""","=""+14""","=""Silver""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""(""","=""347""","="")""","=""3""","=""L8672c99""",
"=""47""","=""Ag XVI""","=""+15""","=""Silver""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""381""","="")""","=""3""","=""L8672c99""",
"=""47""","=""Ag XVII""","=""+16""","=""Silver""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""[""","=""408.43""","=""]""","=""0.16""","=""L6833""",
"=""47""","=""Ag XVIII""","=""+17""","=""Silver""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""(""","=""469""","="")""","=""3""","=""L8672c99""",
"=""47""","=""Ag XIX""","=""+18""","=""Silver""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""[""","=""500.87""","=""]""","=""0.16""","=""L5953""",
"=""47""","=""Ag XX""","=""+19""","=""Silver""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""(""","=""885""","="")""","=""4""","=""L8672c99""",
"=""47""","=""Ag XXI""","=""+20""","=""Silver""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""946""","="")""","=""4""","=""L8672c99""",
"=""47""","=""Ag XXII""","=""+21""","=""Silver""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""1013""","="")""","=""4""","=""L8672c99""",
"=""47""","=""Ag XXIII""","=""+22""","=""Silver""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d6 5D<4>""","=""(""","=""1082""","="")""","=""4""","=""L8672c99""",
"=""47""","=""Ag XXIV""","=""+23""","=""Silver""","=""Cr""","=""[Ar].3d6""","=""5D<4>""","=""3d5 6S<5/2>""","=""(""","=""1149""","="")""","=""4""","=""L8672c99""",
"=""47""","=""Ag XXV""","=""+24""","=""Silver""","=""V""","=""[Ar].3d5""","=""6S<5/2>""","=""3d4 5D<0>""","=""(""","=""1231""","="")""","=""4""","=""L8672c99""",
"=""47""","=""Ag XXVI""","=""+25""","=""Silver""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""1308""","="")""","=""4""","=""L8672c99""",
"=""47""","=""Ag XXVII""","=""+26""","=""Silver""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""1382""","="")""","=""4""","=""L8672c99""",
"=""47""","=""Ag XXVIII""","=""+27""","=""Silver""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""1460""","="")""","=""4""","=""L8672c99""",
"=""47""","=""Ag XXIX""","=""+28""","=""Silver""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""1535""","="")""","=""4""","=""L8672c99""",
"=""47""","=""Ag XXX""","=""+29""","=""Silver""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""[""","=""1747""","=""]""","=""5""","=""L11770""",
"=""47""","=""Ag XXXI""","=""+30""","=""Silver""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""[""","=""1810.5""","=""]""","=""1.9""","=""L11770""",
"=""47""","=""Ag XXXII""","=""+31""","=""Silver""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 4S*<3/2>""","=""[""","=""1888.0""","=""]""","=""2.4""","=""L11770""",
"=""47""","=""Ag XXXIII""","=""+32""","=""Silver""","=""P""","=""[Ne].3s2.3p3""","=""4S*<3/2>""","=""3p2 3P<0>""","=""[""","=""1979""","=""]""","=""8""","=""L11770""",
"=""47""","=""Ag XXXIV""","=""+33""","=""Silver""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""[""","=""2077""","=""]""","=""4""","=""L11770""",
"=""47""","=""Ag XXXV""","=""+34""","=""Silver""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""[""","=""2131""","=""]""","=""10""","=""L11770""",
"=""47""","=""Ag XXXVI""","=""+35""","=""Silver""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""[""","=""2302""","=""]""","=""3""","=""L11770""",
"=""47""","=""Ag XXXVII""","=""+36""","=""Silver""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""[""","=""2371.99""","=""]""","=""0.07""","=""L11770""",
