At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""48""","=""Cd I""","=""0""","=""Cadmium""","=""Cd""","=""[Kr].4d10.5s2""","=""1S0""","=""5s 2S<1/2>""","=""""","=""8.993820""","=""""","=""0.000016""","=""L18843""",
"=""48""","=""Cd II""","=""+1""","=""Cadmium""","=""Ag""","=""[Kr].4d10.5s""","=""2S<1/2>""","=""4d10 1S<0>""","=""""","=""16.908313""","=""""","=""0.000012""","=""L3540""",
"=""48""","=""Cd III""","=""+2""","=""Cadmium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""""","=""37.468""","=""""","=""0.006""","=""L11384""",
"=""48""","=""Cd IV""","=""+3""","=""Cadmium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""51.0""","="")""","=""1.7""","=""L8672c99""",
"=""48""","=""Cd V""","=""+4""","=""Cadmium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""67.9""","="")""","=""1.9""","=""L8672c99""",
"=""48""","=""Cd VI""","=""+5""","=""Cadmium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""87.0""","="")""","=""2.0""","=""L8672c99""",
"=""48""","=""Cd VII""","=""+6""","=""Cadmium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""(""","=""105.0""","="")""","=""2.0""","=""L8672c99""",
"=""48""","=""Cd VIII""","=""+7""","=""Cadmium""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""(""","=""130.1""","="")""","=""2.1""","=""L8672c99""",
"=""48""","=""Cd IX""","=""+8""","=""Cadmium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""150.0""","="")""","=""2.2""","=""L8672c99""",
"=""48""","=""Cd X""","=""+9""","=""Cadmium""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""173.0""","="")""","=""2.2""","=""L8672c99""",
"=""48""","=""Cd XI""","=""+10""","=""Cadmium""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""195.0""","="")""","=""2.4""","=""L8672c99""",
"=""48""","=""Cd XII""","=""+11""","=""Cadmium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""218.0""","="")""","=""2.5""","=""L8672c99""",
