At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""49""","=""In I""","=""0""","=""Indium""","=""In""","=""[Cd].5p""","=""2P*<1/2>""","=""5s2 1S<0>""","=""""","=""5.7863558""","=""""","=""0.0000005""","=""L21649""",
"=""49""","=""In II""","=""+1""","=""Indium""","=""Cd""","=""[Kr].4d10.5s2""","=""1S0""","=""5s 2S<1/2>""","=""""","=""18.87041""","=""""","=""0.00003""","=""L18318""",
"=""49""","=""In III""","=""+2""","=""Indium""","=""Ag""","=""[Kr].4d10.5s""","=""2S<1/2>""","=""4d10 1S<0>""","=""""","=""28.04415""","=""""","=""0.00012""","=""L4327""",
"=""49""","=""In IV""","=""+3""","=""Indium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""""","=""55.45""","=""""","=""0.04""","=""L11384""",
"=""49""","=""In V""","=""+4""","=""Indium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""[""","=""69.3""","=""]""","=""1.2""","=""L4316c99""",
"=""49""","=""In VI""","=""+5""","=""Indium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""90.0""","="")""","=""2.0""","=""L8672c99""",
"=""49""","=""In VII""","=""+6""","=""Indium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""109.0""","="")""","=""2.0""","=""L8672c99""",
"=""49""","=""In VIII""","=""+7""","=""Indium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""(""","=""130.1""","="")""","=""2.1""","=""L8672c99""",
"=""49""","=""In IX""","=""+8""","=""Indium""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""(""","=""156.0""","="")""","=""2.2""","=""L8672c99""",
"=""49""","=""In X""","=""+9""","=""Indium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""178.0""","="")""","=""2.2""","=""L8672c99""",
