At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""50""","=""Sn I""","=""0""","=""Tin""","=""Sn""","=""[Cd].5p2""","=""3P0""","=""5s2.5p 2P*<1/2>""","=""""","=""7.343918""","=""""","=""0.000012""","=""L3936""",
"=""50""","=""Sn II""","=""+1""","=""Tin""","=""In""","=""[Cd].5p""","=""2P*<1/2>""","=""5s2 1S<0>""","=""""","=""14.63307""","=""""","=""0.00009""","=""L18891""",
"=""50""","=""Sn III""","=""+2""","=""Tin""","=""Cd""","=""[Kr].4d10.5s2""","=""1S0""","=""5s 2S<1/2>""","=""""","=""30.506""","=""""","=""0.003""","=""L18161""",
"=""50""","=""Sn IV""","=""+3""","=""Tin""","=""Ag""","=""[Kr].4d10.5s""","=""2S<1/2>""","=""4d10 1S<0>""","=""""","=""40.74""","=""""","=""0.04""","=""L3466c99""",
"=""50""","=""Sn V""","=""+4""","=""Tin""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""""","=""77.03""","=""""","=""0.04""","=""L11384""",
"=""50""","=""Sn VI""","=""+5""","=""Tin""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""94.0""","="")""","=""2.0""","=""L8672c99""",
"=""50""","=""Sn VII""","=""+6""","=""Tin""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""112.9""","="")""","=""2.0""","=""L8672c99""",
"=""50""","=""Sn VIII""","=""+7""","=""Tin""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""135.0""","="")""","=""2.1""","=""L8672c99""",
"=""50""","=""Sn IX""","=""+8""","=""Tin""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""(""","=""156.0""","="")""","=""2.2""","=""L8672c99""",
"=""50""","=""Sn X""","=""+9""","=""Tin""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""(""","=""184.0""","="")""","=""2.2""","=""L8672c99""",
"=""50""","=""Sn XI""","=""+10""","=""Tin""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""208.0""","="")""","=""2.4""","=""L8672c99""",
"=""50""","=""Sn XII""","=""+11""","=""Tin""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""232.0""","="")""","=""2.5""","=""L8672c99""",
"=""50""","=""Sn XIII""","=""+12""","=""Tin""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""258""","="")""","=""3""","=""L8672c99""",
"=""50""","=""Sn XIV""","=""+13""","=""Tin""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""282""","="")""","=""3""","=""L8672c99""",
"=""50""","=""Sn XV""","=""+14""","=""Tin""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""(""","=""379""","="")""","=""3""","=""L8672c99""",
"=""50""","=""Sn XVI""","=""+15""","=""Tin""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""407""","="")""","=""3""","=""L8672c99""",
"=""50""","=""Sn XVII""","=""+16""","=""Tin""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""(""","=""437""","="")""","=""3""","=""L8672c99""",
"=""50""","=""Sn XVIII""","=""+17""","=""Tin""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""(""","=""466""","="")""","=""3""","=""L8672c99""",
"=""50""","=""Sn XIX""","=""+18""","=""Tin""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""506""","="")""","=""3""","=""L8672c99""",
"=""50""","=""Sn XX""","=""+19""","=""Tin""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""(""","=""537""","="")""","=""4""","=""L8672c99""",
"=""50""","=""Sn XXI""","=""+20""","=""Tin""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""(""","=""608""","="")""","=""4""","=""L8672c99""",
"=""50""","=""Sn XXII""","=""+21""","=""Tin""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""[""","=""642.35""","=""]""","=""0.22""","=""L5953""",
"=""50""","=""Sn XXIII""","=""+22""","=""Tin""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""(""","=""1127""","="")""","=""4""","=""L8672c99""",
"=""50""","=""Sn XXIV""","=""+23""","=""Tin""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""1195""","="")""","=""4""","=""L8672c99""",
"=""50""","=""Sn XXV""","=""+24""","=""Tin""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""1269""","="")""","=""4""","=""L8672c99""",
"=""50""","=""Sn XXVI""","=""+25""","=""Tin""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d6 5D<4>""","=""(""","=""1347""","="")""","=""4""","=""L8672c99""",
"=""50""","=""Sn XXVII""","=""+26""","=""Tin""","=""Cr""","=""[Ar].3d6""","=""5D<4>""","=""3d5 6S<5/2>""","=""(""","=""1421""","="")""","=""4""","=""L8672c99""",
"=""50""","=""Sn XXVIII""","=""+27""","=""Tin""","=""V""","=""[Ar].3d5""","=""6S<5/2>""","=""3d4 5D<0>""","=""(""","=""1508""","="")""","=""4""","=""L8672c99""",
"=""50""","=""Sn XXIX""","=""+28""","=""Tin""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""1596""","="")""","=""4""","=""L8672c99""",
"=""50""","=""Sn XXX""","=""+29""","=""Tin""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""1676""","="")""","=""4""","=""L8672c99""",
"=""50""","=""Sn XXXI""","=""+30""","=""Tin""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""1763""","="")""","=""4""","=""L8672c99""",
"=""50""","=""Sn XXXII""","=""+31""","=""Tin""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""1844""","="")""","=""4""","=""L8672c99""",
"=""50""","=""Sn XXXIII""","=""+32""","=""Tin""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""[""","=""2074""","=""]""","=""6""","=""L11770""",
"=""50""","=""Sn XXXIV""","=""+33""","=""Tin""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""[""","=""2142.1""","=""]""","=""2.1""","=""L11770""",
"=""50""","=""Sn XXXV""","=""+34""","=""Tin""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 4S*<3/2>""","=""[""","=""2227""","=""]""","=""3""","=""L11770""",
"=""50""","=""Sn XXXVI""","=""+35""","=""Tin""","=""P""","=""[Ne].3s2.3p3""","=""4S*<3/2>""","=""3p2 3P<0>""","=""[""","=""2326""","=""]""","=""9""","=""L11770""",
"=""50""","=""Sn XXXVII""","=""+36""","=""Tin""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""[""","=""2443""","=""]""","=""5""","=""L11770""",
"=""50""","=""Sn XXXVIII""","=""+37""","=""Tin""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""[""","=""2499""","=""]""","=""11""","=""L11770""",
"=""50""","=""Sn XXXIX""","=""+38""","=""Tin""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""[""","=""2687""","=""]""","=""4""","=""L11770""",
"=""50""","=""Sn XL""","=""+39""","=""Tin""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""[""","=""2762.49""","=""]""","=""0.08""","=""L11770""",
"=""50""","=""Sn XLI""","=""+40""","=""Tin""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""[""","=""6421""","=""]""","=""3""","=""L11770""",
"=""50""","=""Sn XLII""","=""+41""","=""Tin""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""[""","=""6631""","=""]""","=""10""","=""L11770""",
"=""50""","=""Sn XLIII""","=""+42""","=""Tin""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p2<1/2>.2p<3/2> (0,3/2)*<3/2>""","=""[""","=""6859""","=""]""","=""13""","=""L11770""",
"=""50""","=""Sn XLIV""","=""+43""","=""Tin""","=""N""","=""1s2.2s2.2p3""","=""(0,3/2)*<3/2>""","=""2p2 3P<0>""","=""[""","=""7080""","=""]""","=""50""","=""L11770""",
"=""50""","=""Sn XLV""","=""+44""","=""Tin""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""[""","=""7531""","=""]""","=""8""","=""L11770""",
"=""50""","=""Sn XLVI""","=""+45""","=""Tin""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""(""","=""7790""","="")""","=""4""","=""L8672c99""",
