At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (b) (eV),References,
"=""51""","=""Sb I""","=""0""","=""Antimony""","=""Sb""","=""[Cd].5p3""","=""4S*<3/2>""","=""5s2.5p2 3P<0>""","=""""","=""8.608389""","=""""","=""0.000012""","=""L8844,L6684""",
"=""51""","=""Sb II""","=""+1""","=""Antimony""","=""Sn""","=""[Cd].5p2""","=""3P0""","=""5s2.5p 2P<1/2>""","=""""","=""16.626""","=""""","=""0.025""","=""L16370,L8844""",
"=""51""","=""Sb III""","=""+2""","=""Antimony""","=""In""","=""[Cd].5p""","=""2P*<1/2>""","=""5s2 1S<0>""","=""""","=""25.3235""","=""""","=""""","=""L3466,L16241""",
"=""51""","=""Sb IV""","=""+3""","=""Antimony""","=""Cd""","=""[Kr].4d10.5s2""","=""1S0""","=""5s 2S<1/2>""","=""""","=""43.804""","=""""","=""0.025""","=""L11767""",
"=""51""","=""Sb V""","=""+4""","=""Antimony""","=""Ag""","=""[Kr].4d10.5s""","=""2S<1/2>""","=""4d10 1S<0>""","=""[""","=""55.00""","=""]""","=""0.10""","=""L5984""",
"=""51""","=""Sb VI""","=""+5""","=""Antimony""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""""","=""99.51""","=""""","=""0.05""","=""L11384""",
"=""51""","=""Sb VII""","=""+6""","=""Antimony""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""117.0""","="")""","=""2.0""","=""L8672c99""",
"=""51""","=""Sb VIII""","=""+7""","=""Antimony""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""139.0""","="")""","=""2.1""","=""L8672c99""",
"=""51""","=""Sb IX""","=""+8""","=""Antimony""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""162.0""","="")""","=""2.2""","=""L8672c99""",
"=""51""","=""Sb X""","=""+9""","=""Antimony""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""(""","=""185.0""","="")""","=""2.2""","=""L8672c99""",
"=""51""","=""Sb XI""","=""+10""","=""Antimony""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""(""","=""214.0""","="")""","=""2.4""","=""L8672c99""",
"=""51""","=""Sb XII""","=""+11""","=""Antimony""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""238.0""","="")""","=""2.5""","=""L8672c99""",
"=""51""","=""Sb XIII""","=""+12""","=""Antimony""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""265""","="")""","=""3""","=""L8672c99""",
"=""51""","=""Sb XIV""","=""+13""","=""Antimony""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""292""","="")""","=""3""","=""L8672c99""",
"=""51""","=""Sb XV""","=""+14""","=""Antimony""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""317""","="")""","=""3""","=""L8672c99""",
"=""51""","=""Sb XVI""","=""+15""","=""Antimony""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""(""","=""420""","="")""","=""3""","=""L8672c99""",
"=""51""","=""Sb XVII""","=""+16""","=""Antimony""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""447""","="")""","=""3""","=""L8672c99""",
"=""51""","=""Sb XVIII""","=""+17""","=""Antimony""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""(""","=""479""","="")""","=""3""","=""L8672c99""",
"=""51""","=""Sb XIX""","=""+18""","=""Antimony""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""(""","=""510""","="")""","=""3""","=""L8672c99""",
"=""51""","=""Sb XX""","=""+19""","=""Antimony""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""552""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XXI""","=""+20""","=""Antimony""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""(""","=""584""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XXII""","=""+21""","=""Antimony""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""(""","=""657""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XXIII""","=""+22""","=""Antimony""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""[""","=""693.26""","=""]""","=""0.24""","=""L10922""",
"=""51""","=""Sb XXIV""","=""+23""","=""Antimony""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""(""","=""1214""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XXV""","=""+24""","=""Antimony""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""1285""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XXVI""","=""+25""","=""Antimony""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""1360""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XXVII""","=""+26""","=""Antimony""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d6 5D<4>""","=""(""","=""1441""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XXVIII""","=""+27""","=""Antimony""","=""Cr""","=""[Ar].3d6""","=""5D<4>""","=""3d5 6S<5/2>""","=""(""","=""1518""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XXIX""","=""+28""","=""Antimony""","=""V""","=""[Ar].3d5""","=""6S<5/2>""","=""3d4 5D<0>""","=""(""","=""1606""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XXX""","=""+29""","=""Antimony""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""1698""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XXXI""","=""+30""","=""Antimony""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""1781""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XXXII""","=""+31""","=""Antimony""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""1869""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XXXIII""","=""+32""","=""Antimony""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""1954""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XXXIV""","=""+33""","=""Antimony""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""(""","=""2190""","="")""","=""5""","=""L8672c99""",
"=""51""","=""Sb XXXV""","=""+34""","=""Antimony""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""(""","=""2266""","="")""","=""5""","=""L8672c99""",
"=""51""","=""Sb XXXVI""","=""+35""","=""Antimony""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 4S*<3/2>""","=""(""","=""2349""","="")""","=""5""","=""L8672c99""",
"=""51""","=""Sb XXXVII""","=""+36""","=""Antimony""","=""P""","=""[Ne].3s2.3p3""","=""4S*<3/2>""","=""3p2 3P<0>""","=""(""","=""2428""","="")""","=""5""","=""L8672c99""",
"=""51""","=""Sb XXXVIII""","=""+37""","=""Antimony""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""(""","=""2567""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XXXIX""","=""+38""","=""Antimony""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""(""","=""2654""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XL""","=""+39""","=""Antimony""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""(""","=""2815""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XLI""","=""+40""","=""Antimony""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""[""","=""2900.0""","=""]""","=""0.5""","=""L10264c99""",
"=""51""","=""Sb XLII""","=""+41""","=""Antimony""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""(""","=""6714""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XLIII""","=""+42""","=""Antimony""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""(""","=""6929""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XLIV""","=""+43""","=""Antimony""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p2<1/2>.2p<3/2> (0,3/2)*<3/2>""","=""(""","=""7167""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XLV""","=""+44""","=""Antimony""","=""N""","=""1s2.2s2.2p3""","=""(0,3/2)*<3/2>""","=""2p2 3P<0>""","=""(""","=""7390""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XLVI""","=""+45""","=""Antimony""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""(""","=""7887""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XLVII""","=""+46""","=""Antimony""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""(""","=""8140""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XLVIII""","=""+47""","=""Antimony""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""(""","=""8455""","="")""","=""4""","=""L8672c99""",
"=""51""","=""Sb XLIX""","=""+48""","=""Antimony""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""8669.48""","="")""","=""0.04""","=""L16264c99""",
"=""51""","=""Sb L""","=""+49""","=""Antimony""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""35710.030""","="")""","=""0.025""","=""L21139""",
"=""51""","=""Sb LI""","=""+50""","=""Antimony""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""36668.183""","="")""","=""0.012""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
     [Kr] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6
     [Cd] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2
(b) Uncertainties of some of the listed values are unknown.
