At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""52""","=""Te I""","=""0""","=""Tellurium""","=""Te""","=""[Cd].5p4""","=""3P<2>""","=""5s2.5p3 4S*<3/2>""","=""""","=""9.009808""","=""""","=""0.000006""","=""L21109""",
"=""52""","=""Te II""","=""+1""","=""Tellurium""","=""Sb""","=""[Cd].5p3""","=""4S*<3/2>""","=""5s2.5p2 3P<0>""","=""""","=""18.6""","=""""","=""0.4""","=""L3546""",
"=""52""","=""Te III""","=""+2""","=""Tellurium""","=""Sn""","=""[Cd].5p2""","=""3P0""","=""5s2.5p 2P<1/2>""","=""""","=""27.84""","=""""","=""0.04""","=""L17749""",
"=""52""","=""Te IV""","=""+3""","=""Tellurium""","=""In""","=""[Cd].5p""","=""2P*<1/2>""","=""5s2 1S<0>""","=""""","=""37.4155""","=""""","=""0.0012""","=""L16261""",
"=""52""","=""Te V""","=""+4""","=""Tellurium""","=""Cd""","=""[Kr].4d10.5s2""","=""1S0""","=""5s 2S<1/2>""","=""""","=""59.3""","=""""","=""0.9""","=""L11821c99""",
"=""52""","=""Te VI""","=""+5""","=""Tellurium""","=""Ag""","=""[Kr].4d10.5s""","=""2S<1/2>""","=""4d10 1S<0>""","=""(""","=""69.1""","="")""","=""2.0""","=""L8672c99""",
"=""52""","=""Te VII""","=""+6""","=""Tellurium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""""","=""124.20""","=""""","=""0.06""","=""L11384""",
"=""52""","=""Te VIII""","=""+7""","=""Tellurium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""143.0""","="")""","=""2.1""","=""L8672c99""",
"=""52""","=""Te IX""","=""+8""","=""Tellurium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""167.0""","="")""","=""2.2""","=""L8672c99""",
"=""52""","=""Te X""","=""+9""","=""Tellurium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""191.1""","="")""","=""2.2""","=""L8672c99""",
"=""52""","=""Te XI""","=""+10""","=""Tellurium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""(""","=""215.0""","="")""","=""2.4""","=""L8672c99""",
