At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""53""","=""I I""","=""0""","=""Iodine""","=""I""","=""[Cd].5p5""","=""2P*<3/2>""","=""5s2.5p4 3P<2>""","=""""","=""10.451236""","=""""","=""0.000025""","=""L13998,L22518""",
"=""53""","=""I II""","=""+1""","=""Iodine""","=""Te""","=""[Cd].5p4""","=""3P<2>""","=""5s2.5p3 4S<3/2>""","=""""","=""19.13126""","=""""","=""0.00012""","=""L7360""",
"=""53""","=""I III""","=""+2""","=""Iodine""","=""Sb""","=""[Cd].5p3""","=""4S*<3/2>""","=""5s2.5p2 3P<0>""","=""""","=""29.570""","=""""","=""0.025""","=""L11993""",
"=""53""","=""I IV""","=""+3""","=""Iodine""","=""Sn""","=""[Cd].5p2""","=""3P0""","=""5s2.5p 2P<1/2>""","=""""","=""40.357""","=""""","=""0.025""","=""L11994""",
"=""53""","=""I V""","=""+4""","=""Iodine""","=""In""","=""[Cd].5p""","=""2P*<1/2>""","=""5s2 1S<0>""","=""""","=""51.52""","=""""","=""0.04""","=""L10105""",
"=""53""","=""I VI""","=""+5""","=""Iodine""","=""Cd""","=""[Kr].4d10.5s2""","=""1S0""","=""5s 2S<1/2>""","=""[""","=""74.4""","=""]""","=""0.4""","=""L10105""",
"=""53""","=""I VII""","=""+6""","=""Iodine""","=""Ag""","=""[Kr].4d10.5s""","=""2S<1/2>""","=""4d10 1S<0>""","=""[""","=""87.61""","=""]""","=""0.06""","=""L5438""",
"=""53""","=""I VIII""","=""+7""","=""Iodine""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""""","=""150.81""","=""""","=""0.10""","=""L11384""",
"=""53""","=""I IX""","=""+8""","=""Iodine""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""171.0""","="")""","=""2.2""","=""L8672c99""",
"=""53""","=""I X""","=""+9""","=""Iodine""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""197.0""","="")""","=""2.2""","=""L8672c99""",
"=""53""","=""I XI""","=""+10""","=""Iodine""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""220.9""","="")""","=""2.4""","=""L8672c99""",
