At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""54""","=""Xe I""","=""0""","=""Xenon""","=""Xe""","=""[Cd].5p6""","=""1S0""","=""5s2.5p5 2P*<3/2>""","=""""","=""12.1298437""","=""""","=""0.0000015""","=""L12013,L9794,L6426""",
"=""54""","=""Xe II""","=""+1""","=""Xenon""","=""I""","=""[Cd].5p5""","=""2P*<3/2>""","=""5s2.5p4 3P<2>""","=""[""","=""20.975""","=""]""","=""0.004""","=""L6925""",
"=""54""","=""Xe III""","=""+2""","=""Xenon""","=""Te""","=""[Cd].5p4""","=""3P<2>""","=""5s2.5p3 4S<3/2>""","=""[""","=""31.05""","=""]""","=""0.04""","=""L4660,L10579""",
"=""54""","=""Xe IV""","=""+3""","=""Xenon""","=""Sb""","=""[Cd].5p3""","=""4S*<3/2>""","=""5s2.5p2 3P<0>""","=""""","=""42.20""","=""""","=""0.20""","=""L8774""",
"=""54""","=""Xe V""","=""+4""","=""Xenon""","=""Sn""","=""[Cd].5p2""","=""3P0""","=""5s2.5p 2P<1/2>""","=""[""","=""54.1""","=""]""","=""0.5""","=""L11121""",
"=""54""","=""Xe VI""","=""+5""","=""Xenon""","=""In""","=""[Cd].5p""","=""2P*<1/2>""","=""5s2 1S<0>""","=""""","=""66.703""","=""""","=""0.007""","=""L11642""",
"=""54""","=""Xe VII""","=""+6""","=""Xenon""","=""Cd""","=""[Kr].4d10.5s2""","=""1S0""","=""5s 2S<1/2>""","=""[""","=""91.6""","=""]""","=""0.5""","=""L6980""",
"=""54""","=""Xe VIII""","=""+7""","=""Xenon""","=""Ag""","=""[Kr].4d10.5s""","=""2S<1/2>""","=""4d10 1S<0>""","=""""","=""105.9778""","=""""","=""0.0025""","=""L9065""",
"=""54""","=""Xe IX""","=""+8""","=""Xenon""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""""","=""179.84""","=""""","=""0.12""","=""L11883""",
"=""54""","=""Xe X""","=""+9""","=""Xenon""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""202.0""","="")""","=""2.2""","=""L8672c99""",
"=""54""","=""Xe XI""","=""+10""","=""Xenon""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""[""","=""229.02""","=""]""","=""0.20""","=""L12003""",
"=""54""","=""Xe XII""","=""+11""","=""Xenon""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""255.0""","="")""","=""2.5""","=""L8672c99""",
"=""54""","=""Xe XIII""","=""+12""","=""Xenon""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""(""","=""281""","="")""","=""3""","=""L8672c99""",
"=""54""","=""Xe XIV""","=""+13""","=""Xenon""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""(""","=""314""","="")""","=""3""","=""L8672c99""",
"=""54""","=""Xe XV""","=""+14""","=""Xenon""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""343""","="")""","=""3""","=""L8672c99""",
"=""54""","=""Xe XVI""","=""+15""","=""Xenon""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""374""","="")""","=""3""","=""L8672c99""",
"=""54""","=""Xe XVII""","=""+16""","=""Xenon""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""404""","="")""","=""3""","=""L8672c99""",
"=""54""","=""Xe XVIII""","=""+17""","=""Xenon""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""434""","="")""","=""3""","=""L8672c99""",
"=""54""","=""Xe XIX""","=""+18""","=""Xenon""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""(""","=""549""","="")""","=""3""","=""L8672c99""",
"=""54""","=""Xe XX""","=""+19""","=""Xenon""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""582""","="")""","=""4""","=""L8672c99""",
