At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""55""","=""Cs I""","=""0""","=""Cesium""","=""Cs""","=""[Xe].6s""","=""2S<1/2>""","=""5s2.5p6 1S<0>""","=""""","=""3.89390572743""","=""""","=""0.00000000017""","=""L19479""",
"=""55""","=""Cs II""","=""+1""","=""Cesium""","=""Xe""","=""[Cd].5p6""","=""1S0""","=""5s2.5p5 2P*<3/2>""","=""""","=""23.15745""","=""""","=""0.00006""","=""L6838""",
"=""55""","=""Cs III""","=""+2""","=""Cesium""","=""I""","=""[Cd].5p5""","=""2P*<3/2>""","=""5s2.5p4 3P<2>""","=""[""","=""33.195""","=""]""","=""0.004""","=""L14869""",
"=""55""","=""Cs IV""","=""+3""","=""Cesium""","=""Te""","=""[Cd].5p4""","=""3P<2>""","=""5s2.5p3 4S*<3/2>""","=""(""","=""43.0""","="")""","=""1.7""","=""L8672c99""",
"=""55""","=""Cs V""","=""+4""","=""Cesium""","=""Sb""","=""[Cd].5p3""","=""4S*<3/2>""","=""5s2.5p2 3P<0>""","=""(""","=""56.0""","="")""","=""1.9""","=""L8672c99""",
"=""55""","=""Cs VI""","=""+5""","=""Cesium""","=""Sn""","=""[Cd].5p2""","=""3P0""","=""5s2.5p 2P*<1/2>""","=""(""","=""69.1""","="")""","=""2.0""","=""L8672c99""",
"=""55""","=""Cs VII""","=""+6""","=""Cesium""","=""In""","=""[Cd].5p""","=""2P*<1/2>""","=""5s2 1S<0>""","=""(""","=""82.9""","="")""","=""2.0""","=""L8672c99""",
"=""55""","=""Cs VIII""","=""+7""","=""Cesium""","=""Cd""","=""[Kr].4d10.5s2""","=""1S0""","=""5s 2S<1/2>""","=""[""","=""110.1""","=""]""","=""0.6""","=""L6980""",
"=""55""","=""Cs IX""","=""+8""","=""Cesium""","=""Ag""","=""[Kr].4d10.5s""","=""2S<1/2>""","=""4d10 1S<0>""","=""[""","=""125.61""","=""]""","=""0.09""","=""L5438""",
"=""55""","=""Cs X""","=""+9""","=""Cesium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""""","=""213.3""","=""""","=""2.5""","=""L11384c99""",
"=""55""","=""Cs XI""","=""+10""","=""Cesium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""233.0""","="")""","=""2.4""","=""L8672c99""",
"=""55""","=""Cs XII""","=""+11""","=""Cesium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""261.0""","="")""","=""2.5""","=""L8672c99""",
"=""55""","=""Cs XIII""","=""+12""","=""Cesium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""289""","="")""","=""3""","=""L8672c99""",
"=""55""","=""Cs XIV""","=""+13""","=""Cesium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""(""","=""316""","="")""","=""3""","=""L8672c99""",
"=""55""","=""Cs XV""","=""+14""","=""Cesium""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""(""","=""352""","="")""","=""3""","=""L8672c99""",
"=""55""","=""Cs XVI""","=""+15""","=""Cesium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""382""","="")""","=""3""","=""L8672c99""",
"=""55""","=""Cs XVII""","=""+16""","=""Cesium""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""413""","="")""","=""3""","=""L8672c99""",
