At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""56""","=""Ba I""","=""0""","=""Barium""","=""Ba""","=""[Xe].6s2""","=""1S0""","=""5s2.5p6.6s 2S<1/2>""","=""""","=""5.2116646""","=""""","=""0.0000012""","=""L6347,L9224""",
"=""56""","=""Ba II""","=""+1""","=""Barium""","=""Cs""","=""[Xe].6s""","=""2S<1/2>""","=""5s2.5p6 1S<0>""","=""""","=""10.003826""","=""""","=""0.000012""","=""L9224""",
"=""56""","=""Ba III""","=""+2""","=""Barium""","=""Xe""","=""[Cd].5p6""","=""1S0""","=""5s2.5p5 2P*<3/2>""","=""""","=""35.8438""","=""""","=""0.0025""","=""L3667""",
"=""56""","=""Ba IV""","=""+3""","=""Barium""","=""I""","=""[Cd].5p5""","=""2P*<3/2>""","=""5s2.5p4 3P<2>""","=""[""","=""47.0""","=""]""","=""0.3""","=""L11023""",
"=""56""","=""Ba V""","=""+4""","=""Barium""","=""Te""","=""[Cd].5p4""","=""3P<2>""","=""5s2.5p3 4S*<3/2>""","=""(""","=""58.0""","="")""","=""1.9""","=""L8672c99""",
"=""56""","=""Ba VI""","=""+5""","=""Barium""","=""Sb""","=""[Cd].5p3""","=""4S*<3/2>""","=""5s2.5p2 3P<0>""","=""(""","=""71.0""","="")""","=""2.0""","=""L8672c99""",
"=""56""","=""Ba VII""","=""+6""","=""Barium""","=""Sn""","=""[Cd].5p2""","=""3P0""","=""5s2.5p 2P*<1/2>""","=""(""","=""86.0""","="")""","=""2.0""","=""L8672c99""",
"=""56""","=""Ba VIII""","=""+7""","=""Barium""","=""In""","=""[Cd].5p""","=""2P*<1/2>""","=""5s2 1S<0>""","=""(""","=""101.0""","="")""","=""2.1""","=""L8672c99""",
"=""56""","=""Ba IX""","=""+8""","=""Barium""","=""Cd""","=""[Kr].4d10.5s2""","=""1S0""","=""5s 2S<1/2>""","=""[""","=""130.5""","=""]""","=""0.6""","=""L6980""",
"=""56""","=""Ba X""","=""+9""","=""Barium""","=""Ag""","=""[Kr].4d10.5s""","=""2S<1/2>""","=""4d10 1S<0>""","=""[""","=""146.52""","=""]""","=""0.12""","=""L5438""",
"=""56""","=""Ba XI""","=""+10""","=""Barium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""(""","=""241.0""","="")""","=""2.4""","=""L8672c99""",
"=""56""","=""Ba XII""","=""+11""","=""Barium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""267.1""","="")""","=""2.5""","=""L8672c99""",
"=""56""","=""Ba XIII""","=""+12""","=""Barium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""296""","="")""","=""3""","=""L8672c99""",
"=""56""","=""Ba XIV""","=""+13""","=""Barium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""325""","="")""","=""3""","=""L8672c99""",
"=""56""","=""Ba XV""","=""+14""","=""Barium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""(""","=""354""","="")""","=""3""","=""L8672c99""",
"=""56""","=""Ba XVI""","=""+15""","=""Barium""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""(""","=""390""","="")""","=""3""","=""L8672c99""",
"=""56""","=""Ba XVII""","=""+16""","=""Barium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""422""","="")""","=""3""","=""L8672c99""",
"=""56""","=""Ba XVIII""","=""+17""","=""Barium""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""455""","="")""","=""3""","=""L8672c99""",
"=""56""","=""Ba XIX""","=""+18""","=""Barium""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""488""","="")""","=""3""","=""L8672c99""",
"=""56""","=""Ba XX""","=""+19""","=""Barium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""520""","="")""","=""4""","=""L8672c99""",
"=""56""","=""Ba XXI""","=""+20""","=""Barium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""(""","=""646""","="")""","=""4""","=""L8672c99""",
"=""56""","=""Ba XXII""","=""+21""","=""Barium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""679""","="")""","=""4""","=""L8672c99""",
"=""56""","=""Ba XXIII""","=""+22""","=""Barium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""(""","=""717""","="")""","=""4""","=""L8672c99""",
"=""56""","=""Ba XXIV""","=""+23""","=""Barium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""(""","=""752""","="")""","=""4""","=""L8672c99""",
"=""56""","=""Ba XXV""","=""+24""","=""Barium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""809""","="")""","=""4""","=""L8672c99""",
"=""56""","=""Ba XXVI""","=""+25""","=""Barium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""(""","=""846""","="")""","=""4""","=""L8672c99""",
"=""56""","=""Ba XXVII""","=""+26""","=""Barium""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""(""","=""935""","="")""","=""4""","=""L8672c99""",
"=""56""","=""Ba XXVIII""","=""+27""","=""Barium""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""[""","=""976.62""","=""]""","=""0.11""","=""L5473""",
"=""56""","=""Ba XXIX""","=""+28""","=""Barium""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""(""","=""1695""","="")""","=""4""","=""L8672c99""",
