At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""57""","=""La I""","=""0""","=""Lanthanum""","=""La""","=""[Xe].5d.6s2""","=""2D<3/2>""","=""5s2.5p6.5d2 3F<2>""","=""""","=""5.5769""","=""""","=""0.0006""","=""L3974,L16228""",
"=""57""","=""La II""","=""+1""","=""Lanthanum""","=""Ba""","=""[Xe].5d2""","=""3F<2>""","=""5s2.5p6.5d 2D<3/2>""","=""""","=""11.18496""","=""""","=""0.00006""","=""L8469""",
"=""57""","=""La III""","=""+2""","=""Lanthanum""","=""Cs""","=""[Xe].5d""","=""2D<3/2>""","=""5s2.5p6 1S<0>""","=""""","=""19.1773""","=""""","=""0.0006""","=""L3974,L3420""",
"=""57""","=""La IV""","=""+3""","=""Lanthanum""","=""Xe""","=""[Cd].5p6""","=""1S0""","=""5s2.5p5 2P*<3/2>""","=""[""","=""49.95""","=""]""","=""0.06""","=""L3974""",
"=""57""","=""La V""","=""+4""","=""Lanthanum""","=""I""","=""[Cd].5p5""","=""2P*<3/2>""","=""5s2.5p4 3P<2>""","=""[""","=""61.6""","=""]""","=""0.6""","=""L3974,L3749""",
"=""57""","=""La VI""","=""+5""","=""Lanthanum""","=""Te""","=""[Cd].5p4""","=""3P<2>""","=""5s2.5p3 4S*<3/2>""","=""(""","=""74.0""","="")""","=""2.0""","=""L8672c99""",
"=""57""","=""La VII""","=""+6""","=""Lanthanum""","=""Sb""","=""[Cd].5p3""","=""4S*<3/2>""","=""5s2.5p2 3P<0>""","=""(""","=""88.0""","="")""","=""2.0""","=""L8672c99""",
"=""57""","=""La VIII""","=""+7""","=""Lanthanum""","=""Sn""","=""[Cd].5p2""","=""3P0""","=""5s2.5p 2P*<1/2>""","=""(""","=""105.0""","="")""","=""2.1""","=""L8672c99""",
"=""57""","=""La IX""","=""+8""","=""Lanthanum""","=""In""","=""[Cd].5p""","=""2P*<1/2>""","=""5s2 1S<0>""","=""(""","=""119.0""","="")""","=""2.2""","=""L8672c99""",
"=""57""","=""La X""","=""+9""","=""Lanthanum""","=""Cd""","=""[Kr].4d10.5s2""","=""1S0""","=""5s 2S<1/2>""","=""[""","=""151.4""","=""]""","=""0.7""","=""L6980""",
"=""57""","=""La XI""","=""+10""","=""Lanthanum""","=""Ag""","=""[Kr].4d10.5s""","=""2S<1/2>""","=""4d10 1S<0>""","=""[""","=""168.77""","=""]""","=""0.12""","=""L5438""",
"=""57""","=""La XII""","=""+11""","=""Lanthanum""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""(""","=""275.0""","="")""","=""2.5""","=""L8672c99""",
"=""57""","=""La XIII""","=""+12""","=""Lanthanum""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""303""","="")""","=""3""","=""L8672c99""",
"=""57""","=""La XIV""","=""+13""","=""Lanthanum""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""332""","="")""","=""3""","=""L8672c99""",
"=""57""","=""La XV""","=""+14""","=""Lanthanum""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""364""","="")""","=""3""","=""L8672c99""",
"=""57""","=""La XVI""","=""+15""","=""Lanthanum""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""(""","=""393""","="")""","=""3""","=""L8672c99""",
"=""57""","=""La XVII""","=""+16""","=""Lanthanum""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""(""","=""431""","="")""","=""3""","=""L8672c99""",
"=""57""","=""La XVIII""","=""+17""","=""Lanthanum""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""464""","="")""","=""3""","=""L8672c99""",
"=""57""","=""La XIX""","=""+18""","=""Lanthanum""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""498""","="")""","=""3""","=""L8672c99""",
"=""57""","=""La XX""","=""+19""","=""Lanthanum""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""533""","="")""","=""4""","=""L8672c99""",
"=""57""","=""La XXI""","=""+20""","=""Lanthanum""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""566""","="")""","=""4""","=""L8672c99""",
"=""57""","=""La XXII""","=""+21""","=""Lanthanum""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""(""","=""696""","="")""","=""4""","=""L8672c99""",
"=""57""","=""La XXIII""","=""+22""","=""Lanthanum""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""731""","="")""","=""4""","=""L8672c99""",
"=""57""","=""La XXIV""","=""+23""","=""Lanthanum""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""(""","=""770""","="")""","=""4""","=""L8672c99""",
"=""57""","=""La XXV""","=""+24""","=""Lanthanum""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""(""","=""806""","="")""","=""4""","=""L8672c99""",
"=""57""","=""La XXVI""","=""+25""","=""Lanthanum""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""865""","="")""","=""4""","=""L8672c99""",
"=""57""","=""La XXVII""","=""+26""","=""Lanthanum""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""(""","=""906""","="")""","=""4""","=""L8672c99""",
"=""57""","=""La XXVIII""","=""+27""","=""Lanthanum""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""(""","=""995""","="")""","=""4""","=""L8672c99""",
"=""57""","=""La XXIX""","=""+28""","=""Lanthanum""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""[""","=""1039.09""","=""]""","=""0.12""","=""L5473""",
"=""57""","=""La XXX""","=""+29""","=""Lanthanum""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""(""","=""1800""","="")""","=""4""","=""L8672c99""",
"=""57""","=""La XXXI""","=""+30""","=""Lanthanum""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""1884""","="")""","=""4""","=""L8672c99""",
"=""57""","=""La XXXII""","=""+31""","=""Lanthanum""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""1974""","="")""","=""4""","=""L8672c99""",
"=""57""","=""La XXXIII""","=""+32""","=""Lanthanum""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d-4.3d+2 (0,4)<4>""","=""(""","=""2069""","="")""","=""4""","=""L8672c99""",
"=""57""","=""La XXXIV""","=""+33""","=""Lanthanum""","=""Cr""","=""[Ar].3d6""","=""(0,4)<4>""","=""3d-4.3d+ (0,5/2)<5/2>""","=""(""","=""2162""","="")""","=""5""","=""L8672c99""",
