At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""58""","=""Ce I""","=""0""","=""Cerium""","=""Ce""","=""[Xe].4f.5d.6s2""","=""1G*<4>""","=""4f.5s2.5p6.5d2 4H*<7/2>""","=""""","=""5.5386""","=""""","=""0.0004""","=""L4277""",
"=""58""","=""Ce II""","=""+1""","=""Cerium""","=""La""","=""[Xe].4f.5d2""","=""4H*<7/2>""","=""4f2.5s2.5p6 3H<4>""","=""[""","=""10.956""","=""]""","=""0.020""","=""L19870c180""",
"=""58""","=""Ce III""","=""+2""","=""Cerium""","=""Ba""","=""[Xe].4f2""","=""3H<4>""","=""4f.5s2.5p6 2F*<5/2>""","=""[""","=""20.1974""","=""]""","=""0.0025""","=""L3974,L3420""",
"=""58""","=""Ce IV""","=""+3""","=""Cerium""","=""Cs""","=""[Xe].4f""","=""2F*<5/2>""","=""5s2.5p6 1S<0>""","=""[""","=""36.906""","=""]""","=""0.009""","=""L14976""",
"=""58""","=""Ce V""","=""+4""","=""Cerium""","=""Xe""","=""[Cd].5p6""","=""1S0""","=""5s2.5p5 2P*<3/2>""","=""[""","=""65.55""","=""]""","=""0.25""","=""L3974""",
"=""58""","=""Ce VI""","=""+5""","=""Cerium""","=""I""","=""[Cd].5p5""","=""2P*<3/2>""","=""5s2.5p4 3P<2>""","=""[""","=""77.6""","=""]""","=""1.2""","=""L3974,L3749""",
"=""58""","=""Ce VII""","=""+6""","=""Cerium""","=""Te""","=""[Cd].5p4""","=""3P<2>""","=""5s2.5p3 4S*<3/2>""","=""(""","=""91.0""","="")""","=""2.0""","=""L8672c99""",
"=""58""","=""Ce VIII""","=""+7""","=""Cerium""","=""Sb""","=""[Cd].5p3""","=""4S*<3/2>""","=""5s2.5p2 3P<0>""","=""(""","=""106.0""","="")""","=""2.1""","=""L8672c99""",
"=""58""","=""Ce IX""","=""+8""","=""Cerium""","=""Sn""","=""[Cd].5p2""","=""3P0""","=""5s2.5p 2P*<1/2>""","=""(""","=""125.0""","="")""","=""2.2""","=""L8672c99""",
"=""58""","=""Ce X""","=""+9""","=""Cerium""","=""In""","=""[Cd].5p""","=""2P*<1/2>""","=""5s2 1S<0>""","=""(""","=""140.0""","="")""","=""2.2""","=""L8672c99""",
"=""58""","=""Ce XI""","=""+10""","=""Cerium""","=""Cd""","=""[Kr].4d10.5s2""","=""1S0""","=""5s 2S<1/2>""","=""(""","=""172.0""","="")""","=""2.4""","=""L8672c99""",
"=""58""","=""Ce XII""","=""+11""","=""Cerium""","=""Ag""","=""[Kr].4d10.5s""","=""2S<1/2>""","=""4d10 1S<0>""","=""[""","=""192.24""","=""]""","=""0.12""","=""L5532""",
"=""58""","=""Ce XIII""","=""+12""","=""Cerium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""(""","=""312""","="")""","=""3""","=""L8672c99""",
"=""58""","=""Ce XIV""","=""+13""","=""Cerium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""340""","="")""","=""3""","=""L8672c99""",
"=""58""","=""Ce XV""","=""+14""","=""Cerium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""371""","="")""","=""3""","=""L8672c99""",
"=""58""","=""Ce XVI""","=""+15""","=""Cerium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""403""","="")""","=""3""","=""L8672c99""",
"=""58""","=""Ce XVII""","=""+16""","=""Cerium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""(""","=""435""","="")""","=""3""","=""L8672c99""",
"=""58""","=""Ce XVIII""","=""+17""","=""Cerium""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""(""","=""472""","="")""","=""3""","=""L8672c99""",
"=""58""","=""Ce XIX""","=""+18""","=""Cerium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""509""","="")""","=""3""","=""L8672c99""",
"=""58""","=""Ce XX""","=""+19""","=""Cerium""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""543""","="")""","=""4""","=""L8672c99""",
"=""58""","=""Ce XXI""","=""+20""","=""Cerium""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""579""","="")""","=""4""","=""L8672c99""",
"=""58""","=""Ce XXII""","=""+21""","=""Cerium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""613""","="")""","=""4""","=""L8672c99""",
"=""58""","=""Ce XXIII""","=""+22""","=""Cerium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""(""","=""749""","="")""","=""4""","=""L8672c99""",
"=""58""","=""Ce XXIV""","=""+23""","=""Cerium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""785""","="")""","=""4""","=""L8672c99""",
"=""58""","=""Ce XXV""","=""+24""","=""Cerium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""(""","=""824""","="")""","=""4""","=""L8672c99""",
"=""58""","=""Ce XXVI""","=""+25""","=""Cerium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""(""","=""862""","="")""","=""4""","=""L8672c99""",
"=""58""","=""Ce XXVII""","=""+26""","=""Cerium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""924""","="")""","=""4""","=""L8672c99""",
"=""58""","=""Ce XXVIII""","=""+27""","=""Cerium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""(""","=""965""","="")""","=""4""","=""L8672c99""",
"=""58""","=""Ce XXIX""","=""+28""","=""Cerium""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""(""","=""1060""","="")""","=""4""","=""L8672c99""",
"=""58""","=""Ce XXX""","=""+29""","=""Cerium""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""[""","=""1103.5""","=""]""","=""0.5""","=""L10278""",
"=""58""","=""Ce XXXI""","=""+30""","=""Cerium""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""(""","=""1908""","="")""","=""4""","=""L8672c99""",
"=""58""","=""Ce XXXII""","=""+31""","=""Cerium""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""1994""","="")""","=""4""","=""L8672c99""",
"=""58""","=""Ce XXXIII""","=""+32""","=""Cerium""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""2087""","="")""","=""4""","=""L8672c99""",
"=""58""","=""Ce XXXIV""","=""+33""","=""Cerium""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d-4.3d+2 (0,4)<4>""","=""(""","=""2185""","="")""","=""5""","=""L8672c99""",
"=""58""","=""Ce XXXV""","=""+34""","=""Cerium""","=""Cr""","=""[Ar].3d6""","=""(0,4)<4>""","=""3d-4.3d+ (0,5/2)<5/2>""","=""(""","=""2280""","="")""","=""5""","=""L8672c99""",
"=""58""","=""Ce XXXVI""","=""+35""","=""Cerium""","=""V""","=""[Ar].3d5""","=""(0,5/2)<5/2>""","=""3d4 5D<0>""","=""(""","=""2378""","="")""","=""5""","=""L8672c99""",
"=""58""","=""Ce XXXVII""","=""+36""","=""Cerium""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""2500""","="")""","=""5""","=""L8672c99""",
