At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""59""","=""Pr I""","=""0""","=""Praseodymium""","=""Pr""","=""[Xe].4f3.6s2""","=""4I*<9/2>""","=""4f3.(4I*).6s (9/2,1/2)*<4>""","=""[""","=""5.4702""","=""]""","=""0.0004""","=""L19006""",
"=""59""","=""Pr II""","=""+1""","=""Praseodymium""","=""Ce""","=""[Xe].4f3.6s""","=""(9/2,1/2)*<4>""","=""4f3.5s2.5p6 4I*<9/2>""","=""[""","=""10.631""","=""]""","=""0.020""","=""L19870c180""",
"=""59""","=""Pr III""","=""+2""","=""Praseodymium""","=""La""","=""[Xe].4f3""","=""4I*<9/2>""","=""4f2.5s2.5p6 3H<4>""","=""""","=""21.6237""","=""""","=""0.0025""","=""L3974,L3420""",
"=""59""","=""Pr IV""","=""+3""","=""Praseodymium""","=""Ba""","=""[Xe].4f2""","=""3H<4>""","=""4f.5s2.5p6 2F*<5/2>""","=""[""","=""38.981""","=""]""","=""0.025""","=""L3974,L3420""",
"=""59""","=""Pr V""","=""+4""","=""Praseodymium""","=""Cs""","=""[Xe].4f""","=""2F*<5/2>""","=""5s2.5p6 1S<0>""","=""[""","=""57.53""","=""]""","=""0.05""","=""L3974,L4095""",
"=""59""","=""Pr VI""","=""+5""","=""Praseodymium""","=""Xe""","=""[Cd].5p6""","=""1S0""","=""4f.5s2.5p4*""","=""(""","=""82""","="")""","=""4""","=""L582""",
"=""59""","=""Pr VII""","=""+6""","=""Praseodymium""","=""I""","=""[Cd].4f.5p4""","=""*""","=""4f.5s2.5p3""","=""(""","=""97""","="")""","=""5""","=""L582""",
"=""59""","=""Pr VIII""","=""+7""","=""Praseodymium""","=""Te""","=""[Cd].4f.5p3""","=""""","=""4f.5s2.5p2*""","=""(""","=""112""","="")""","=""6""","=""L582""",
"=""59""","=""Pr IX""","=""+8""","=""Praseodymium""","=""Sb""","=""[Cd].4f.5p2""","=""*""","=""5s2.5p2 3P<0>""","=""(""","=""131""","="")""","=""7""","=""L582""",
"=""59""","=""Pr X""","=""+9""","=""Praseodymium""","=""Sn""","=""[Cd].5p2""","=""3P0""","=""5s2.5p 2P*<1/2>""","=""(""","=""148""","="")""","=""7""","=""L582""",
"=""59""","=""Pr XI""","=""+10""","=""Praseodymium""","=""In""","=""[Cd].5p""","=""2P*<1/2>""","=""5s2 1S<0>""","=""(""","=""162.0""","="")""","=""2.4""","=""L8672c99""",
"=""59""","=""Pr XII""","=""+11""","=""Praseodymium""","=""Cd""","=""[Kr].4d10.5s2""","=""1S0""","=""5s 2S<1/2>""","=""(""","=""196.0""","="")""","=""2.5""","=""L8672c99""",
"=""59""","=""Pr XIII""","=""+12""","=""Praseodymium""","=""Ag""","=""[Kr].4d10.5s""","=""2S<1/2>""","=""4d10 1S<0>""","=""[""","=""217.02""","=""]""","=""0.12""","=""L5532""",
"=""59""","=""Pr XIV""","=""+13""","=""Praseodymium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""(""","=""350""","="")""","=""3""","=""L8672c99""",
"=""59""","=""Pr XV""","=""+14""","=""Praseodymium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""378""","="")""","=""3""","=""L8672c99""",
"=""59""","=""Pr XVI""","=""+15""","=""Praseodymium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""412""","="")""","=""3""","=""L8672c99""",
"=""59""","=""Pr XVII""","=""+16""","=""Praseodymium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""445""","="")""","=""3""","=""L8672c99""",
"=""59""","=""Pr XVIII""","=""+17""","=""Praseodymium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""(""","=""478""","="")""","=""3""","=""L8672c99""",
"=""59""","=""Pr XIX""","=""+18""","=""Praseodymium""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""(""","=""516""","="")""","=""3""","=""L8672c99""",
"=""59""","=""Pr XX""","=""+19""","=""Praseodymium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""554""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XXI""","=""+20""","=""Praseodymium""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""590""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XXII""","=""+21""","=""Praseodymium""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""627""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XXIII""","=""+22""","=""Praseodymium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""663""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XXIV""","=""+23""","=""Praseodymium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""(""","=""803""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XXV""","=""+24""","=""Praseodymium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""840""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XXVI""","=""+25""","=""Praseodymium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""(""","=""880""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XXVII""","=""+26""","=""Praseodymium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""(""","=""920""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XXVIII""","=""+27""","=""Praseodymium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""985""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XXIX""","=""+28""","=""Praseodymium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""(""","=""1028""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XXX""","=""+29""","=""Praseodymium""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""(""","=""1124""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XXXI""","=""+30""","=""Praseodymium""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""[""","=""1169.9""","=""]""","=""0.6""","=""L10278""",
"=""59""","=""Pr XXXII""","=""+31""","=""Praseodymium""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""(""","=""2019""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XXXIII""","=""+32""","=""Praseodymium""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""2108""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XXXIV""","=""+33""","=""Praseodymium""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""2202""","="")""","=""5""","=""L8672c99""",
"=""59""","=""Pr XXXV""","=""+34""","=""Praseodymium""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d-4.3d+2 (0,4)<4>""","=""(""","=""2304""","="")""","=""5""","=""L8672c99""",
"=""59""","=""Pr XXXVI""","=""+35""","=""Praseodymium""","=""Cr""","=""[Ar].3d6""","=""(0,4)<4>""","=""3d-4.3d+ (0,5/2)<5/2>""","=""(""","=""2400""","="")""","=""5""","=""L8672c99""",
"=""59""","=""Pr XXXVII""","=""+36""","=""Praseodymium""","=""V""","=""[Ar].3d5""","=""(0,5/2)<5/2>""","=""3d4 5D<0>""","=""(""","=""2501""","="")""","=""5""","=""L8672c99""",
"=""59""","=""Pr XXXVIII""","=""+37""","=""Praseodymium""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""2628""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XXXIX""","=""+38""","=""Praseodymium""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""2729""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XL""","=""+39""","=""Praseodymium""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""2838""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XLI""","=""+40""","=""Praseodymium""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""2941""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XLII""","=""+41""","=""Praseodymium""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""(""","=""3227""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XLIII""","=""+42""","=""Praseodymium""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""(""","=""3319""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XLIV""","=""+43""","=""Praseodymium""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 2P*<3/2>""","=""(""","=""3419""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XLV""","=""+44""","=""Praseodymium""","=""P""","=""[Ne].3s2.3p3""","=""2P*<3/2>""","=""3p2 3P<0>""","=""(""","=""3512""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XLVI""","=""+45""","=""Praseodymium""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""(""","=""3729""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XLVII""","=""+46""","=""Praseodymium""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""(""","=""3832""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XLVIII""","=""+47""","=""Praseodymium""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""(""","=""4030""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr XLIX""","=""+48""","=""Praseodymium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""(""","=""4130""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr L""","=""+49""","=""Praseodymium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""(""","=""9378""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr LI""","=""+50""","=""Praseodymium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""(""","=""9632""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr LII""","=""+51""","=""Praseodymium""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p2<1/2>.2p<3/2> (0,3/2)*<3/2>""","=""(""","=""9913""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr LIII""","=""+52""","=""Praseodymium""","=""N""","=""1s2.2s2.2p3""","=""(0,3/2)*<3/2>""","=""2p2 3P<0>""","=""(""","=""10175""","="")""","=""4""","=""L8672c99""",
"=""59""","=""Pr LIV""","=""+53""","=""Praseodymium""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""(""","=""10959""","="")""","=""5""","=""L8672c99""",
"=""59""","=""Pr LV""","=""+54""","=""Praseodymium""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""(""","=""11262""","="")""","=""5""","=""L8672c99""",
"=""59""","=""Pr LVI""","=""+55""","=""Praseodymium""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""(""","=""11641""","="")""","=""5""","=""L8672c99""",
"=""59""","=""Pr LVII""","=""+56""","=""Praseodymium""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""11895.89""","="")""","=""0.06""","=""L16264c99""",
"=""59""","=""Pr LVIII""","=""+57""","=""Praseodymium""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""48571.71""","="")""","=""0.05""","=""L21139""",
"=""59""","=""Pr LIX""","=""+58""","=""Praseodymium""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""49722.44""","="")""","=""0.04""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
     [Kr] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6
     [Cd] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2
     [Xe] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2.5p6
