At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""60""","=""Nd I""","=""0""","=""Neodymium""","=""Nd""","=""[Xe].4f4.6s2""","=""5I<4>""","=""4f4.5s2.5p6.6s 6I*<7/2>""","=""""","=""5.52475""","=""""","=""0.00005""","=""L23155""",
"=""60""","=""Nd II""","=""+1""","=""Neodymium""","=""Pr""","=""[Xe].4f4.6s""","=""6I<7/2>""","=""4f4.5s2.5p6 5I<4>""","=""[""","=""10.783""","=""]""","=""0.020""","=""L19870c180""",
"=""60""","=""Nd III""","=""+2""","=""Neodymium""","=""Ce""","=""[Xe].4f4""","=""5I<4>""","=""4f3.5s2.5p6 4I*<9/2>""","=""[""","=""22.09""","=""]""","=""0.04""","=""L19883c180""",
"=""60""","=""Nd IV""","=""+3""","=""Neodymium""","=""La""","=""[Xe].4f3""","=""4I*<9/2>""","=""4f2.5s2.5p6 3H<4>""","=""[""","=""40.60""","=""]""","=""0.04""","=""L19883c180""",
"=""60""","=""Nd V""","=""+4""","=""Neodymium""","=""Ba""","=""[Xe].4f2""","=""3H<4>""","=""4f2.5s2.5p5*""","=""[""","=""60.0""","=""]""","=""0.3""","=""L4095""",
"=""60""","=""Nd VI""","=""+5""","=""Neodymium""","=""Cs""","=""[Cd].4f2.5p5""","=""*""","=""4f2.5s2.5p4""","=""(""","=""84""","="")""","=""4""","=""L582""",
"=""60""","=""Nd VII""","=""+6""","=""Neodymium""","=""Xe""","=""[Cd].4f2.5p4""","=""""","=""4f2.5s2.5p3*""","=""(""","=""99""","="")""","=""5""","=""L582""",
"=""60""","=""Nd VIII""","=""+7""","=""Neodymium""","=""I""","=""[Cd].4f2.5p3""","=""*""","=""4f2.5s2.5p2""","=""(""","=""114""","="")""","=""6""","=""L582""",
"=""60""","=""Nd IX""","=""+8""","=""Neodymium""","=""Te""","=""[Cd].4f2.5p2""","=""""","=""4f2.5s2.5p*""","=""(""","=""136""","="")""","=""7""","=""L582""",
"=""60""","=""Nd X""","=""+9""","=""Neodymium""","=""Sb""","=""[Cd].4f2.5p""","=""*""","=""5s2.4f2""","=""(""","=""152""","="")""","=""8""","=""L582""",
"=""60""","=""Nd XI""","=""+10""","=""Neodymium""","=""Sn""","=""[Cd].4f2""","=""""","=""5s2.4f 2F*<5/2>""","=""(""","=""168""","="")""","=""8""","=""L582""",
"=""60""","=""Nd XII""","=""+11""","=""Neodymium""","=""In""","=""[Cd].4f""","=""2F*<5/2>""","=""5s2 1S<0>""","=""(""","=""195""","="")""","=""10""","=""L582""",
"=""60""","=""Nd XIII""","=""+12""","=""Neodymium""","=""Cd""","=""[Kr].4d10.5s2""","=""1S0""","=""5s 2S<1/2>""","=""(""","=""221""","="")""","=""3""","=""L8672c99""",
"=""60""","=""Nd XIV""","=""+13""","=""Neodymium""","=""Ag""","=""[Kr].4d10.5s""","=""2S<1/2>""","=""4d10 1S<0>""","=""[""","=""243.00""","=""]""","=""0.20""","=""L5532""",
"=""60""","=""Nd XV""","=""+14""","=""Neodymium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""(""","=""389""","="")""","=""3""","=""L8672c99""",
"=""60""","=""Nd XVI""","=""+15""","=""Neodymium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""420""","="")""","=""3""","=""L8672c99""",
"=""60""","=""Nd XVII""","=""+16""","=""Neodymium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""453""","="")""","=""3""","=""L8672c99""",
"=""60""","=""Nd XVIII""","=""+17""","=""Neodymium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""489""","="")""","=""3""","=""L8672c99""",
"=""60""","=""Nd XIX""","=""+18""","=""Neodymium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""(""","=""522""","="")""","=""3""","=""L8672c99""",
"=""60""","=""Nd XX""","=""+19""","=""Neodymium""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""(""","=""562""","="")""","=""4""","=""L8672c99""",
