At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""61""","=""Pm I""","=""0""","=""Promethium""","=""Pm""","=""[Xe].4f5.6s2""","=""6H*<5/2>""","=""4f5.5s2.5p6.6s 7H*<2>""","=""""","=""5.58187""","=""""","=""0.00004""","=""L20992""",
"=""61""","=""Pm II""","=""+1""","=""Promethium""","=""Nd""","=""[Xe].4f5.6s""","=""7H*<2>""","=""4f5.5s2.5p6 6H*<5/2>""","=""[""","=""10.938""","=""]""","=""0.020""","=""L19870c180""",
"=""61""","=""Pm III""","=""+2""","=""Promethium""","=""Pr""","=""[Xe].4f5""","=""6H*<5/2>""","=""4f4.5s2.5p6 5I<4>""","=""[""","=""22.44""","=""]""","=""0.08""","=""L19883c180""",
"=""61""","=""Pm IV""","=""+3""","=""Promethium""","=""Ce""","=""[Xe].4f4""","=""5I<4>""","=""4f3.5s2.5p6 4I*<9/2>""","=""[""","=""41.17""","=""]""","=""0.09""","=""L19883c180""",
"=""61""","=""Pm V""","=""+4""","=""Promethium""","=""La""","=""[Xe].4f3""","=""4I*<9/2>""","=""4f3.5s2.5p5""","=""[""","=""61.7""","=""]""","=""0.3""","=""L4095""",
"=""61""","=""Pm VI""","=""+5""","=""Promethium""","=""Ba""","=""[Cd].4f3.5p5""","=""""","=""4f3.5s2.5p4*""","=""(""","=""85""","="")""","=""4""","=""L582""",
"=""61""","=""Pm VII""","=""+6""","=""Promethium""","=""Cs""","=""[Cd].4f3.5p4""","=""*""","=""4f3.5s2.5p3""","=""(""","=""101""","="")""","=""5""","=""L582""",
"=""61""","=""Pm VIII""","=""+7""","=""Promethium""","=""Xe""","=""[Cd].4f3.5p3""","=""""","=""4f3.5s2.5p2*""","=""(""","=""116""","="")""","=""6""","=""L582""",
"=""61""","=""Pm IX""","=""+8""","=""Promethium""","=""I""","=""[Cd].4f3.5p2""","=""*""","=""4f3.5s2.5p""","=""(""","=""138""","="")""","=""7""","=""L582""",
"=""61""","=""Pm X""","=""+9""","=""Promethium""","=""Te""","=""[Cd].4f3.5p""","=""""","=""4f3.5s2*""","=""(""","=""155""","="")""","=""8""","=""L582""",
"=""61""","=""Pm XI""","=""+10""","=""Promethium""","=""Sb""","=""[Cd].4f3""","=""*""","=""5s2.4f2""","=""(""","=""174""","="")""","=""9""","=""L582""",
"=""61""","=""Pm XII""","=""+11""","=""Promethium""","=""Sn""","=""[Cd].4f2""","=""""","=""5s2.4f 2F*<5/2>""","=""(""","=""202""","="")""","=""10""","=""L582""",
"=""61""","=""Pm XIII""","=""+12""","=""Promethium""","=""In""","=""[Cd].4f""","=""2F*<5/2>""","=""5s2 1S<0>""","=""(""","=""229""","="")""","=""11""","=""L582""",
"=""61""","=""Pm XIV""","=""+13""","=""Promethium""","=""Cd""","=""[Kr].4d10.5s2""","=""1S0""","=""5s 2S<1/2>""","=""(""","=""248""","="")""","=""3""","=""L8672c99""",
"=""61""","=""Pm XV""","=""+14""","=""Promethium""","=""Ag""","=""[Kr].4d10.5s""","=""2S<1/2>""","=""4d10 1S<0>""","=""(""","=""269""","="")""","=""3""","=""L8672c99""",
"=""61""","=""Pm XVI""","=""+15""","=""Promethium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""(""","=""430""","="")""","=""3""","=""L8672c99""",
"=""61""","=""Pm XVII""","=""+16""","=""Promethium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""462""","="")""","=""3""","=""L8672c99""",
"=""61""","=""Pm XVIII""","=""+17""","=""Promethium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""497""","="")""","=""3""","=""L8672c99""",
"=""61""","=""Pm XIX""","=""+18""","=""Promethium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""534""","="")""","=""3""","=""L8672c99""",
"=""61""","=""Pm XX""","=""+19""","=""Promethium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""(""","=""569""","="")""","=""4""","=""L8672c99""",
"=""61""","=""Pm XXI""","=""+20""","=""Promethium""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""(""","=""609""","="")""","=""4""","=""L8672c99""",
"=""61""","=""Pm XXII""","=""+21""","=""Promethium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""651""","="")""","=""4""","=""L8672c99""",
"=""61""","=""Pm XXIII""","=""+22""","=""Promethium""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""689""","="")""","=""4""","=""L8672c99""",
"=""61""","=""Pm XXIV""","=""+23""","=""Promethium""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""730""","="")""","=""4""","=""L8672c99""",
"=""61""","=""Pm XXV""","=""+24""","=""Promethium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""767""","="")""","=""4""","=""L8672c99""",
"=""61""","=""Pm XXVI""","=""+25""","=""Promethium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""(""","=""916""","="")""","=""4""","=""L8672c99""",
"=""61""","=""Pm XXVII""","=""+26""","=""Promethium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""956""","="")""","=""4""","=""L8672c99""",
"=""61""","=""Pm XXVIII""","=""+27""","=""Promethium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""(""","=""998""","="")""","=""4""","=""L8672c99""",
"=""61""","=""Pm XXIX""","=""+28""","=""Promethium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""(""","=""1040""","="")""","=""4""","=""L8672c99""",
"=""61""","=""Pm XXX""","=""+29""","=""Promethium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""1113""","="")""","=""4""","=""L8672c99""",
