At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""62""","=""Sm I""","=""0""","=""Samarium""","=""Sm""","=""[Xe].4f6.6s2""","=""7F0""","=""4f6.5s2.5p6.6s 8F<1/2>""","=""""","=""5.643722""","=""""","=""0.000021""","=""L21624""",
"=""62""","=""Sm II""","=""+1""","=""Samarium""","=""Pm""","=""[Xe].4f6.6s""","=""8F<1/2>""","=""4f6.5s2.5p6 7F<0>""","=""[""","=""11.078""","=""]""","=""0.020""","=""L19870c180""",
"=""62""","=""Sm III""","=""+2""","=""Samarium""","=""Nd""","=""[Xe].4f6""","=""7F0""","=""4f5.5s2.5p6 6H*<5/2>""","=""[""","=""23.55""","=""]""","=""0.08""","=""L19883c180""",
"=""62""","=""Sm IV""","=""+3""","=""Samarium""","=""Pr""","=""[Xe].4f5""","=""6H*<5/2>""","=""4f4.5s2.5p6 5I<4>""","=""[""","=""41.64""","=""]""","=""0.11""","=""L19883c180""",
"=""62""","=""Sm V""","=""+4""","=""Samarium""","=""Ce""","=""[Xe].4f4""","=""5I<4>""","=""4f3.5s2.5p6 4I*<9/2>""","=""[""","=""62.7""","=""]""","=""0.4""","=""L4095""",
"=""62""","=""Sm VI""","=""+5""","=""Samarium""","=""La""","=""[Xe].4f3""","=""4I*<9/2>""","=""4f4.5s2.5p4""","=""(""","=""87""","="")""","=""4""","=""L582""",
"=""62""","=""Sm VII""","=""+6""","=""Samarium""","=""Ba""","=""[Cd].4f4.5p4""","=""""","=""4f4.5s2.5p3*""","=""(""","=""103""","="")""","=""5""","=""L582""",
"=""62""","=""Sm VIII""","=""+7""","=""Samarium""","=""Cs""","=""[Cd].4f4.5p3""","=""*""","=""4f4.5s2.5p2""","=""(""","=""118""","="")""","=""6""","=""L582""",
"=""62""","=""Sm IX""","=""+8""","=""Samarium""","=""Xe""","=""[Cd].4f4.5p2""","=""""","=""4f4.5s2.5p*""","=""(""","=""141""","="")""","=""7""","=""L582""",
"=""62""","=""Sm X""","=""+9""","=""Samarium""","=""I""","=""[Cd].4f4.5p""","=""*""","=""4f4.5s2""","=""(""","=""158""","="")""","=""8""","=""L582""",
"=""62""","=""Sm XI""","=""+10""","=""Samarium""","=""Te""","=""[Cd].4f4""","=""""","=""4f3.5s2*""","=""(""","=""179""","="")""","=""9""","=""L582""",
"=""62""","=""Sm XII""","=""+11""","=""Samarium""","=""Sb""","=""[Cd].4f3""","=""*""","=""5s2.4f2""","=""(""","=""208""","="")""","=""10""","=""L582""",
"=""62""","=""Sm XIII""","=""+12""","=""Samarium""","=""Sn""","=""[Cd].4f2""","=""""","=""5s2.4f 2F*<5/2>""","=""(""","=""237""","="")""","=""12""","=""L582""",
