At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""63""","=""Eu I""","=""0""","=""Europium""","=""Eu""","=""[Xe].4f7.6s2""","=""8S*<7/2>""","=""4f7.5p6.6s 9S*<4>""","=""""","=""5.670385""","=""""","=""0.000005""","=""L13382""",
"=""63""","=""Eu II""","=""+1""","=""Europium""","=""Sm""","=""[Xe].4f7.6s""","=""9S*<4>""","=""4f7.5s2.5p6 8S*<7/2>""","=""[""","=""11.240""","=""]""","=""0.006""","=""L19870""",
"=""63""","=""Eu III""","=""+2""","=""Europium""","=""Pm""","=""[Xe].4f7""","=""8S*<7/2>""","=""4f6.5s2.5p6 7F<0>""","=""[""","=""24.84""","=""]""","=""0.03""","=""L19883c180""",
"=""63""","=""Eu IV""","=""+3""","=""Europium""","=""Nd""","=""[Xe].4f6""","=""7F0""","=""4f5.5s2.5p6 6H*<5/2>""","=""[""","=""42.94""","=""]""","=""0.11""","=""L19883c180""",
"=""63""","=""Eu V""","=""+4""","=""Europium""","=""Pr""","=""[Xe].4f5""","=""6H*<5/2>""","=""4f5.5s2.5p5""","=""[""","=""63.2""","=""]""","=""0.4""","=""L4095""",
"=""63""","=""Eu VI""","=""+5""","=""Europium""","=""Ce""","=""[Cd].4f5.5p5""","=""""","=""4f5.5s2.5p4*""","=""(""","=""89""","="")""","=""4""","=""L582""",
"=""63""","=""Eu VII""","=""+6""","=""Europium""","=""La""","=""[Cd].4f5.5p4""","=""*""","=""4f5.5s2.5p3""","=""(""","=""105""","="")""","=""5""","=""L582""",
"=""63""","=""Eu VIII""","=""+7""","=""Europium""","=""Ba""","=""[Cd].4f5.5p3""","=""""","=""4f5.5s2.5p2*""","=""(""","=""120""","="")""","=""6""","=""L582""",
"=""63""","=""Eu IX""","=""+8""","=""Europium""","=""Cs""","=""[Cd].4f5.5p2""","=""*""","=""4f5.5s2.5p""","=""(""","=""144""","="")""","=""7""","=""L582""",
"=""63""","=""Eu X""","=""+9""","=""Europium""","=""Xe""","=""[Cd].4f5.5p""","=""""","=""4f5.5s2*""","=""(""","=""161""","="")""","=""8""","=""L582""",
"=""63""","=""Eu XI""","=""+10""","=""Europium""","=""I""","=""[Cd].4f5""","=""*""","=""4f4.5s2""","=""(""","=""183""","="")""","=""9""","=""L582""",
"=""63""","=""Eu XII""","=""+11""","=""Europium""","=""Te""","=""[Cd].4f4""","=""""","=""4f3.5s2*""","=""(""","=""213""","="")""","=""11""","=""L582""",
"=""63""","=""Eu XIII""","=""+12""","=""Europium""","=""Sb""","=""[Cd].4f3""","=""*""","=""5s2.4f2""","=""(""","=""243""","="")""","=""12""","=""L582""",
"=""63""","=""Eu XIV""","=""+13""","=""Europium""","=""Sn""","=""[Cd].4f2""","=""""","=""4f2.(3H).5s 4H<7/2>""","=""(""","=""263""","="")""","=""14""","=""L582""",
"=""63""","=""Eu XV""","=""+14""","=""Europium""","=""In""","=""[Kr].4d10.4f2.5s""","=""4H<7/2>""","=""4f2 3H<4>""","=""(""","=""281""","="")""","=""14""","=""L582""",
"=""63""","=""Eu XVI""","=""+15""","=""Europium""","=""Cd""","=""[Kr].4d10.4f2""","=""3H<4>""","=""4f 2F*<5/2>""","=""(""","=""311""","="")""","=""16""","=""L582""",
"=""63""","=""Eu XVII""","=""+16""","=""Europium""","=""Ag""","=""[Kr].4d10.4f""","=""2F*<5/2>""","=""4d10 1S<0>""","=""[""","=""344.4""","=""]""","=""0.5""","=""L5532""",
"=""63""","=""Eu XVIII""","=""+17""","=""Europium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""(""","=""518""","="")""","=""3""","=""L8672c99""",
"=""63""","=""Eu XIX""","=""+18""","=""Europium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""553""","="")""","=""3""","=""L8672c99""",
"=""63""","=""Eu XX""","=""+19""","=""Europium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""590""","="")""","=""4""","=""L8672c99""",
"=""63""","=""Eu XXI""","=""+20""","=""Europium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""630""","="")""","=""4""","=""L8672c99""",
"=""63""","=""Eu XXII""","=""+21""","=""Europium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""(""","=""667""","="")""","=""4""","=""L8672c99""",
"=""63""","=""Eu XXIII""","=""+22""","=""Europium""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""(""","=""709""","="")""","=""4""","=""L8672c99""",
"=""63""","=""Eu XXIV""","=""+23""","=""Europium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""755""","="")""","=""4""","=""L8672c99""",
"=""63""","=""Eu XXV""","=""+24""","=""Europium""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""795""","="")""","=""4""","=""L8672c99""",
"=""63""","=""Eu XXVI""","=""+25""","=""Europium""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""838""","="")""","=""4""","=""L8672c99""",
"=""63""","=""Eu XXVII""","=""+26""","=""Europium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""879""","="")""","=""4""","=""L8672c99""",
"=""63""","=""Eu XXVIII""","=""+27""","=""Europium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""(""","=""1037""","="")""","=""4""","=""L8672c99""",
"=""63""","=""Eu XXIX""","=""+28""","=""Europium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""1078""","="")""","=""4""","=""L8672c99""",
"=""63""","=""Eu XXX""","=""+29""","=""Europium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""(""","=""1124""","="")""","=""4""","=""L8672c99""",
"=""63""","=""Eu XXXI""","=""+30""","=""Europium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""(""","=""1167""","="")""","=""4""","=""L8672c99""",
"=""63""","=""Eu XXXII""","=""+31""","=""Europium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""1249""","="")""","=""4""","=""L8672c99""",
"=""63""","=""Eu XXXIII""","=""+32""","=""Europium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""(""","=""1296""","="")""","=""4""","=""L8672c99""",
"=""63""","=""Eu XXXIV""","=""+33""","=""Europium""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""(""","=""1406""","="")""","=""5""","=""L8672c99""",
"=""63""","=""Eu XXXV""","=""+34""","=""Europium""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""[""","=""1456.06""","=""]""","=""0.25""","=""L10191""",
"=""63""","=""Eu XXXVI""","=""+35""","=""Europium""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""(""","=""2495""","="")""","=""5""","=""L8672c99""",
"=""63""","=""Eu XXXVII""","=""+36""","=""Europium""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""2591""","="")""","=""5""","=""L8672c99""",
"=""63""","=""Eu XXXVIII""","=""+37""","=""Europium""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""2697""","="")""","=""4""","=""L8672c99""",
"=""63""","=""Eu XXXIX""","=""+38""","=""Europium""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d-4.3d+2 (0,4)<4>""","=""(""","=""2807""","="")""","=""4""","=""L8672c99""",
"=""63""","=""Eu XL""","=""+39""","=""Europium""","=""Cr""","=""[Ar].3d6""","=""(0,4)<4>""","=""3d-4.3d+ (0,5/2)<5/2>""","=""(""","=""2914""","="")""","=""4""","=""L8672c99""",
