At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""64""","=""Gd I""","=""0""","=""Gadolinium""","=""Gd""","=""[Xe].4f7.5d.6s2""","=""9D*<2>""","=""4f7.5d.6s 10D*<5/2>""","=""""","=""6.14980""","=""""","=""0.00004""","=""L11798""",
"=""64""","=""Gd II""","=""+1""","=""Gadolinium""","=""Eu""","=""[Xe].4f7.5d.6s""","=""10D*<5/2>""","=""4f7.5p6.5d 9D*<2>""","=""[""","=""12.076""","=""]""","=""0.020""","=""L19870c180""",
"=""64""","=""Gd III""","=""+2""","=""Gadolinium""","=""Sm""","=""[Xe].4f7.5d""","=""9D*<2>""","=""4f7.5s2.5p6 8S*<7/2>""","=""[""","=""20.54""","=""]""","=""0.03""","=""L19883c180""",
"=""64""","=""Gd IV""","=""+3""","=""Gadolinium""","=""Pm""","=""[Xe].4f7""","=""8S*<7/2>""","=""4f6.5s2.5p6 7F<0>""","=""[""","=""44.44""","=""]""","=""0.08""","=""L19883c180""",
"=""64""","=""Gd V""","=""+4""","=""Gadolinium""","=""Nd""","=""[Xe].4f6""","=""7F0""","=""4f6.5s2.5p5*""","=""[""","=""64.8""","=""]""","=""0.4""","=""L4095""",
"=""64""","=""Gd VI""","=""+5""","=""Gadolinium""","=""Pr""","=""[Cd].4f6.5p5""","=""*""","=""4f6.5s2.5p4""","=""(""","=""89""","="")""","=""4""","=""L582""",
"=""64""","=""Gd VII""","=""+6""","=""Gadolinium""","=""Ce""","=""[Cd].4f6.5p4""","=""""","=""4f6.5s2.5p3*""","=""(""","=""106""","="")""","=""5""","=""L582""",
"=""64""","=""Gd VIII""","=""+7""","=""Gadolinium""","=""La""","=""[Cd].4f6.5p3""","=""*""","=""4f6.5s2.5p2""","=""(""","=""123""","="")""","=""6""","=""L582""",
"=""64""","=""Gd IX""","=""+8""","=""Gadolinium""","=""Ba""","=""[Cd].4f6.5p2""","=""""","=""4f5.5s2.5p2*""","=""(""","=""144""","="")""","=""7""","=""L582""",
"=""64""","=""Gd X""","=""+9""","=""Gadolinium""","=""Cs""","=""[Cd].4f5.5p2""","=""*""","=""4f5.5s2.5p""","=""(""","=""165""","="")""","=""8""","=""L582""",
"=""64""","=""Gd XI""","=""+10""","=""Gadolinium""","=""Xe""","=""[Cd].4f5.5p""","=""""","=""4f5.5s2*""","=""(""","=""183""","="")""","=""9""","=""L582""",
"=""64""","=""Gd XII""","=""+11""","=""Gadolinium""","=""I""","=""[Cd].4f5""","=""*""","=""4f4.5s2""","=""(""","=""213""","="")""","=""11""","=""L582""",
"=""64""","=""Gd XIII""","=""+12""","=""Gadolinium""","=""Te""","=""[Cd].4f4""","=""""","=""4f5 6H*<5/2>""","=""(""","=""246""","="")""","=""12""","=""L582""",
"=""64""","=""Gd XIV""","=""+13""","=""Gadolinium""","=""Sb""","=""[Kr].4d10.4f5""","=""6H*<5/2>""","=""5s2.4f2""","=""(""","=""268""","="")""","=""14""","=""L582""",
"=""64""","=""Gd XV""","=""+14""","=""Gadolinium""","=""Sn""","=""[Cd].4f2""","=""""","=""4f3 4I*<9/2>""","=""(""","=""288""","="")""","=""15""","=""L582""",
"=""64""","=""Gd XVI""","=""+15""","=""Gadolinium""","=""In""","=""[Kr].4d10.4f3""","=""4I*<9/2>""","=""4f2 3H<4>""","=""(""","=""319""","="")""","=""16""","=""L582""",
"=""64""","=""Gd XVII""","=""+16""","=""Gadolinium""","=""Cd""","=""[Kr].4d10.4f2""","=""3H<4>""","=""4f 2F*<5/2>""","=""(""","=""352""","="")""","=""17""","=""L582""",
"=""64""","=""Gd XVIII""","=""+17""","=""Gadolinium""","=""Ag""","=""[Kr].4d10.4f""","=""2F*<5/2>""","=""4d10 1S<0>""","=""(""","=""384.4""","="")""","=""2.5""","=""L582c99""",
"=""64""","=""Gd XIX""","=""+18""","=""Gadolinium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""(""","=""565""","="")""","=""3""","=""L8672c99""",
"=""64""","=""Gd XX""","=""+19""","=""Gadolinium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""601""","="")""","=""4""","=""L8672c99""",
"=""64""","=""Gd XXI""","=""+20""","=""Gadolinium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""639""","="")""","=""4""","=""L8672c99""",
"=""64""","=""Gd XXII""","=""+21""","=""Gadolinium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""680""","="")""","=""4""","=""L8672c99""",
"=""64""","=""Gd XXIII""","=""+22""","=""Gadolinium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""(""","=""719""","="")""","=""4""","=""L8672c99""",
"=""64""","=""Gd XXIV""","=""+23""","=""Gadolinium""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""(""","=""761""","="")""","=""4""","=""L8672c99""",
