At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""65""","=""Tb I""","=""0""","=""Terbium""","=""Tb""","=""[Xe].4f9.6s2""","=""6H*<15/2>""","=""4f9.(6H*).5p6.6s (15/2,1/2)*<8>""","=""""","=""5.8638""","=""""","=""0.0006""","=""L4277""",
"=""65""","=""Tb II""","=""+1""","=""Terbium""","=""Gd""","=""[Xe].4f9.6s""","=""(15/2,1/2)*<8>""","=""4f9.5p6 6H*<15/2>""","=""[""","=""11.513""","=""]""","=""0.020""","=""L19870c180""",
"=""65""","=""Tb III""","=""+2""","=""Terbium""","=""Eu""","=""[Xe].4f9""","=""6H*<15/2>""","=""4f8.5p6 7F<6>""","=""[""","=""21.82""","=""]""","=""0.03""","=""L19883c180""",
"=""65""","=""Tb IV""","=""+3""","=""Terbium""","=""Sm""","=""[Xe].4f8""","=""7F<6>""","=""4f7.5s2.5p6 8S*<7/2>""","=""[""","=""39.33""","=""]""","=""0.04""","=""L19883c180""",
"=""65""","=""Tb V""","=""+4""","=""Terbium""","=""Pm""","=""[Xe].4f7""","=""8S*<7/2>""","=""4f7.5s2.5p5""","=""[""","=""66.5""","=""]""","=""0.3""","=""L4095""",
"=""65""","=""Tb VI""","=""+5""","=""Terbium""","=""Nd""","=""[Cd].4f7.5p5""","=""""","=""4f8.5s2.5p3*""","=""(""","=""90""","="")""","=""4""","=""L582""",
"=""65""","=""Tb VII""","=""+6""","=""Terbium""","=""Pr""","=""[Cd].4f8.5p3""","=""*""","=""4f7.5s2.5p3""","=""(""","=""108""","="")""","=""5""","=""L582""",
"=""65""","=""Tb VIII""","=""+7""","=""Terbium""","=""Ce""","=""[Cd].4f7.5p3""","=""""","=""4f7.5s2.5p2*""","=""(""","=""125""","="")""","=""6""","=""L582""",
"=""65""","=""Tb IX""","=""+8""","=""Terbium""","=""La""","=""[Cd].4f7.5p2""","=""*""","=""4f6.5s2.5p2""","=""(""","=""143""","="")""","=""7""","=""L582""",
"=""65""","=""Tb X""","=""+9""","=""Terbium""","=""Ba""","=""[Cd].4f6.5p2""","=""""","=""4f6.5s2.5p*""","=""(""","=""168""","="")""","=""8""","=""L582""",
"=""65""","=""Tb XI""","=""+10""","=""Terbium""","=""Cs""","=""[Cd].4f6.5p""","=""*""","=""4f6.5s2""","=""(""","=""186""","="")""","=""9""","=""L582""",
"=""65""","=""Tb XII""","=""+11""","=""Terbium""","=""Xe""","=""[Cd].4f6""","=""""","=""4f5.5s2*""","=""(""","=""216""","="")""","=""11""","=""L582""",
"=""65""","=""Tb XIII""","=""+12""","=""Terbium""","=""I""","=""[Cd].4f5""","=""*""","=""4f4.5s2""","=""(""","=""250""","="")""","=""12""","=""L582""",
"=""65""","=""Tb XIV""","=""+13""","=""Terbium""","=""Te""","=""[Cd].4f4""","=""""","=""4f5 6H*<5/2>""","=""(""","=""273""","="")""","=""14""","=""L582""",
"=""65""","=""Tb XV""","=""+14""","=""Terbium""","=""Sb""","=""[Kr].4d10.4f5""","=""6H*<5/2>""","=""4f4 5I<4>""","=""(""","=""294""","="")""","=""15""","=""L582""",
"=""65""","=""Tb XVI""","=""+15""","=""Terbium""","=""Sn""","=""[Kr].4d10.4f4""","=""5I<4>""","=""4f3 4I*<9/2>""","=""(""","=""325""","="")""","=""16""","=""L582""",
"=""65""","=""Tb XVII""","=""+16""","=""Terbium""","=""In""","=""[Kr].4d10.4f3""","=""4I*<9/2>""","=""4f2 3H<4>""","=""(""","=""358""","="")""","=""17""","=""L582""",
"=""65""","=""Tb XVIII""","=""+17""","=""Terbium""","=""Cd""","=""[Kr].4d10.4f2""","=""3H<4>""","=""4f 2F*<5/2>""","=""(""","=""393""","="")""","=""20""","=""L582""",
"=""65""","=""Tb XIX""","=""+18""","=""Terbium""","=""Ag""","=""[Kr].4d10.4f""","=""2F*<5/2>""","=""4d10 1S<0>""","=""(""","=""426.6""","="")""","=""2.5""","=""L582c99""",
"=""65""","=""Tb XX""","=""+19""","=""Terbium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""(""","=""613""","="")""","=""4""","=""L8672c99""",
"=""65""","=""Tb XXI""","=""+20""","=""Terbium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""651""","="")""","=""4""","=""L8672c99""",
"=""65""","=""Tb XXII""","=""+21""","=""Terbium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""690""","="")""","=""4""","=""L8672c99""",
"=""65""","=""Tb XXIII""","=""+22""","=""Terbium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""732""","="")""","=""4""","=""L8672c99""",
"=""65""","=""Tb XXIV""","=""+23""","=""Terbium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""(""","=""772""","="")""","=""4""","=""L8672c99""",
