At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""66""","=""Dy I""","=""0""","=""Dysprosium""","=""Dy""","=""[Xe].4f10.6s2""","=""5I<8>""","=""4f10.(5I<8>).6s<1/2> (8,1/2)<17/2>""","=""""","=""5.939061""","=""""","=""0.000006""","=""L22122""",
"=""66""","=""Dy II""","=""+1""","=""Dysprosium""","=""Tb""","=""[Xe].4f10.6s""","=""(8,1/2)<17/2>""","=""4f10.5p6 5I<8>""","=""[""","=""11.647""","=""]""","=""0.020""","=""L19870c180""",
"=""66""","=""Dy III""","=""+2""","=""Dysprosium""","=""Gd""","=""[Xe].4f10""","=""5I<8>""","=""4f9.5p6 6H*<15/2>""","=""[""","=""22.89""","=""]""","=""0.03""","=""L19883c180""",
"=""66""","=""Dy IV""","=""+3""","=""Dysprosium""","=""Eu""","=""[Xe].4f9""","=""6H*<15/2>""","=""4f8.5p6 7F<6>""","=""[""","=""41.23""","=""]""","=""0.08""","=""L19883c180""",
"=""66""","=""Dy V""","=""+4""","=""Dysprosium""","=""Sm""","=""[Xe].4f8""","=""7F<6>""","=""4f8.5s2.5p5*""","=""[""","=""62.1""","=""]""","=""0.3""","=""L4095""",
"=""66""","=""Dy VI""","=""+5""","=""Dysprosium""","=""Pm""","=""[Cd].4f8.5p5""","=""*""","=""4f8.5s2.5p4""","=""(""","=""93""","="")""","=""5""","=""L582""",
"=""66""","=""Dy VII""","=""+6""","=""Dysprosium""","=""Nd""","=""[Cd].4f8.5p4""","=""""","=""4f9.5s2.5p2*""","=""(""","=""110""","="")""","=""5""","=""L582""",
"=""66""","=""Dy VIII""","=""+7""","=""Dysprosium""","=""Pr""","=""[Cd].4f9.5p2""","=""*""","=""4f8.5s2.5p2""","=""(""","=""127""","="")""","=""6""","=""L582""",
"=""66""","=""Dy IX""","=""+8""","=""Dysprosium""","=""Ce""","=""[Cd].4f8.5p2""","=""""","=""4f8.5s2.5p*""","=""(""","=""152""","="")""","=""8""","=""L582""",
"=""66""","=""Dy X""","=""+9""","=""Dysprosium""","=""La""","=""[Cd].4f8.5p""","=""*""","=""4f8.5s2""","=""(""","=""170""","="")""","=""9""","=""L582""",
"=""66""","=""Dy XI""","=""+10""","=""Dysprosium""","=""Ba""","=""[Cd].4f8""","=""""","=""4f7.5s2*""","=""(""","=""192""","="")""","=""10""","=""L582""",
"=""66""","=""Dy XII""","=""+11""","=""Dysprosium""","=""Cs""","=""[Cd].4f7""","=""*""","=""4f6.5s2""","=""(""","=""224""","="")""","=""11""","=""L582""",
"=""66""","=""Dy XIII""","=""+12""","=""Dysprosium""","=""Xe""","=""[Cd].4f6""","=""""","=""4f6.5s*""","=""(""","=""259""","="")""","=""12""","=""L582""",
"=""66""","=""Dy XIV""","=""+13""","=""Dysprosium""","=""I""","=""[Kr].4d10.4f6.5s""","=""""","=""4f4.5s2""","=""(""","=""279""","="")""","=""14""","=""L582""",
"=""66""","=""Dy XV""","=""+14""","=""Dysprosium""","=""Te""","=""[Cd].4f4""","=""""","=""4f5 6H*<5/2>""","=""(""","=""300""","="")""","=""15""","=""L582""",
"=""66""","=""Dy XVI""","=""+15""","=""Dysprosium""","=""Sb""","=""[Kr].4d10.4f5""","=""6H*<5/2>""","=""4f4 5I<4>""","=""(""","=""332""","="")""","=""16""","=""L582""",
"=""66""","=""Dy XVII""","=""+16""","=""Dysprosium""","=""Sn""","=""[Kr].4d10.4f4""","=""5I<4>""","=""4f3 4I*<9/2>""","=""(""","=""366""","="")""","=""19""","=""L582""",
"=""66""","=""Dy XVIII""","=""+17""","=""Dysprosium""","=""In""","=""[Kr].4d10.4f3""","=""4I*<9/2>""","=""4f2 3H<4>""","=""(""","=""399""","="")""","=""20""","=""L582""",
"=""66""","=""Dy XIX""","=""+18""","=""Dysprosium""","=""Cd""","=""[Kr].4d10.4f2""","=""3H<4>""","=""4f 2F*<5/2>""","=""(""","=""431""","="")""","=""21""","=""L582""",
"=""66""","=""Dy XX""","=""+19""","=""Dysprosium""","=""Ag""","=""[Kr].4d10.4f""","=""2F*<5/2>""","=""4d10 1S<0>""","=""(""","=""464.9""","="")""","=""2.5""","=""L582c99""",
"=""66""","=""Dy XXI""","=""+20""","=""Dysprosium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""(""","=""664""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XXII""","=""+21""","=""Dysprosium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""702""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XXIII""","=""+22""","=""Dysprosium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""743""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XXIV""","=""+23""","=""Dysprosium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""786""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XXV""","=""+24""","=""Dysprosium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""(""","=""827""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XXVI""","=""+25""","=""Dysprosium""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""(""","=""872""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XXVII""","=""+26""","=""Dysprosium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""924""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XXVIII""","=""+27""","=""Dysprosium""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""969""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XXIX""","=""+28""","=""Dysprosium""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""1014""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XXX""","=""+29""","=""Dysprosium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""1059""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XXXI""","=""+30""","=""Dysprosium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""(""","=""1232""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XXXII""","=""+31""","=""Dysprosium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""1275""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XXXIII""","=""+32""","=""Dysprosium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""(""","=""1325""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XXXIV""","=""+33""","=""Dysprosium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""(""","=""1371""","="")""","=""5""","=""L8672c99""",
"=""66""","=""Dy XXXV""","=""+34""","=""Dysprosium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""1468""","="")""","=""5""","=""L8672c99""",
"=""66""","=""Dy XXXVI""","=""+35""","=""Dysprosium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""(""","=""1520""","="")""","=""5""","=""L8672c99""",
"=""66""","=""Dy XXXVII""","=""+36""","=""Dysprosium""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""(""","=""1638""","="")""","=""5""","=""L8672c99""",
"=""66""","=""Dy XXXVIII""","=""+37""","=""Dysprosium""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""[""","=""1691.7""","=""]""","=""0.3""","=""L5473""",
"=""66""","=""Dy XXXIX""","=""+38""","=""Dysprosium""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""(""","=""2882""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XL""","=""+39""","=""Dysprosium""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""2987""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XLI""","=""+40""","=""Dysprosium""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""3098""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XLII""","=""+41""","=""Dysprosium""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d-4.3d+2 (0,4)<4>""","=""(""","=""3217""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XLIII""","=""+42""","=""Dysprosium""","=""Cr""","=""[Ar].3d6""","=""(0,4)<4>""","=""3d-4.3d+ (0,5/2)<5/2>""","=""(""","=""3331""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XLIV""","=""+43""","=""Dysprosium""","=""V""","=""[Ar].3d5""","=""(0,5/2)<5/2>""","=""3d4 5D<0>""","=""(""","=""3445""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XLV""","=""+44""","=""Dysprosium""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""3607""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XLVI""","=""+45""","=""Dysprosium""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""3725""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XLVII""","=""+46""","=""Dysprosium""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""3852""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XLVIII""","=""+47""","=""Dysprosium""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""3970""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy XLIX""","=""+48""","=""Dysprosium""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""(""","=""4303""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy L""","=""+49""","=""Dysprosium""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""(""","=""4407""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy LI""","=""+50""","=""Dysprosium""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 2P*<3/2>""","=""(""","=""4523""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy LII""","=""+51""","=""Dysprosium""","=""P""","=""[Ne].3s2.3p3""","=""2P*<3/2>""","=""3p2 3P<0>""","=""(""","=""4629""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy LIII""","=""+52""","=""Dysprosium""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""(""","=""4945""","="")""","=""4""","=""L8672c99""",
"=""66""","=""Dy LIV""","=""+53""","=""Dysprosium""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""(""","=""5066""","="")""","=""5""","=""L8672c99""",
"=""66""","=""Dy LV""","=""+54""","=""Dysprosium""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""(""","=""5296""","="")""","=""5""","=""L8672c99""",
"=""66""","=""Dy LVI""","=""+55""","=""Dysprosium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""(""","=""5412""","="")""","=""5""","=""L8672c99""",
"=""66""","=""Dy LVII""","=""+56""","=""Dysprosium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""(""","=""12081""","="")""","=""5""","=""L8672c99""",
"=""66""","=""Dy LVIII""","=""+57""","=""Dysprosium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""(""","=""12370""","="")""","=""6""","=""L8672c99""",
"=""66""","=""Dy LIX""","=""+58""","=""Dysprosium""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p2<1/2>.2p<3/2> (0,3/2)*<3/2>""","=""(""","=""12690""","="")""","=""6""","=""L8672c99""",
"=""66""","=""Dy LX""","=""+59""","=""Dysprosium""","=""N""","=""1s2.2s2.2p3""","=""(0,3/2)*<3/2>""","=""2p2 3P<0>""","=""(""","=""12986""","="")""","=""7""","=""L8672c99""",
"=""66""","=""Dy LXI""","=""+60""","=""Dysprosium""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""(""","=""14144""","="")""","=""10""","=""L8672c99""",
"=""66""","=""Dy LXII""","=""+61""","=""Dysprosium""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""(""","=""14495""","="")""","=""12""","=""L8672c99""",
"=""66""","=""Dy LXIII""","=""+62""","=""Dysprosium""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""(""","=""14936""","="")""","=""15""","=""L8672c99""",
"=""66""","=""Dy LXIV""","=""+63""","=""Dysprosium""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""15228.06""","="")""","=""0.11""","=""L16264c99""",
"=""66""","=""Dy LXV""","=""+64""","=""Dysprosium""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""61736.62""","="")""","=""0.10""","=""L21139""",
"=""66""","=""Dy LXVI""","=""+65""","=""Dysprosium""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""63073.23""","="")""","=""0.10""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
     [Kr] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6
     [Cd] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2
     [Xe] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2.5p6
