At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""67""","=""Ho I""","=""0""","=""Holmium""","=""Ho""","=""[Xe].4f11.6s2""","=""4I*<15/2>""","=""4f11.(4I*).5p6.6s (15/2,1/2)*<8>""","=""""","=""6.0215""","=""""","=""0.0006""","=""L4277""",
"=""67""","=""Ho II""","=""+1""","=""Holmium""","=""Dy""","=""[Xe].4f11.6s""","=""(15/2,1/2)*<8>""","=""4f11 4I*<15/2>""","=""[""","=""11.781""","=""]""","=""0.020""","=""L19870c180""",
"=""67""","=""Ho III""","=""+2""","=""Holmium""","=""Tb""","=""[Xe].4f11""","=""4I*<15/2>""","=""4f10.5p6 5I<8>""","=""[""","=""22.79""","=""]""","=""0.03""","=""L19883c180""",
"=""67""","=""Ho IV""","=""+3""","=""Holmium""","=""Gd""","=""[Xe].4f10""","=""5I<8>""","=""4f9.5p6 6H*<15/2>""","=""[""","=""42.52""","=""]""","=""0.08""","=""L19883c180""",
"=""67""","=""Ho V""","=""+4""","=""Holmium""","=""Eu""","=""[Xe].4f9""","=""6H*<15/2>""","=""4f9.5p5""","=""[""","=""63.9""","=""]""","=""0.3""","=""L4095""",
"=""67""","=""Ho VI""","=""+5""","=""Holmium""","=""Sm""","=""[Cd].4f9.5p5""","=""""","=""4f9.5s2.5p4*""","=""(""","=""95""","="")""","=""5""","=""L582""",
"=""67""","=""Ho VII""","=""+6""","=""Holmium""","=""Pm""","=""[Cd].4f9.5p4""","=""*""","=""4f9.5s2.5p3""","=""(""","=""112""","="")""","=""6""","=""L582""",
"=""67""","=""Ho VIII""","=""+7""","=""Holmium""","=""Nd""","=""[Cd].4f9.5p3""","=""""","=""4f10.5s2.5p*""","=""(""","=""129""","="")""","=""6""","=""L582""",
"=""67""","=""Ho IX""","=""+8""","=""Holmium""","=""Pr""","=""[Cd].4f10.5p""","=""*""","=""4f9.5s2.5p""","=""(""","=""155""","="")""","=""8""","=""L582""",
"=""67""","=""Ho X""","=""+9""","=""Holmium""","=""Ce""","=""[Cd].4f9.5p""","=""""","=""4f9.5s2*""","=""(""","=""173""","="")""","=""9""","=""L582""",
"=""67""","=""Ho XI""","=""+10""","=""Holmium""","=""La""","=""[Cd].4f9""","=""*""","=""4f8.5s2""","=""(""","=""197""","="")""","=""10""","=""L582""",
"=""67""","=""Ho XII""","=""+11""","=""Holmium""","=""Ba""","=""[Cd].4f8""","=""""","=""4f7.5s2*""","=""(""","=""229""","="")""","=""12""","=""L582""",
"=""67""","=""Ho XIII""","=""+12""","=""Holmium""","=""Cs""","=""[Cd].4f7""","=""*""","=""4f6.5s2""","=""(""","=""263""","="")""","=""14""","=""L582""",
"=""67""","=""Ho XIV""","=""+13""","=""Holmium""","=""Xe""","=""[Cd].4f6""","=""""","=""4f6.5s*""","=""(""","=""284""","="")""","=""14""","=""L582""",
"=""67""","=""Ho XV""","=""+14""","=""Holmium""","=""I""","=""[Kr].4d10.4f6.5s""","=""""","=""4f4.5s2""","=""(""","=""305""","="")""","=""15""","=""L582""",
"=""67""","=""Ho XVI""","=""+15""","=""Holmium""","=""Te""","=""[Cd].4f4""","=""""","=""4f5 6H*<5/2>""","=""(""","=""340""","="")""","=""17""","=""L582""",
"=""67""","=""Ho XVII""","=""+16""","=""Holmium""","=""Sb""","=""[Kr].4d10.4f5""","=""6H*<5/2>""","=""4f4 5I<4>""","=""(""","=""373""","="")""","=""19""","=""L582""",
"=""67""","=""Ho XVIII""","=""+17""","=""Holmium""","=""Sn""","=""[Kr].4d10.4f4""","=""5I<4>""","=""4f3 4I*<9/2>""","=""(""","=""408""","="")""","=""20""","=""L582""",
"=""67""","=""Ho XIX""","=""+18""","=""Holmium""","=""In""","=""[Kr].4d10.4f3""","=""4I*<9/2>""","=""4f2 3H<4>""","=""(""","=""441""","="")""","=""22""","=""L582""",
