At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""68""","=""Er I""","=""0""","=""Erbium""","=""Er""","=""[Xe].4f12.6s2""","=""3H<6>""","=""4f12.(3H).5p6.6s (6,1/2)<13/2>""","=""""","=""6.1077""","=""""","=""0.0010""","=""L4277""",
"=""68""","=""Er II""","=""+1""","=""Erbium""","=""Ho""","=""[Xe].4f12.6s""","=""(6,1/2)<13/2>""","=""4f12.5p6 3H<6>""","=""[""","=""11.916""","=""]""","=""0.020""","=""L19870c180""",
"=""68""","=""Er III""","=""+2""","=""Erbium""","=""Dy""","=""[Xe].4f12""","=""3H<6>""","=""4f11 4I*<15/2>""","=""[""","=""22.70""","=""]""","=""0.03""","=""L19883c180""",
"=""68""","=""Er IV""","=""+3""","=""Erbium""","=""Tb""","=""[Xe].4f11""","=""4I*<15/2>""","=""4f10.5p6 5I<8>""","=""[""","=""42.42""","=""]""","=""0.04""","=""L19883c180""",
"=""68""","=""Er V""","=""+4""","=""Erbium""","=""Gd""","=""[Xe].4f10""","=""5I<8>""","=""4f10.5p5*""","=""[""","=""65.1""","=""]""","=""0.4""","=""L4095""",
"=""68""","=""Er VI""","=""+5""","=""Erbium""","=""Eu""","=""[Cd].4f10.5p5""","=""*""","=""4f10.5p4""","=""(""","=""96""","="")""","=""5""","=""L582""",
"=""68""","=""Er VII""","=""+6""","=""Erbium""","=""Sm""","=""[Cd].4f10.5p4""","=""""","=""4f10.5s2.5p3*""","=""(""","=""114""","="")""","=""6""","=""L582""",
"=""68""","=""Er VIII""","=""+7""","=""Erbium""","=""Pm""","=""[Cd].4f10.5p3""","=""*""","=""4f10.5s2.5p2""","=""(""","=""131""","="")""","=""7""","=""L582""",
"=""68""","=""Er IX""","=""+8""","=""Erbium""","=""Nd""","=""[Cd].4f10.5p2""","=""""","=""4f10.5s2.5p*""","=""(""","=""158""","="")""","=""8""","=""L582""",
"=""68""","=""Er X""","=""+9""","=""Erbium""","=""Pr""","=""[Cd].4f10.5p""","=""*""","=""4f10.5s2""","=""(""","=""177""","="")""","=""9""","=""L582""",
"=""68""","=""Er XI""","=""+10""","=""Erbium""","=""Ce""","=""[Cd].4f10""","=""""","=""4f9.5s2*""","=""(""","=""201""","="")""","=""10""","=""L582""",
"=""68""","=""Er XII""","=""+11""","=""Erbium""","=""La""","=""[Cd].4f9""","=""*""","=""4f8.5s2""","=""(""","=""235""","="")""","=""11""","=""L582""",
"=""68""","=""Er XIII""","=""+12""","=""Erbium""","=""Ba""","=""[Cd].4f8""","=""""","=""4f7.5s2*""","=""(""","=""268""","="")""","=""14""","=""L582""",
"=""68""","=""Er XIV""","=""+13""","=""Erbium""","=""Cs""","=""[Cd].4f7""","=""*""","=""4f7.5s*""","=""(""","=""290""","="")""","=""15""","=""L582""",
"=""68""","=""Er XV""","=""+14""","=""Erbium""","=""Xe""","=""[Kr].4d10.4f7.5s""","=""*""","=""4f7 8S*<7/2>""","=""(""","=""311""","="")""","=""16""","=""L582""",
"=""68""","=""Er XVI""","=""+15""","=""Erbium""","=""I""","=""[Kr].4d10.4f7""","=""8S*<7/2>""","=""4f6 7F<0>""","=""(""","=""345""","="")""","=""17""","=""L582""",
"=""68""","=""Er XVII""","=""+16""","=""Erbium""","=""Te""","=""[Kr].4d10.4f6""","=""7F0""","=""4f5 6H*<5/2>""","=""(""","=""381""","="")""","=""19""","=""L582""",
"=""68""","=""Er XVIII""","=""+17""","=""Erbium""","=""Sb""","=""[Kr].4d10.4f5""","=""6H*<5/2>""","=""4f4 5I<4>""","=""(""","=""415""","="")""","=""21""","=""L582""",
"=""68""","=""Er XIX""","=""+18""","=""Erbium""","=""Sn""","=""[Kr].4d10.4f4""","=""5I<4>""","=""4f3 4I*<9/2>""","=""(""","=""450""","="")""","=""22""","=""L582""",
"=""68""","=""Er XX""","=""+19""","=""Erbium""","=""In""","=""[Kr].4d10.4f3""","=""4I*<9/2>""","=""4f2 3H<4>""","=""(""","=""486""","="")""","=""25""","=""L582""",
"=""68""","=""Er XXI""","=""+20""","=""Erbium""","=""Cd""","=""[Kr].4d10.4f2""","=""3H<4>""","=""4f 2F*<5/2>""","=""(""","=""520""","="")""","=""30""","=""L582""",
"=""68""","=""Er XXII""","=""+21""","=""Erbium""","=""Ag""","=""[Kr].4d10.4f""","=""2F*<5/2>""","=""4d10 1S<0>""","=""(""","=""555""","="")""","=""5""","=""L582c99""",
"=""68""","=""Er XXIII""","=""+22""","=""Erbium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""(""","=""770""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er XXIV""","=""+23""","=""Erbium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""810""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er XXV""","=""+24""","=""Erbium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""853""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er XXVI""","=""+25""","=""Erbium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""899""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er XXVII""","=""+26""","=""Erbium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""(""","=""943""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er XXVIII""","=""+27""","=""Erbium""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""(""","=""989""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er XXIX""","=""+28""","=""Erbium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""1046""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er XXX""","=""+29""","=""Erbium""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""1092""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er XXXI""","=""+30""","=""Erbium""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""1142""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er XXXII""","=""+31""","=""Erbium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""1188""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er XXXIII""","=""+32""","=""Erbium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""(""","=""1370""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er XXXIV""","=""+33""","=""Erbium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""1416""","="")""","=""5""","=""L8672c99""",
"=""68""","=""Er XXXV""","=""+34""","=""Erbium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""(""","=""1468""","="")""","=""5""","=""L8672c99""",
"=""68""","=""Er XXXVI""","=""+35""","=""Erbium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""(""","=""1516""","="")""","=""5""","=""L8672c99""",
"=""68""","=""Er XXXVII""","=""+36""","=""Erbium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""1625""","="")""","=""5""","=""L8672c99""",
"=""68""","=""Er XXXVIII""","=""+37""","=""Erbium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""(""","=""1678""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er XXXIX""","=""+38""","=""Erbium""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""(""","=""1803""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er XL""","=""+39""","=""Erbium""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""[""","=""1858.5""","=""]""","=""0.5""","=""L5473""",
"=""68""","=""Er XLI""","=""+40""","=""Erbium""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""(""","=""3157""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er XLII""","=""+41""","=""Erbium""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""3265""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er XLIII""","=""+42""","=""Erbium""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""3381""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er XLIV""","=""+43""","=""Erbium""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d-4.3d+2 (0,4)<4>""","=""(""","=""3505""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er XLV""","=""+44""","=""Erbium""","=""Cr""","=""[Ar].3d6""","=""(0,4)<4>""","=""3d-4.3d+ (0,5/2)<5/2>""","=""(""","=""3624""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er XLVI""","=""+45""","=""Erbium""","=""V""","=""[Ar].3d5""","=""(0,5/2)<5/2>""","=""3d4 5D<0>""","=""(""","=""3742""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er XLVII""","=""+46""","=""Erbium""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""3916""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er XLVIII""","=""+47""","=""Erbium""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""4038""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er XLIX""","=""+48""","=""Erbium""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""4170""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er L""","=""+49""","=""Erbium""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""4294""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er LI""","=""+50""","=""Erbium""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""(""","=""4639""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er LII""","=""+51""","=""Erbium""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""(""","=""4748""","="")""","=""4""","=""L8672c99""",
"=""68""","=""Er LIII""","=""+52""","=""Erbium""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 2P*<3/2>""","=""(""","=""4866""","="")""","=""4""","=""L8672c99""",
